Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.5104582E-5,2.0053772E-5,2.0053772E-5,1.0,0.0,1.0758663E-4,8.594193E-5,8.594193E-5,1.0,0.0,0.00130908,0.0010458448,0.0010558343,1.0095516,1.0E-5,0.013013953,0.010411654,0.0104413405,1.0028514,3.0E-5
6.1,2.5104582E-5,2.0053772E-5,2.0053772E-5,1.0,0.0,1.0758663E-4,8.594193E-5,8.594193E-5,1.0,0.0,0.00130908,0.0010458448,0.0010558343,1.0095516,1.0E-5,0.013013953,0.010411654,0.0104413405,1.0028514,3.0E-5
6.2,2.5104582E-5,2.0053772E-5,2.0053772E-5,1.0,0.0,1.0758663E-4,8.594193E-5,8.594193E-5,1.0,0.0,0.00130908,0.0010458448,0.0010558343,1.0095516,1.0E-5,0.013013953,0.010411654,0.0104413405,1.0028514,3.0E-5
6.3,2.5104582E-5,2.0053772E-5,2.0053772E-5,1.0,0.0,1.0758663E-4,8.594193E-5,8.594193E-5,1.0,0.0,0.00130908,0.0010458448,0.0010558343,1.0095516,1.0E-5,0.013013953,0.010411654,0.0104413405,1.0028514,3.0E-5
6.4,2.5104582E-5,2.0053772E-5,2.0053772E-5,1.0,0.0,1.0758663E-4,8.594193E-5,8.594193E-5,1.0,0.0,0.00130908,0.0010458448,0.0010558343,1.0095516,1.0E-5,0.013013953,0.010411654,0.0104413405,1.0028514,3.0E-5
6.5,2.5104582E-5,2.0053772E-5,2.0053772E-5,1.0,0.0,1.0758663E-4,8.594193E-5,8.594193E-5,1.0,0.0,0.00130908,0.0010458448,0.0010558343,1.0095516,1.0E-5,0.013013953,0.010411654,0.0104413405,1.0028514,3.0E-5
6.6,2.5104582E-5,2.0053772E-5,2.0053772E-5,1.0,0.0,1.0758663E-4,8.594193E-5,8.594193E-5,1.0,0.0,0.00130908,0.0010458448,0.0010558343,1.0095516,1.0E-5,0.013013953,0.010411654,0.0104413405,1.0028514,3.0E-5
6.7,2.5104582E-5,2.0053772E-5,2.0053772E-5,1.0,0.0,1.0758663E-4,8.594193E-5,8.594193E-5,1.0,0.0,0.00130908,0.0010458448,0.0010558343,1.0095516,1.0E-5,0.013013953,0.010411654,0.0104413405,1.0028514,3.0E-5
6.8,2.4825002E-5,1.9774427E-5,1.9774427E-5,1.0,0.0,1.0638853E-4,8.474481E-5,8.474481E-5,1.0,0.0,0.0012945106,0.0010312838,0.0010412734,1.0096867,1.0E-5,0.012869957,0.010267327,0.010297019,1.0028919,3.0E-5
6.9,2.3924824E-5,1.9067304E-5,1.9067304E-5,1.0,0.0,1.02530925E-4,8.171448E-5,8.171448E-5,1.0,0.0,0.0012475991,9.944235E-4,0.0010044136,1.0100461,1.0E-5,0.012406182,0.009902051,0.009931753,1.0029997,3.0E-5
7.0,2.3559305E-5,1.8689587E-5,1.8689587E-5,1.0,0.0,1.0096454E-4,8.009579E-5,8.009579E-5,1.0,0.0,0.0012285501,9.747338E-4,9.84724E-4,1.0102493,1.0E-5,0.012217803,0.009706851,0.00973656,1.0030606,3.0E-5
7.1,2.2568007E-5,1.7839528E-5,1.7839528E-5,1.0,0.0,9.6716445E-5,7.6452896E-5,7.6452896E-5,1.0,0.0,0.0011768866,9.304201E-4,9.404108E-4,1.0107378,1.0E-5,0.011706733,0.009267391,0.009297112,1.0032072,3.0E-5
7.2,2.1256297E-5,1.6650727E-5,1.6650727E-5,1.0,0.0,9.109524E-5,7.135833E-5,7.135833E-5,1.0,0.0,0.0011085201,8.684449E-4,8.784362E-4,1.0115049,1.0E-5,0.011030068,0.008652604,0.008682345,1.0034372,3.0E-5
7.3,1.9222265E-5,1.5236521E-5,1.5236521E-5,1.0,0.0,8.237853E-5,6.529776E-5,6.529776E-5,1.0,0.0,0.001002497,7.947136E-4,8.0470566E-4,1.0125731,1.0E-5,0.009979866,0.007920732,0.007950494,1.0037575,3.0E-5
7.4,1.7234015E-5,1.3686425E-5,1.3686425E-5,1.0,0.0,7.385798E-5,5.8654805E-5,5.8654805E-5,1.0,0.0,8.9884986E-4,7.1389147E-4,7.238843E-4,1.0139977,1.0E-5,0.008952228,0.0071176323,0.007147419,1.0041848,3.0E-5
7.5,1.1229943E-5,8.702322E-6,8.702322E-6,1.0,0.0,4.8127436E-5,3.729514E-5,3.729514E-5,1.0,0.0,5.8579404E-4,4.5397523E-4,4.5397523E-4,1.0,0.0,0.0058425223,0.004530681,0.00455059,1.0043943,2.0E-5
7.6,5.092009E-6,3.6748747E-6,3.6748747E-6,1.0,0.0,2.1822714E-5,1.574937E-5,1.574937E-5,1.0,0.0,2.6565915E-4,1.9173215E-4,1.9173215E-4,1.0,0.0,0.0026534179,0.0019157099,0.0019157099,1.0,0.0
7.7,1.7066463E-6,9.817219E-7,9.817219E-7,1.0,0.0,7.3141778E-6,4.2073725E-6,4.2073725E-6,1.0,0.0,8.904648E-5,5.1223564E-5,5.1223564E-5,1.0,0.0,8.9010806E-4,5.121185E-4,5.121185E-4,1.0,0.0
7.8,4.874158E-7,2.837462E-7,2.837462E-7,1.0,0.0,2.088923E-6,1.2160546E-6,1.2160546E-6,1.0,0.0,2.5432342E-5,1.4805364E-5,1.4805364E-5,1.0,0.0,2.542943E-4,1.480439E-4,1.480439E-4,1.0,0.0
7.9,9.135152E-8,4.4522825E-8,4.4522825E-8,1.0,0.0,3.9150643E-7,1.9081209E-7,1.9081209E-7,1.0,0.0,4.7665803E-6,2.3231348E-6,2.3231348E-6,1.0,0.0,4.7664784E-5,2.3231109E-5,2.3231109E-5,1.0,0.0
8.0,3.435275E-8,1.5790933E-8,1.5790933E-8,1.0,0.0,1.4722607E-7,6.767542E-8,6.767542E-8,1.0,0.0,1.792476E-6,8.2394797E-7,8.2394797E-7,1.0,0.0,1.7924616E-5,8.239451E-6,8.239451E-6,1.0,0.0
