Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,10.630492,4.0,22.0,9.0,8.0,0.99986804,7.9166115E-4,8.476052
2.6,8.446365,2.0,18.0,7.0,7.0,0.9987465,7.9166115E-4,6.7322865
2.7,6.6975193,1.0,15.0,6.0,5.0,0.9948542,7.9166115E-4,5.348001
2.8,5.321678,1.0,12.0,5.0,4.0,0.98634386,7.9166115E-4,4.254453
2.9,4.229714,0.0,10.0,4.0,3.0,0.9661565,7.9166115E-4,3.3867264
3.0,3.3606017,0.0,9.0,3.0,2.0,0.9365352,7.9166115E-4,2.6909883
3.1,2.6621585,0.0,8.0,2.0,2.0,0.8887056,7.9166115E-4,2.128447
3.2,2.1139991,0.0,6.0,2.0,1.0,0.8303206,7.9166115E-4,1.6923077
3.3,1.6858425,0.0,6.0,1.0,1.0,0.75643224,7.9166115E-4,1.345956
3.4,1.333883,0.0,5.0,1.0,1.0,0.67192245,7.9166115E-4,1.0633329
3.5,1.0669613,0.0,4.0,1.0,0.0,0.5904473,7.9166115E-4,0.84879273
3.6,0.8452962,0.0,4.0,1.0,0.0,0.50923604,7.9166115E-4,0.67264813
3.7,0.6680301,0.0,3.0,0.0,0.0,0.43053174,7.9166115E-4,0.5307428
3.8,0.52744424,0.0,3.0,0.0,0.0,0.36172318,7.9166115E-4,0.41878876
3.9,0.41806307,0.0,2.0,0.0,0.0,0.3011611,7.9166115E-4,0.33196992
4.0,0.33032063,0.0,2.0,0.0,0.0,0.24746008,7.9166115E-4,0.2628315
4.1,0.26335928,0.0,2.0,0.0,0.0,0.2023354,7.9166115E-4,0.20853674
4.2,0.20972423,0.0,2.0,0.0,0.0,0.16611691,7.9166115E-4,0.16644676
4.3,0.16671064,0.0,1.0,0.0,0.0,0.13491225,7.9166115E-4,0.1315477
4.4,0.13260324,0.0,1.0,0.0,0.0,0.1095791,7.9166115E-4,0.10489511
4.5,0.10469719,0.0,1.0,0.0,0.0,0.08787439,7.9166115E-4,0.08253068
4.6,0.083256364,0.0,1.0,0.0,0.0,0.07105159,7.9166115E-4,0.066103704
4.7,0.06597176,0.0,1.0,0.0,0.0,0.057329465,7.9166115E-4,0.052843384
4.8,0.05126006,0.0,1.0,0.0,0.0,0.045124687,7.9166115E-4,0.04110041
4.9,0.040506665,0.0,1.0,0.0,0.0,0.03588864,7.9166115E-4,0.032260194
5.0,0.032787967,0.0,1.0,0.0,0.0,0.029357435,7.9166115E-4,0.02619079
5.1,0.026322734,0.0,0.0,0.0,0.0,0.023683863,7.9166115E-4,0.02130888
5.2,0.019527642,0.0,0.0,0.0,0.0,0.017878348,7.9166115E-4,0.015569337
5.3,0.014777675,0.0,0.0,0.0,0.0,0.013590183,7.9166115E-4,0.011742974
5.4,0.0116770025,0.0,0.0,0.0,0.0,0.010819369,7.9166115E-4,0.009236047
5.5,0.009236047,0.0,0.0,0.0,0.0,0.008708273,7.9166115E-4,0.007256894
5.6,0.0068610637,0.0,0.0,0.0,0.0,0.006597176,7.9166115E-4,0.0056076
5.7,0.0048819105,0.0,0.0,0.0,0.0,0.004815939,7.9166115E-4,0.0038923342
5.8,0.0037603904,0.0,0.0,0.0,0.0,0.0036944188,7.9166115E-4,0.003034701
5.9,0.0029687295,0.0,0.0,0.0,0.0,0.0029687295,7.9166115E-4,0.0024409553
6.0,0.0024409553,0.0,0.0,0.0,0.0,0.0024409553,7.9166115E-4,0.001979153
6.1,0.0018472094,0.0,0.0,0.0,0.0,0.0018472094,5.9374585E-4,0.0014513788
6.2,9.895765E-4,0.0,0.0,0.0,0.0,9.895765E-4,1.9791529E-4,9.236047E-4
6.3,7.256894E-4,0.0,0.0,0.0,0.0,7.256894E-4,1.3194353E-4,7.256894E-4
6.4,5.277741E-4,0.0,0.0,0.0,0.0,5.277741E-4,1.3194353E-4,5.277741E-4
6.5,4.6180235E-4,0.0,0.0,0.0,0.0,4.6180235E-4,6.597176E-5,4.6180235E-4
6.6,3.2985883E-4,0.0,0.0,0.0,0.0,3.2985883E-4,6.597176E-5,3.2985883E-4
6.7,3.2985883E-4,0.0,0.0,0.0,0.0,3.2985883E-4,6.597176E-5,3.2985883E-4
6.8,1.3194353E-4,0.0,0.0,0.0,0.0,1.3194353E-4,6.597176E-5,1.3194353E-4
6.9,6.597176E-5,0.0,0.0,0.0,0.0,6.597176E-5,6.597176E-5,6.597176E-5
7.0,6.597176E-5,0.0,0.0,0.0,0.0,6.597176E-5,6.597176E-5,6.597176E-5
7.1,6.597176E-5,0.0,0.0,0.0,0.0,6.597176E-5,6.597176E-5,6.597176E-5
7.2,6.597176E-5,0.0,0.0,0.0,0.0,6.597176E-5,6.597176E-5,6.597176E-5
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
