Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.50332797,0.0,0.00136,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1.0066559,0.0,0.00282,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1.509984,0.0,0.00436,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2.0133119,0.0,0.00615,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2.51664,0.0,0.00735,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
3.019968,0.0,0.0088,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
3.5232959,0.0,0.0103,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
4.0266237,0.0,0.01157,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
4.529952,0.0,0.01289,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
5.03328,0.0,0.01442,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
5.5366077,0.0,0.01561,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
6.039936,0.0,0.01704,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
6.543264,0.0,0.01841,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
7.0465918,0.0,0.01982,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
7.54992,0.0,0.02112,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
8.053247,0.0,0.02229,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
8.556576,0.0,0.02369,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
9.059904,0.0,0.02489,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
9.563231,0.0,0.02605,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
10.06656,0.0,0.02719,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
10.569888,0.0,0.0285,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
11.0732155,0.0,0.02972,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
11.576544,0.0,0.03112,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
12.079872,0.0,0.03222,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
12.5831995,0.0,0.03348,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
13.086528,0.0,0.03477,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
13.589856,0.0,0.03597,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
14.0931835,0.0,0.03709,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
14.596512,0.0,0.03815,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
15.09984,0.0,0.03922,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
15.603168,0.0,0.04018,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
16.106495,0.0,0.04136,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
16.609823,0.0,0.04228,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
17.113152,0.0,0.04322,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
17.61648,0.0,0.04433,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
18.119808,0.0,0.04534,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
18.623137,0.0,0.04629,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
19.126463,0.0,0.04735,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
19.629791,0.0,0.0484,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
20.13312,0.0,0.04935,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
20.636448,0.0,0.05052,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
21.139776,0.0,0.05156,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
21.643103,0.0,0.05248,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
22.146431,0.0,0.05334,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
22.64976,0.0,0.05413,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
23.153088,0.0,0.05508,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
23.656416,0.0,0.0559,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
24.159744,0.0,0.05685,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
24.66307,0.0,0.05769,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
25.166399,0.0,0.05866,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
25.669727,0.0,0.05966,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
26.173056,0.0,0.06051,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
26.676384,0.0,0.06121,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
27.179712,0.0,0.06215,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
27.683039,0.0,0.06305,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
28.186367,0.0,0.06383,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
28.689695,0.0,0.06484,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
29.193024,0.0,0.0658,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
29.696352,0.0,0.06659,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
30.19968,0.0,0.06736,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
30.703007,0.0,0.06826,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
31.206335,0.0,0.06889,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
31.709663,0.0,0.06963,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
32.21299,0.0,0.07037,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
