Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,327.0,822.43317,684.0,630.0,451.0,15774.0,548.0,598.0,908.0,2156.0
2.6,249.0,653.2688,544.0,502.0,351.0,12401.0,431.0,474.0,722.0,1714.0
2.7,195.0,518.8982,432.0,399.0,275.0,9855.0,339.0,375.0,575.0,1357.0
2.8,145.0,412.09366,344.0,312.0,208.0,7732.0,266.0,297.0,457.0,1083.0
2.9,114.0,327.30524,274.0,251.0,156.0,6077.0,209.0,235.0,364.0,858.0
3.0,90.0,259.99042,218.0,198.0,126.0,4820.0,163.0,185.0,290.0,685.0
3.1,71.0,206.4998,173.0,158.0,91.0,3848.0,127.0,146.0,232.0,546.0
3.2,59.0,163.99898,138.0,124.0,65.0,3042.0,99.0,115.0,185.0,434.0
3.3,47.0,130.24205,110.0,101.0,49.0,2392.0,77.0,91.0,147.0,344.0
3.4,39.0,103.45334,87.0,81.0,37.0,1907.0,59.0,71.0,118.0,274.0
3.5,27.0,82.17044,69.0,62.0,23.0,1521.0,45.0,56.0,94.0,219.0
3.6,13.0,65.24677,55.0,49.0,17.0,1209.0,35.0,43.0,76.0,174.0
3.7,11.0,51.78986,44.0,40.0,12.0,970.0,26.0,34.0,61.0,139.0
3.8,7.0,41.1071,35.0,32.0,7.0,777.0,20.0,26.0,49.0,111.0
3.9,6.0,32.63635,28.0,25.0,4.0,628.0,15.0,20.0,40.0,89.0
4.0,2.0,25.91639,22.0,19.0,2.0,492.0,11.0,16.0,32.0,71.0
4.1,2.0,20.57575,17.0,15.0,1.0,394.0,8.0,12.0,26.0,57.0
4.2,2.0,16.33547,14.0,12.0,0.0,313.0,6.0,9.0,21.0,45.0
4.3,2.0,12.9593,11.0,9.0,0.0,251.0,4.0,7.0,17.0,36.0
4.4,1.0,10.27767,9.0,7.0,0.0,197.0,3.0,5.0,14.0,29.0
4.5,1.0,8.14984,7.0,6.0,0.0,154.0,2.0,4.0,11.0,24.0
4.6,1.0,6.46792,5.0,4.0,0.0,128.0,1.0,3.0,9.0,20.0
4.7,1.0,5.12337,4.0,3.0,0.0,101.0,0.0,2.0,8.0,16.0
4.8,1.0,4.05533,3.0,2.0,0.0,79.0,0.0,1.0,6.0,13.0
4.9,1.0,3.20892,3.0,2.0,0.0,58.0,0.0,1.0,5.0,11.0
5.0,1.0,2.53434,2.0,1.0,0.0,51.0,0.0,1.0,4.0,9.0
5.1,0.0,2.00081,1.0,1.0,0.0,40.0,0.0,0.0,3.0,8.0
5.2,0.0,1.57925,1.0,0.0,0.0,32.0,0.0,0.0,3.0,6.0
5.3,0.0,1.24078,1.0,0.0,0.0,23.0,0.0,0.0,2.0,5.0
5.4,0.0,0.97251,1.0,0.0,0.0,19.0,0.0,0.0,2.0,4.0
