Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.655419E-6,6.9373477E-6,6.9373477E-6,1.0,0.0,2.8522913E-5,2.9731164E-5,2.9731164E-5,1.0,0.0,3.472111E-4,3.6191876E-4,3.7191514E-4,1.0276206,1.0E-5,0.0034666911,0.0036181486,0.0036281126,1.0027539,1.0E-5
6.1,6.655419E-6,6.9373477E-6,6.9373477E-6,1.0,0.0,2.8522913E-5,2.9731164E-5,2.9731164E-5,1.0,0.0,3.472111E-4,3.6191876E-4,3.7191514E-4,1.0276206,1.0E-5,0.0034666911,0.0036181486,0.0036281126,1.0027539,1.0E-5
6.2,6.6254133E-6,6.905756E-6,6.905756E-6,1.0,0.0,2.839432E-5,2.9595773E-5,2.9595773E-5,1.0,0.0,3.45646E-4,3.6027093E-4,3.7026734E-4,1.0277469,1.0E-5,0.003451089,0.0036017238,0.0036116878,1.0027665,1.0E-5
6.3,6.6254133E-6,6.905756E-6,6.905756E-6,1.0,0.0,2.839432E-5,2.9595773E-5,2.9595773E-5,1.0,0.0,3.45646E-4,3.6027093E-4,3.7026734E-4,1.0277469,1.0E-5,0.003451089,0.0036017238,0.0036116878,1.0027665,1.0E-5
6.4,6.6254133E-6,6.905756E-6,6.905756E-6,1.0,0.0,2.839432E-5,2.9595773E-5,2.9595773E-5,1.0,0.0,3.45646E-4,3.6027093E-4,3.7026734E-4,1.0277469,1.0E-5,0.003451089,0.0036017238,0.0036116878,1.0027665,1.0E-5
6.5,6.606445E-6,6.8853037E-6,6.8853037E-6,1.0,0.0,2.8313027E-5,2.950812E-5,2.950812E-5,1.0,0.0,3.4465658E-4,3.5920413E-4,3.6920054E-4,1.0278293,1.0E-5,0.0034412253,0.0035910904,0.0036010544,1.0027747,1.0E-5
6.6,6.59966E-6,6.8778413E-6,6.8778413E-6,1.0,0.0,2.828395E-5,2.9476141E-5,2.9476141E-5,1.0,0.0,3.4430268E-4,3.588149E-4,3.688113E-4,1.0278596,1.0E-5,0.0034376972,0.0035872106,0.0035971745,1.0027777,1.0E-5
6.7,6.5570975E-6,6.83183E-6,6.83183E-6,1.0,0.0,2.8101544E-5,2.9278955E-5,2.9278955E-5,1.0,0.0,3.4208258E-4,3.5641494E-4,3.6641138E-4,1.0280472,1.0E-5,0.0034155648,0.0035632881,0.0035732526,1.0027964,1.0E-5
6.8,5.472255E-6,5.674789E-6,5.674789E-6,1.0,0.0,2.345231E-5,2.43203E-5,2.43203E-5,1.0,0.0,2.8549446E-4,2.9605988E-4,3.0605693E-4,1.033767,1.0E-5,0.0028512797,0.002961362,0.0029713323,1.0033668,1.0E-5
6.9,5.092346E-6,5.2651344E-6,5.2651344E-6,1.0,0.0,2.1824157E-5,2.2564667E-5,2.2564667E-5,1.0,0.0,2.656767E-4,2.7469057E-4,2.8468782E-4,1.0363946,1.0E-5,0.002653593,0.0027482098,0.0027581824,1.0036287,1.0E-5
