Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.15488665E-5,1.1079958E-5,1.1079958E-5,1.0,0.0,4.9494203E-5,4.7484744E-5,2.5522392E-4,5.3748612,2.0774904E-4,6.024253E-4,5.779862E-4,0.0016680382,2.8859484,0.0010906825,0.006007948,0.0057660984,0.008502901,1.4746368,0.0027526747
6.1,1.15488665E-5,1.1079958E-5,1.1079958E-5,1.0,0.0,4.9494203E-5,4.7484744E-5,2.5522392E-4,5.3748612,2.0774904E-4,6.024253E-4,5.779862E-4,0.0016680382,2.8859484,0.0010906825,0.006007948,0.0057660984,0.008502901,1.4746368,0.0027526747
6.2,1.15488665E-5,1.1079958E-5,1.1079958E-5,1.0,0.0,4.9494203E-5,4.7484744E-5,2.5522392E-4,5.3748612,2.0774904E-4,6.024253E-4,5.779862E-4,0.0016680382,2.8859484,0.0010906825,0.006007948,0.0057660984,0.008502901,1.4746368,0.0027526747
6.3,1.15488665E-5,1.1079958E-5,1.1079958E-5,1.0,0.0,4.9494203E-5,4.7484744E-5,2.5522392E-4,5.3748612,2.0774904E-4,6.024253E-4,5.779862E-4,0.0016680382,2.8859484,0.0010906825,0.006007948,0.0057660984,0.008502901,1.4746368,0.0027526747
6.4,1.15488665E-5,1.1079958E-5,1.1079958E-5,1.0,0.0,4.9494203E-5,4.7484744E-5,2.5522392E-4,5.3748612,2.0774904E-4,6.024253E-4,5.779862E-4,0.0016680382,2.8859484,0.0010906825,0.006007948,0.0057660984,0.008502901,1.4746368,0.0027526747
6.5,1.15488665E-5,1.1079958E-5,1.1079958E-5,1.0,0.0,4.9494203E-5,4.7484744E-5,2.5522392E-4,5.3748612,2.0774904E-4,6.024253E-4,5.779862E-4,0.0016680382,2.8859484,0.0010906825,0.006007948,0.0057660984,0.008502901,1.4746368,0.0027526747
6.6,7.587044E-6,6.9358503E-6,6.9358503E-6,1.0,0.0,3.2515498E-5,2.972475E-5,1.3359619E-4,4.4944425,1.0387452E-4,3.9580427E-4,3.6184167E-4,0.0010367817,2.865291,6.7518436E-4,0.003951,0.0036128166,0.0052688043,1.4583647,0.0016619923
6.7,7.587044E-6,6.9358503E-6,6.9358503E-6,1.0,0.0,3.2515498E-5,2.972475E-5,1.3359619E-4,4.4944425,1.0387452E-4,3.9580427E-4,3.6184167E-4,0.0010367817,2.865291,6.7518436E-4,0.003951,0.0036128166,0.0052688043,1.4583647,0.0016619923
6.8,5.9026956E-6,5.179568E-6,5.179568E-6,1.0,0.0,2.5297022E-5,2.2197966E-5,1.2607018E-4,5.679357,1.0387452E-4,3.0794772E-4,2.7022787E-4,7.3753693E-4,2.7293146,4.6743534E-4,0.0030752132,0.0026991093,0.003890442,1.44138,0.001194557
6.9,5.0118915E-6,4.2525808E-6,4.2525808E-6,1.0,0.0,2.1479358E-5,1.8225222E-5,1.2209784E-4,6.699389,1.0387452E-4,2.614798E-4,2.2187021E-4,5.853504E-4,2.6382558,3.6356083E-4,0.0026117235,0.0022165596,0.003097536,1.3974521,8.8293344E-4
7.0,4.4924795E-6,3.7140621E-6,3.7140621E-6,1.0,0.0,1.925334E-5,1.5917316E-5,1.1979018E-4,7.525778,1.0387452E-4,2.3438422E-4,1.9377672E-4,5.572671E-4,2.8758206,3.6356083E-4,0.0023413717,0.0019361405,0.0026618543,1.374825,7.2712166E-4
7.1,3.9118436E-6,3.1121094E-6,3.1121094E-6,1.0,0.0,1.6764936E-5,1.3337547E-5,1.1721068E-4,8.788024,1.0387452E-4,2.0409399E-4,1.6237311E-4,4.7394607E-4,2.9188704,3.1162356E-4,0.0020390663,0.0016226007,0.0021411306,1.3195671,5.193726E-4
7.2,3.4200818E-6,2.605576E-6,2.605576E-6,1.0,0.0,1.4657411E-5,1.116671E-5,1.1504007E-4,10.302056,1.0387452E-4,1.7843937E-4,1.3594671E-4,3.9559772E-4,2.909947,2.596863E-4,0.0017829615,0.0013586852,0.0017736187,1.3053935,4.1549807E-4
7.3,2.6593618E-6,1.8285265E-6,1.8285265E-6,1.0,0.0,1.13972155E-5,7.83652E-6,5.9773374E-5,7.62754,5.193726E-5,1.3875226E-4,9.5405754E-5,2.5120267E-4,2.632993,1.5581178E-4,0.0013866565,9.536769E-4,0.0012131155,1.2720404,2.596863E-4
7.4,2.2577992E-6,1.436535E-6,1.436535E-6,1.0,0.0,9.676246E-6,6.156565E-6,6.156565E-6,1.0,0.0,1.1780193E-4,7.495386E-5,1.7882058E-4,2.3857424,1.0387452E-4,0.001177395,7.493108E-4,9.569042E-4,1.2770457,2.0774904E-4
7.5,1.489319E-6,7.354697E-7,7.354697E-7,1.0,0.0,6.3827797E-6,3.1520092E-6,3.1520092E-6,1.0,0.0,7.770758E-5,3.837504E-5,9.031031E-5,2.3533607,5.193726E-5,7.7680405E-4,3.836846E-4,5.394366E-4,1.4059376,1.5581178E-4
7.6,1.0680322E-6,4.6602182E-7,4.6602182E-7,1.0,0.0,4.577273E-6,1.997235E-6,1.997235E-6,1.0,0.0,5.5726876E-5,2.4316065E-5,7.6252065E-5,3.135872,5.193726E-5,5.5712904E-4,2.431343E-4,3.4698358E-4,1.4271271,1.0387452E-4
7.7,5.509146E-7,1.558334E-7,1.558334E-7,1.0,0.0,2.3610605E-6,6.678573E-7,6.678573E-7,1.0,0.0,2.8745531E-5,8.131134E-6,8.131134E-6,1.0,0.0,2.8741814E-4,8.130848E-5,8.130848E-5,1.0,0.0
