Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,4.0,5.43767,5.0,4.0,0.0,759.0,1.0,2.0,7.0,13.0
2.65,1.0,4.32188,4.0,3.0,0.0,563.0,0.0,2.0,6.0,10.0
2.75,1.0,3.43299,3.0,2.0,0.0,459.0,0.0,1.0,5.0,9.0
2.85,1.0,2.72524,2.0,2.0,0.0,395.0,0.0,1.0,4.0,7.0
2.95,2.0,2.17002,2.0,1.0,0.0,278.0,0.0,1.0,3.0,6.0
3.05,0.0,1.72146,1.0,1.0,0.0,223.0,0.0,0.0,3.0,5.0
3.15,0.0,1.36853,1.0,1.0,0.0,177.0,0.0,0.0,2.0,4.0
3.25,0.0,1.08951,1.0,0.0,0.0,143.0,0.0,0.0,2.0,4.0
3.35,0.0,0.85891,1.0,0.0,0.0,118.0,0.0,0.0,2.0,3.0
3.45,1.0,0.68117,0.0,0.0,0.0,98.0,0.0,0.0,1.0,3.0
3.55,1.0,0.54613,0.0,0.0,0.0,73.0,0.0,0.0,1.0,2.0
3.65,0.0,0.43182,0.0,0.0,0.0,73.0,0.0,0.0,1.0,2.0
3.75,0.0,0.34316,0.0,0.0,0.0,52.0,0.0,0.0,1.0,2.0
3.85,0.0,0.27501,0.0,0.0,0.0,42.0,0.0,0.0,1.0,2.0
3.95,0.0,0.21711,0.0,0.0,0.0,35.0,0.0,0.0,1.0,1.0
4.05,0.0,0.17156,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0
4.15,0.0,0.1374,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0
4.25,0.0,0.10846,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0
4.35,0.0,0.08683,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0
4.45,0.0,0.06827,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0
4.55,0.0,0.05533,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
4.65,0.0,0.04318,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
4.75,0.0,0.03513,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
4.85,0.0,0.02726,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
4.95,0.0,0.02175,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
5.05,0.0,0.01738,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
5.15,0.0,0.0137,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
5.25,0.0,0.01078,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5.35,0.0,0.00877,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5.45,0.0,0.00683,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5.55,0.0,0.00545,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.65,0.0,0.00451,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.75,0.0,0.00336,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
5.85,0.0,0.00248,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.95,0.0,0.00194,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.05,0.0,0.00168,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.15,0.0,0.0014,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.25,0.0,7.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.35,0.0,5.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.45,0.0,3.8E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.55,0.0,1.6E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.65,0.0,2.1E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.75,0.0,1.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.85,0.0,1.4E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.95,0.0,9.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.05,0.0,7.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.15,0.0,1.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.25,0.0,8.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.35,0.0,2.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.45,0.0,4.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.55,0.0,8.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.65,0.0,5.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.75,0.0,2.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
