Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.8871775E-6,4.981666E-6,4.981666E-6,1.0,0.0,2.0944879E-5,2.1349839E-5,2.1349839E-5,1.0,0.0,2.5497406E-4,2.5990605E-4,2.5990605E-4,1.0,0.0,0.002546817,0.0025962954,0.0026062694,1.0038416,1.0E-5
6.1,4.8871775E-6,4.981666E-6,4.981666E-6,1.0,0.0,2.0944879E-5,2.1349839E-5,2.1349839E-5,1.0,0.0,2.5497406E-4,2.5990605E-4,2.5990605E-4,1.0,0.0,0.002546817,0.0025962954,0.0026062694,1.0038416,1.0E-5
6.2,4.8871775E-6,4.981666E-6,4.981666E-6,1.0,0.0,2.0944879E-5,2.1349839E-5,2.1349839E-5,1.0,0.0,2.5497406E-4,2.5990605E-4,2.5990605E-4,1.0,0.0,0.002546817,0.0025962954,0.0026062694,1.0038416,1.0E-5
6.3,4.8871775E-6,4.981666E-6,4.981666E-6,1.0,0.0,2.0944879E-5,2.1349839E-5,2.1349839E-5,1.0,0.0,2.5497406E-4,2.5990605E-4,2.5990605E-4,1.0,0.0,0.002546817,0.0025962954,0.0026062694,1.0038416,1.0E-5
6.4,4.8871775E-6,4.981666E-6,4.981666E-6,1.0,0.0,2.0944879E-5,2.1349839E-5,2.1349839E-5,1.0,0.0,2.5497406E-4,2.5990605E-4,2.5990605E-4,1.0,0.0,0.002546817,0.0025962954,0.0026062694,1.0038416,1.0E-5
6.5,3.1724062E-6,3.2235246E-6,3.2235246E-6,1.0,0.0,1.3595956E-5,1.3815033E-5,1.3815033E-5,1.0,0.0,1.6551818E-4,1.6818517E-4,1.6818517E-4,1.0,0.0,0.0016539496,0.0016805924,0.0016905756,1.0059403,1.0E-5
6.6,3.1022591E-6,3.1512313E-6,3.1512313E-6,1.0,0.0,1.3295328E-5,1.3505208E-5,1.3505208E-5,1.0,0.0,1.618586E-4,1.6441362E-4,1.6441362E-4,1.0,0.0,0.0016174077,0.0016429326,0.0016429326,1.0,0.0
6.7,2.611518E-6,2.6492964E-6,2.6492964E-6,1.0,0.0,1.1192172E-5,1.1354079E-5,1.1354079E-5,1.0,0.0,1.3625617E-4,1.3822719E-4,1.3822719E-4,1.0,0.0,0.0013617266,0.0013814166,0.0013814166,1.0,0.0
6.8,2.4780884E-6,2.512268E-6,2.512268E-6,1.0,0.0,1.0620336E-5,1.0766819E-5,1.0766819E-5,1.0,0.0,1.2929492E-4,1.3107818E-4,1.3107818E-4,1.0,0.0,0.0012921972,0.0013100128,0.0013100128,1.0,0.0
6.9,2.1376322E-6,2.1636044E-6,2.1636044E-6,1.0,0.0,9.161248E-6,9.272558E-6,9.272558E-6,1.0,0.0,1.1153249E-4,1.1288756E-4,1.1288756E-4,1.0,0.0,0.0011147653,0.001128304,0.001128304,1.0,0.0
