Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,7.7690465E-6,6.9768753E-6,6.9768753E-6,1.0,0.0,3.329549E-5,2.9900753E-5,2.9900753E-5,1.0,0.0,4.0529718E-4,3.640167E-4,4.7696993E-4,1.3102968,1.1299435E-4,0.004045588,0.0036377208,0.0038347417,1.0541605,1.9774011E-4
6.1,7.7690465E-6,6.9768753E-6,6.9768753E-6,1.0,0.0,3.329549E-5,2.9900753E-5,2.9900753E-5,1.0,0.0,4.0529718E-4,3.640167E-4,4.7696993E-4,1.3102968,1.1299435E-4,0.004045588,0.0036377208,0.0038347417,1.0541605,1.9774011E-4
6.2,7.7690465E-6,6.9768753E-6,6.9768753E-6,1.0,0.0,3.329549E-5,2.9900753E-5,2.9900753E-5,1.0,0.0,4.0529718E-4,3.640167E-4,4.7696993E-4,1.3102968,1.1299435E-4,0.004045588,0.0036377208,0.0038347417,1.0541605,1.9774011E-4
6.3,7.7690465E-6,6.9768753E-6,6.9768753E-6,1.0,0.0,3.329549E-5,2.9900753E-5,2.9900753E-5,1.0,0.0,4.0529718E-4,3.640167E-4,4.7696993E-4,1.3102968,1.1299435E-4,0.004045588,0.0036377208,0.0038347417,1.0541605,1.9774011E-4
6.4,7.7690465E-6,6.9768753E-6,6.9768753E-6,1.0,0.0,3.329549E-5,2.9900753E-5,2.9900753E-5,1.0,0.0,4.0529718E-4,3.640167E-4,4.7696993E-4,1.3102968,1.1299435E-4,0.004045588,0.0036377208,0.0038347417,1.0541605,1.9774011E-4
6.5,7.7690465E-6,6.9768753E-6,6.9768753E-6,1.0,0.0,3.329549E-5,2.9900753E-5,2.9900753E-5,1.0,0.0,4.0529718E-4,3.640167E-4,4.7696993E-4,1.3102968,1.1299435E-4,0.004045588,0.0036377208,0.0038347417,1.0541605,1.9774011E-4
6.6,2.653E-6,1.6151004E-6,1.6151004E-6,1.0,0.0,1.136995E-5,6.9218404E-6,6.9218404E-6,1.0,0.0,1.3842035E-4,8.4270185E-5,1.407626E-4,1.6703725,5.6497174E-5,0.0013833415,8.423857E-4,9.835097E-4,1.1675289,1.4124294E-4
6.7,2.5902466E-6,1.5504315E-6,1.5504315E-6,1.0,0.0,1.11010095E-5,6.64469E-6,6.64469E-6,1.0,0.0,1.351464E-4,8.089613E-5,1.3738874E-4,1.698335,5.6497174E-5,0.0013506424,8.086698E-4,9.497985E-4,1.1745195,1.4124294E-4
6.8,2.5853892E-6,1.5472307E-6,1.5472307E-6,1.0,0.0,1.1080193E-5,6.6309717E-6,6.6309717E-6,1.0,0.0,1.34893E-4,8.072912E-5,1.3722174E-4,1.6997799,5.6497174E-5,0.0013481114,8.070009E-4,9.4812986E-4,1.1748807,1.4124294E-4
6.9,2.458257E-6,1.4222994E-6,1.4222994E-6,1.0,0.0,1.0535345E-5,6.095555E-6,6.095555E-6,1.0,0.0,1.2826028E-4,7.4210875E-5,1.3070386E-4,1.7612494,5.6497174E-5,0.0012818627,7.4186287E-4,8.83001E-4,1.1902483,1.4124294E-4
7.0,2.4341468E-6,1.3992621E-6,1.3992621E-6,1.0,0.0,1.0432016E-5,5.9968243E-6,5.9968243E-6,1.0,0.0,1.270024E-4,7.300891E-5,1.2950196E-4,1.773783,5.6497174E-5,0.0012692984,7.2985113E-4,8.70991E-4,1.1933817,1.4124294E-4
7.1,2.3652476E-6,1.3342084E-6,1.3342084E-6,1.0,0.0,1.0136736E-5,5.7180237E-6,5.7180237E-6,1.0,0.0,1.2340778E-4,6.961473E-5,1.2610797E-4,1.8115127,5.6497174E-5,0.0012333926,6.959309E-4,8.370756E-4,1.2028141,1.4124294E-4
