Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21597739,0.0,0.55307,0.0,0.0,0.0,74.0,0.0,0.0,1.0,2.0
0.43195477,1.0,1.08818,1.0,0.0,0.0,82.0,0.0,0.0,2.0,4.0
0.6479322,1.0,1.611,1.0,1.0,0.0,92.0,0.0,0.0,3.0,5.0
0.86390954,1.0,2.11748,2.0,1.0,0.0,97.0,0.0,1.0,4.0,6.0
1.0798869,1.0,2.61305,2.0,2.0,0.0,102.0,0.0,1.0,4.0,7.0
1.2958643,1.0,3.08679,3.0,2.0,0.0,105.0,0.0,1.0,5.0,7.0
1.5118418,1.0,3.54809,3.0,3.0,0.0,111.0,0.0,2.0,5.0,8.0
1.7278191,1.0,3.99934,4.0,3.0,0.0,115.0,0.0,2.0,6.0,9.0
1.9437965,1.0,4.4396,4.0,4.0,0.0,116.0,1.0,2.0,7.0,10.0
2.1597738,2.0,4.86482,5.0,4.0,0.0,121.0,1.0,2.0,7.0,10.0
2.3757513,3.0,5.27761,5.0,4.0,0.0,124.0,1.0,3.0,8.0,11.0
2.5917287,4.0,5.68258,5.0,5.0,0.0,127.0,1.0,3.0,8.0,12.0
2.807706,5.0,6.07395,6.0,5.0,0.0,127.0,2.0,3.0,9.0,12.0
3.0236835,6.0,6.45819,6.0,6.0,0.0,127.0,2.0,4.0,9.0,13.0
3.2396607,7.0,6.83238,6.0,6.0,0.0,128.0,2.0,4.0,9.0,13.0
3.4556382,7.0,7.20059,7.0,6.0,0.0,128.0,2.0,4.0,10.0,14.0
3.6716156,7.0,7.55749,7.0,7.0,0.0,128.0,2.0,5.0,10.0,14.0
3.887593,9.0,7.90626,8.0,7.0,0.0,128.0,3.0,5.0,11.0,15.0
4.1035705,10.0,8.2448,8.0,7.0,0.0,128.0,3.0,5.0,11.0,15.0
4.3195477,10.0,8.58211,8.0,8.0,0.0,131.0,3.0,5.0,12.0,16.0
4.5355253,10.0,8.90908,8.0,8.0,0.0,132.0,3.0,6.0,12.0,16.0
4.7515025,11.0,9.231,9.0,8.0,0.0,133.0,3.0,6.0,12.0,17.0
4.96748,12.0,9.5441,9.0,8.0,0.0,133.0,4.0,6.0,13.0,17.0
5.1834574,13.0,9.8472,9.0,9.0,0.0,134.0,4.0,6.0,13.0,18.0
5.3994346,13.0,10.15048,10.0,9.0,0.0,134.0,4.0,7.0,13.0,18.0
5.615412,13.0,10.44643,10.0,9.0,0.0,135.0,4.0,7.0,14.0,19.0
5.8313894,14.0,10.73509,10.0,10.0,0.0,135.0,4.0,7.0,14.0,19.0
6.047367,14.0,11.0185,11.0,10.0,0.0,135.0,5.0,7.0,14.0,19.0
6.2633443,14.0,11.29787,11.0,10.0,0.0,136.0,5.0,8.0,15.0,20.0
6.4793215,15.0,11.56948,11.0,11.0,0.0,137.0,5.0,8.0,15.0,20.0
6.695299,16.0,11.83742,11.0,11.0,1.0,139.0,5.0,8.0,15.0,20.0
6.9112763,16.0,12.09876,12.0,11.0,1.0,140.0,5.0,8.0,16.0,21.0
7.127254,17.0,12.35939,12.0,12.0,1.0,143.0,5.0,8.0,16.0,21.0
7.343231,17.0,12.61864,12.0,12.0,1.0,143.0,6.0,9.0,16.0,22.0
7.559209,17.0,12.87023,12.0,12.0,1.0,143.0,6.0,9.0,17.0,22.0
7.775186,18.0,13.11954,13.0,12.0,1.0,145.0,6.0,9.0,17.0,22.0
7.9911633,18.0,13.3596,13.0,13.0,1.0,147.0,6.0,9.0,17.0,23.0
8.207141,18.0,13.60091,13.0,12.0,1.0,149.0,6.0,9.0,17.0,23.0
8.423119,18.0,13.83632,13.0,13.0,1.0,151.0,6.0,10.0,18.0,23.0
8.639095,18.0,14.06868,14.0,13.0,1.0,154.0,7.0,10.0,18.0,24.0
8.855073,18.0,14.2953,14.0,13.0,1.0,154.0,7.0,10.0,18.0,24.0
