Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3388633,0.0,0.02645,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
0.6777266,0.0,0.0515,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
1.01659,0.0,0.07552,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
1.3554533,0.0,0.09874,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
1.6943166,0.0,0.121,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
2.03318,0.0,0.14276,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
2.3720434,0.0,0.16283,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
2.7109065,0.0,0.18203,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
3.0497699,0.0,0.19996,0.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0
3.3886333,0.0,0.21751,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
3.7274966,0.0,0.23475,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
4.06636,0.0,0.25164,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
4.4052234,0.0,0.26791,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
4.7440867,0.0,0.28395,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
5.0829496,0.0,0.29942,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
5.421813,0.0,0.31354,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
5.7606764,0.0,0.32692,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.0995398,0.0,0.34063,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.438403,0.0,0.35382,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.7772665,0.0,0.36648,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
7.11613,0.0,0.37904,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
7.4549932,0.0,0.39162,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
7.7938566,0.0,0.40363,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
8.13272,0.0,0.41527,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
8.471583,0.0,0.42647,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
8.810447,0.0,0.43756,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
9.14931,0.0,0.44778,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
9.4881735,0.0,0.45953,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
9.827037,0.0,0.46956,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
10.165899,0.0,0.47943,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
10.504763,0.0,0.48948,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
10.843626,0.0,0.49941,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
11.182489,0.0,0.50842,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
11.521353,0.0,0.51787,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
11.860216,0.0,0.5267,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
12.1990795,0.0,0.53546,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
12.537943,0.0,0.54399,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
12.876806,0.0,0.55271,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
13.21567,0.0,0.56106,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
13.554533,0.0,0.56926,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
13.893396,0.0,0.57704,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
14.23226,0.0,0.5853,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
14.571123,0.0,0.59291,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
14.9099865,0.0,0.60045,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
15.24885,0.0,0.6081,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
15.587713,0.0,0.61507,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
15.926577,0.0,0.62215,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
16.26544,0.0,0.62935,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
16.604303,0.0,0.63623,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
16.943167,0.0,0.64278,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
17.28203,0.0,0.64938,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
17.620893,0.0,0.65629,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
17.959757,0.0,0.66309,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
18.29862,0.0,0.66951,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
18.637484,0.0,0.67597,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
18.976347,0.0,0.68216,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
19.31521,0.0,0.68855,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
19.654074,0.0,0.6948,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
19.992935,0.0,0.70099,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
20.331799,0.0,0.7065,0.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
20.670662,0.0,0.71241,0.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
21.009525,0.0,0.71844,0.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
21.348389,0.0,0.72396,0.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
21.687252,0.0,0.72945,0.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
22.026115,0.0,0.73469,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
22.364979,0.0,0.73982,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
22.703842,0.0,0.74556,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
23.042706,0.0,0.75063,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
23.381569,0.0,0.75583,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
23.720432,0.0,0.76073,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
24.059296,0.0,0.76602,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
24.398159,0.0,0.77112,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
24.737022,0.0,0.77609,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
25.075886,0.0,0.78085,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
25.41475,0.0,0.78569,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
25.753613,0.0,0.79069,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
26.092476,0.0,0.79567,1.0,0.0,0.0,11.0,0.0,0.0,2.0,3.0
