Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.0320643E-5,6.636149E-5,6.811489E-4,10.264219,6.148282E-4,2.1564208E-4,2.8438168E-4,0.0019656394,6.9119763,0.001681736,0.0026222812,0.00345791,0.007458495,2.1569374,0.0040144664,0.02591553,0.0341423,0.03952176,1.15756,0.00556962
6.1,5.0320643E-5,6.636149E-5,6.811489E-4,10.264219,6.148282E-4,2.1564208E-4,2.8438168E-4,0.0019656394,6.9119763,0.001681736,0.0026222812,0.00345791,0.007458495,2.1569374,0.0040144664,0.02591553,0.0341423,0.03952176,1.15756,0.00556962
6.2,2.4125871E-5,3.098269E-5,5.5537873E-4,17.925451,5.244123E-4,1.0339249E-4,1.3277736E-4,0.0015611592,11.75772,0.0014285714,0.0012580766,0.0016155228,0.005027723,3.1121337,0.0034177215,0.012509781,0.016071297,0.020643987,1.2845252,0.004647378
6.3,1.7433485E-5,2.2356835E-5,5.467574E-4,24.455938,5.244123E-4,7.471279E-5,9.5812386E-5,0.0014700026,15.342511,0.0013743219,9.0924866E-4,0.0011660426,0.004435282,3.803705,0.0032730561,0.009055373,0.01162957,0.016062045,1.3811383,0.0044846293
6.4,1.7433485E-5,2.2356835E-5,5.467574E-4,24.455938,5.244123E-4,7.471279E-5,9.5812386E-5,0.0014700026,15.342511,0.0013743219,9.0924866E-4,0.0011660426,0.004435282,3.803705,0.0032730561,0.009055373,0.01162957,0.016062045,1.3811383,0.0044846293
6.5,1.5182742E-5,1.9430352E-5,5.438325E-4,27.988811,5.244123E-4,6.506727E-5,8.327114E-5,0.0014213152,17.068521,0.0013381555,7.919061E-4,0.0010135059,0.0041929204,4.137046,0.00318264,0.0078909,0.010119047,0.014450895,1.4280885,0.00437613
6.6,6.7271576E-6,8.548157E-6,4.7870688E-4,56.001183,4.7016275E-4,2.8830356E-5,3.6634476E-5,0.0012662458,34.564323,0.0012296564,3.5095305E-4,4.4593913E-4,0.0032656577,7.323102,0.0028209765,0.0035039932,0.004468226,0.008356741,1.8702592,0.0039059673
6.7,6.682835E-6,8.4806015E-6,4.7863935E-4,56.439316,4.7016275E-4,2.8640408E-5,3.634496E-5,0.0012659567,34.831696,0.0012296564,3.4864116E-4,4.424157E-4,0.0032621443,7.3734818,0.0028209765,0.003480947,0.004433152,0.008321803,1.8771755,0.0039059673
6.8,6.5774975E-6,8.327072E-6,4.7848592E-4,57.461487,4.7016275E-4,2.8188972E-5,3.5686993E-5,0.0012652995,35.455482,0.0012296564,3.4314668E-4,4.3440814E-4,0.0032541591,7.491018,0.0028209765,0.0034261728,0.0043532955,0.008242259,1.8933378,0.0039059673
6.9,6.363419E-6,8.0002355E-6,4.7815923E-4,59.768143,4.7016275E-4,2.727151E-5,3.4286306E-5,0.0012639005,36.863132,0.0012296564,3.3198006E-4,4.173614E-4,0.0032371606,7.756253,0.0028209765,0.0033148455,0.004183282,0.008054903,1.9254981,0.0038878843
7.0,6.1342453E-6,7.632424E-6,4.777916E-4,62.600243,4.7016275E-4,2.6289357E-5,3.271001E-5,0.0012623263,38.591434,0.0012296564,3.2002592E-4,3.981771E-4,0.0032180303,8.081907,0.0028209765,0.0031956544,0.00399197,0.007846323,1.9655266,0.003869801
7.1,5.842926E-6,7.142961E-6,4.592193E-4,64.28977,4.5207958E-4,2.504087E-5,3.0612362E-5,0.0012421485,40.5767,0.0012115733,3.0482994E-4,3.7264716E-4,0.0030660373,8.227722,0.0026943942,0.0030441214,0.0037374226,0.0074666515,1.9978076,0.0037432187
7.2,4.77173E-6,5.3591634E-6,3.4893779E-4,65.1105,3.4358047E-4,2.045011E-5,2.2967664E-5,8.5477496E-4,37.216454,8.318264E-4,2.4895166E-4,2.7959948E-4,0.0019789434,7.0777793,0.0016998191,0.0024867293,0.0028089995,0.0050991126,1.8152772,0.0022965642
7.3,3.0494948E-6,2.7109647E-6,1.1120977E-4,41.02221,1.08499094E-4,1.3069198E-5,1.1618369E-5,1.7436512E-4,15.00771,1.6274865E-4,1.5910587E-4,1.4144463E-4,5.0305715E-4,3.5565658,3.6166364E-4,0.0015899199,0.0014235033,0.0019471691,1.3678712,5.244123E-4
7.4,2.7263884E-6,2.3061473E-6,7.463871E-5,32.36511,7.233273E-5,1.1684469E-5,9.883452E-6,1.3646448E-4,13.80737,1.2658228E-4,1.4224913E-4,1.2032448E-4,3.915396E-4,3.254031,2.7124773E-4,0.0014215811,0.0012114698,0.0015726953,1.2981713,3.6166364E-4
7.5,2.6090431E-6,2.1660758E-6,7.449865E-5,34.39337,7.233273E-5,1.1181565E-5,9.283149E-6,9.969822E-5,10.739698,9.041591E-5,1.3612706E-4,1.1301658E-4,3.480714E-4,3.0798259,2.3508137E-4,0.001360437,0.001138222,0.0014452863,1.2697753,3.074141E-4
7.6,2.3008756E-6,1.8732376E-6,3.8039536E-5,20.306839,3.6166366E-5,9.860858E-6,8.028137E-6,4.419421E-5,5.504915,3.6166366E-5,1.20049335E-4,9.7738266E-5,2.60471E-4,2.664985,1.6274865E-4,0.001199845,9.852252E-4,0.001220075,1.2383716,2.3508137E-4
7.7,1.7184348E-6,1.3423282E-6,3.7508646E-5,27.942976,3.6166366E-5,7.3646997E-6,5.7528227E-6,4.191898E-5,7.28668,3.6166366E-5,8.966153E-5,7.0038404E-5,1.9661181E-4,2.8072,1.2658228E-4,8.962536E-4,7.080495E-4,8.8875333E-4,1.2552135,1.8083182E-4
7.8,8.4612907E-7,8.4087924E-7,1.8924047E-5,22.50507,1.8083183E-5,3.6262625E-6,3.6037634E-6,2.1686881E-5,6.017843,1.8083183E-5,4.4148852E-5,4.3874956E-5,9.8122124E-5,2.236404,5.4249547E-5,4.414008E-4,4.4413717E-4,5.1643775E-4,1.1627889,7.233273E-5
7.9,2.716738E-7,3.7694025E-7,3.7694025E-7,1.0,0.0,1.1643157E-6,1.6154573E-6,1.6154573E-6,1.0,0.0,1.4175452E-5,1.9668027E-5,5.583368E-5,2.8388045,3.6166366E-5,1.4174548E-4,1.9843443E-4,2.526732E-4,1.2733335,5.4249547E-5
8.0,2.1995428E-8,3.386013E-8,3.386013E-8,1.0,0.0,9.426611E-8,1.4511484E-7,1.4511484E-7,1.0,0.0,1.1476893E-6,1.7667724E-6,1.7667724E-6,1.0,0.0,1.14768345E-5,1.7968985E-5,1.7968985E-5,1.0,0.0
