Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.31567E-5,2.3386451E-4,2.3386451E-4,1.0,0.0,3.5633717E-4,0.0010018935,0.0010018935,1.0,0.0,0.004329778,0.012129918,0.012129918,1.0,0.0,0.042463828,0.11259502,0.11262127,1.0002332,2.9585799E-5
6.1,8.31567E-5,2.3386451E-4,2.3386451E-4,1.0,0.0,3.5633717E-4,0.0010018935,0.0010018935,1.0,0.0,0.004329778,0.012129918,0.012129918,1.0,0.0,0.042463828,0.11259502,0.11262127,1.0002332,2.9585799E-5
6.2,8.31567E-5,2.3386451E-4,2.3386451E-4,1.0,0.0,3.5633717E-4,0.0010018935,0.0010018935,1.0,0.0,0.004329778,0.012129918,0.012129918,1.0,0.0,0.042463828,0.11259502,0.11262127,1.0002332,2.9585799E-5
6.3,8.31567E-5,2.3386451E-4,2.3386451E-4,1.0,0.0,3.5633717E-4,0.0010018935,0.0010018935,1.0,0.0,0.004329778,0.012129918,0.012129918,1.0,0.0,0.042463828,0.11259502,0.11262127,1.0002332,2.9585799E-5
6.4,8.059055E-5,2.2944735E-4,2.2944735E-4,1.0,0.0,3.4534236E-4,9.829777E-4,9.829777E-4,1.0,0.0,0.0041964394,0.011902156,0.011902156,1.0,0.0,0.041180745,0.110576175,0.11060249,1.000238,2.9585799E-5
6.5,8.059055E-5,2.2944735E-4,2.2944735E-4,1.0,0.0,3.4534236E-4,9.829777E-4,9.829777E-4,1.0,0.0,0.0041964394,0.011902156,0.011902156,1.0,0.0,0.041180745,0.110576175,0.11060249,1.000238,2.9585799E-5
6.6,7.619237E-5,2.2189032E-4,2.2189032E-4,1.0,0.0,3.2649786E-4,9.506143E-4,9.506143E-4,1.0,0.0,0.0039678677,0.0115128625,0.0115128625,1.0,0.0,0.03897764,0.10711278,0.10713919,1.0002466,2.9585799E-5
6.7,7.440636E-5,2.1864849E-4,2.1864849E-4,1.0,0.0,3.188454E-4,9.367307E-4,9.367307E-4,1.0,0.0,0.0038750346,0.011345596,0.011345596,1.0,0.0,0.038081564,0.10562121,0.10564767,1.0002506,2.9585799E-5
6.8,7.3735864E-5,2.1712016E-4,2.1712016E-4,1.0,0.0,3.1597257E-4,9.3018543E-4,9.3018543E-4,1.0,0.0,0.0038401815,0.011266734,0.011266734,1.0,0.0,0.03774495,0.10492276,0.104949236,1.0002524,2.9585799E-5
6.9,7.27575E-5,2.1480983E-4,2.1480983E-4,1.0,0.0,3.117806E-4,9.20291E-4,9.20291E-4,1.0,0.0,0.003789323,0.011147508,0.011147508,1.0,0.0,0.037253562,0.10387066,0.10389718,1.0002552,2.9585799E-5
