Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36659598,0.0,1.9E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.73319197,0.0,3.1E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.099788,0.0,4.7E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.4663839,0.0,6.3E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.8329799,0.0,8.7E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.199576,0.0,9.6E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.566172,0.0,0.00106,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.9327679,0.0,0.00119,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.2993639,0.0,0.00131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.6659598,0.0,0.0014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0325556,0.0,0.00148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.399152,0.0,0.00155,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.7657475,0.0,0.00162,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.132344,0.0,0.00167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.4989395,0.0,0.00179,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.8655357,0.0,0.00191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.2321315,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.5987277,0.0,0.00214,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.9653234,0.0,0.00218,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.3319197,0.0,0.00222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.6985154,0.0,0.0023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.065111,0.0,0.00241,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.431707,0.0,0.00246,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.798304,0.0,0.00257,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9.1649,0.0,0.00265,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9.531495,0.0,0.00269,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
