Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.744542E-5,4.3962966E-5,1.5395813E-4,3.501996,1.1E-4,1.604705E-4,1.8840008E-4,4.1835674E-4,2.2205763,2.3E-4,0.0019519776,0.0022915301,0.0029999032,1.3091266,7.1E-4,0.019349206,0.022697017,0.024114106,1.062435,0.00145
6.1,3.744542E-5,4.3962966E-5,1.5395813E-4,3.501996,1.1E-4,1.604705E-4,1.8840008E-4,4.1835674E-4,2.2205763,2.3E-4,0.0019519776,0.0022915301,0.0029999032,1.3091266,7.1E-4,0.019349206,0.022697017,0.024114106,1.062435,0.00145
6.2,3.744542E-5,4.3962966E-5,1.5395813E-4,3.501996,1.1E-4,1.604705E-4,1.8840008E-4,4.1835674E-4,2.2205763,2.3E-4,0.0019519776,0.0022915301,0.0029999032,1.3091266,7.1E-4,0.019349206,0.022697017,0.024114106,1.062435,0.00145
6.3,2.1079984E-5,2.5353596E-5,8.5352076E-5,3.3664682,6.0E-5,9.0339665E-5,1.0865386E-4,2.4863865E-4,2.2883554,1.4E-4,0.0010993304,0.0013220779,0.0016316681,1.2341694,3.1E-4,0.010939079,0.013144341,0.013825271,1.0518041,6.9E-4
6.4,2.1079984E-5,2.5353596E-5,8.5352076E-5,3.3664682,6.0E-5,9.0339665E-5,1.0865386E-4,2.4863865E-4,2.2883554,1.4E-4,0.0010993304,0.0013220779,0.0016316681,1.2341694,3.1E-4,0.010939079,0.013144341,0.013825271,1.0518041,6.9E-4
6.5,1.7397282E-5,2.0662535E-5,7.06615E-5,3.4197886,5.0E-5,7.455765E-5,8.855078E-5,2.0854016E-4,2.3550346,1.2E-4,9.073613E-4,0.0010775843,0.0013173257,1.2224804,2.4E-4,0.009036654,0.010724886,0.011239309,1.0479654,5.2E-4
6.6,1.52050325E-5,1.76798E-5,4.767927E-5,2.696822,3.0E-5,6.51628E-5,7.576841E-5,1.7576084E-4,2.3197112,1.0E-4,7.9306826E-4,9.220979E-4,0.0011418951,1.2383664,2.2E-4,0.007902439,0.009183581,0.009649265,1.0507083,4.7E-4
6.7,1.332523E-5,1.5264091E-5,4.5263634E-5,2.965367,3.0E-5,5.7106878E-5,6.541593E-5,1.5541005E-4,2.3757217,9.0E-5,6.950544E-4,7.9615373E-4,9.860025E-4,1.2384573,1.9E-4,0.006928845,0.007933645,0.008330472,1.0500182,4.0E-4
6.8,1.1525329E-5,1.303105E-5,3.303079E-5,2.5347757,2.0E-5,4.9393333E-5,5.5846183E-5,1.15842835E-4,2.0743196,6.0E-5,6.011979E-4,6.7971944E-4,8.196243E-4,1.2058274,1.4E-4,0.00599574,0.006776856,0.0070847548,1.0454339,3.1E-4
6.9,1.0253909E-5,1.15144985E-5,3.1514268E-5,2.7369206,2.0E-5,4.3944583E-5,4.9346934E-5,1.0934398E-4,2.215821,6.0E-5,5.3489394E-4,6.0063694E-4,7.105709E-4,1.1830289,1.1E-4,0.0053360825,0.005990515,0.0062390175,1.0414827,2.5E-4
7.0,8.104563E-6,8.991321E-6,1.8991232E-5,2.1121736,1.0E-5,3.4733377E-5,3.8533675E-5,6.853252E-5,1.7785097,3.0E-5,4.2279682E-4,4.6904891E-4,5.290208E-4,1.1278584,6.0E-5,0.0042199334,0.0046808375,0.0048400885,1.034022,1.6E-4
7.1,6.7986157E-6,7.515848E-6,1.7515773E-5,2.3305118,1.0E-5,2.91366E-5,3.221039E-5,4.221007E-5,1.3104488,1.0E-5,3.5468035E-4,3.9209312E-4,4.1208527E-4,1.0509883,2.0E-5,0.003541148,0.0039142296,0.004023799,1.0279926,1.1E-4
7.2,5.6893327E-6,6.280039E-6,1.6279977E-5,2.592337,1.0E-5,2.4382627E-5,2.6914187E-5,3.6913916E-5,1.3715413,1.0E-5,2.9681803E-4,3.2763294E-4,3.476264E-4,1.061024,2.0E-5,0.002964219,0.0032716978,0.003381338,1.0335116,1.1E-4
7.3,4.253348E-6,4.706927E-6,1.470688E-5,3.1245184,1.0E-5,1.8228506E-5,2.01724E-5,3.0172198E-5,1.4957168,1.0E-5,2.2190946E-4,2.4557312E-4,2.655682E-4,1.0814221,2.0E-5,0.00221688,0.0024531984,0.002552953,1.0406631,1.0E-4
7.4,2.5448119E-6,2.8520535E-6,1.2852025E-5,4.5062356,1.0E-5,1.0906291E-5,1.22230385E-5,2.2222916E-5,1.8181173,1.0E-5,1.3277601E-4,1.4880698E-4,1.5880549E-4,1.0671911,1.0E-5,0.001326967,0.0014872355,0.0015571314,1.0469972,7.0E-5
7.5,4.3706837E-8,4.5629356E-8,4.5629356E-8,1.0,0.0,1.8731501E-7,1.9555438E-7,1.9555438E-7,1.0,0.0,2.2805577E-6,2.3808725E-6,2.3808725E-6,1.0,0.0,2.2805343E-5,2.3808525E-5,2.3808525E-5,1.0,0.0
