Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.0211835E-5,3.3985398E-5,0.0010707395,31.505869,0.0010367893,1.2947287E-4,1.4564373E-4,0.0025533198,17.531271,0.0024080267,0.0015751923,0.0017717998,0.008816153,4.9758177,0.007056856,0.015640736,0.01758359,0.030102007,1.7119374,0.012742475
6.1,3.0211835E-5,3.3985398E-5,0.0010707395,31.505869,0.0010367893,1.2947287E-4,1.4564373E-4,0.0025533198,17.531271,0.0024080267,0.0015751923,0.0017717998,0.008816153,4.9758177,0.007056856,0.015640736,0.01758359,0.030102007,1.7119374,0.012742475
6.2,3.0211835E-5,3.3985398E-5,0.0010707395,31.505869,0.0010367893,1.2947287E-4,1.4564373E-4,0.0025533198,17.531271,0.0024080267,0.0015751923,0.0017717998,0.008816153,4.9758177,0.007056856,0.015640736,0.01758359,0.030102007,1.7119374,0.012742475
6.3,2.8573924E-5,3.2103522E-5,0.001001972,31.210659,9.6989964E-4,1.2245393E-4,1.3757942E-4,0.0024449541,17.771221,0.0023076923,0.001489857,0.0016737703,0.008351537,4.989656,0.006688963,0.01479908,0.016618231,0.028556947,1.7184106,0.012140468
6.4,2.8573924E-5,3.2103522E-5,0.001001972,31.210659,9.6989964E-4,1.2245393E-4,1.3757942E-4,0.0024449541,17.771221,0.0023076923,0.001489857,0.0016737703,0.008351537,4.989656,0.006688963,0.01479908,0.016618231,0.028556947,1.7184106,0.012140468
6.5,2.7468774E-5,3.0829244E-5,0.001000699,32.459408,9.6989964E-4,1.1771801E-4,1.3211879E-4,0.0024395061,18.46449,0.0023076923,0.0014322745,0.0016073869,0.008018469,4.988513,0.006421405,0.014230782,0.015964093,0.027515817,1.7236068,0.01173913
6.6,2.6135967E-5,2.9253257E-5,9.991246E-4,34.1543,9.6989964E-4,1.1200648E-4,1.2536523E-4,0.0024327682,19.405447,0.0023076923,0.0013628257,0.0015252795,0.007769921,5.094096,0.006254181,0.013544982,0.015154443,0.026353355,1.7389854,0.011371237
6.7,2.4498746E-5,2.7342086E-5,9.637713E-4,35.24864,9.3645486E-4,1.04990395E-4,1.1717525E-4,0.0023242745,19.835882,0.002207358,0.0012775084,0.0014257001,0.007336993,5.1462383,0.0059197326,0.012701893,0.014171662,0.024722332,1.7444907,0.010702341
6.8,2.2244329E-5,2.4936131E-5,8.944797E-4,35.870827,8.6956524E-4,9.532935E-5,1.0686488E-4,0.0022471044,21.027529,0.0021404682,0.0011600169,0.0013003252,0.0068115443,5.238339,0.0055183945,0.011539802,0.012932883,0.022638492,1.7504599,0.009832776
6.9,1.9902658E-5,2.2290924E-5,7.580605E-4,34.007584,7.357859E-4,8.529431E-5,9.552913E-5,0.0019348183,20.253698,0.0018394649,0.0010379635,0.0011624652,0.0058392966,5.0232015,0.004682274,0.010331288,0.011568946,0.019403668,1.67722,0.007926421
7.0,1.8353881E-5,2.056681E-5,6.560052E-4,31.896307,6.354515E-4,7.865712E-5,8.814059E-5,0.0016599084,18.832508,0.0015719064,9.5722964E-4,0.0010726011,0.005048265,4.706564,0.003979933,0.009531168,0.0106791705,0.01746214,1.6351588,0.0068561872
7.1,1.7667631E-5,1.9773222E-5,6.21768E-4,31.44495,6.020067E-4,7.571623E-5,8.473973E-5,0.0015896289,18.758957,0.0015050167,9.2145515E-4,0.0010312354,0.004873423,4.72581,0.0038461538,0.009176437,0.010269388,0.016790355,1.6349909,0.006588629
7.2,1.6381597E-5,1.8158824E-5,4.8637774E-4,26.78465,4.6822743E-4,7.020495E-5,7.782131E-5,0.0013151832,16.90004,0.0012374582,8.544101E-4,9.4707985E-4,0.0041547413,4.3868966,0.0032107024,0.008511325,0.009435088,0.015133321,1.6039406,0.0057525085
7.3,1.4520491E-5,1.5966963E-5,4.8418692E-4,30.324295,4.6822743E-4,6.222919E-5,6.842814E-5,0.001205474,17.616642,0.0011371238,7.57377E-4,8.3281036E-4,0.0036064184,4.3304195,0.0027759196,0.0075480095,0.008300003,0.0132087525,1.5914153,0.004949833
7.4,1.2852287E-5,1.4145856E-5,4.8236665E-4,34.099503,4.6822743E-4,5.5080065E-5,6.0623777E-5,0.0011642358,19.204277,0.001103679,6.7039346E-4,7.3786033E-4,0.0032443707,4.3969984,0.0025083611,0.0066837464,0.007357025,0.011905256,1.6182159,0.00458194
7.5,1.1637851E-5,1.2837149E-5,4.8105855E-4,37.473938,4.6822743E-4,4.987555E-5,5.5015284E-5,0.0011251905,20.452326,0.0010702341,6.070656E-4,6.6962093E-4,0.00314288,4.6935215,0.0024749164,0.006054099,0.0066789286,0.0111970445,1.6764731,0.004548495
7.6,3.0068115E-6,3.3331687E-6,1.3711199E-4,41.135628,1.3377926E-4,1.2886271E-5,1.4284972E-5,3.15284E-4,22.071028,3.0100334E-4,1.5687906E-4,1.7391294E-4,0.0010098879,5.806859,8.361204E-4,0.0015676835,0.001739208,0.0037090203,2.1325915,0.0019732441
