Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.8770423E-5,1.6280406E-5,1.6280406E-5,1.0,0.0,8.044219E-5,6.977132E-5,6.977132E-5,1.0,0.0,9.789435E-4,8.491386E-4,8.5913006E-4,1.0117667,1.0E-5,0.009746423,0.008471654,0.008481569,1.0011704,1.0E-5
6.1,1.8770423E-5,1.6280406E-5,1.6280406E-5,1.0,0.0,8.044219E-5,6.977132E-5,6.977132E-5,1.0,0.0,9.789435E-4,8.491386E-4,8.5913006E-4,1.0117667,1.0E-5,0.009746423,0.008471654,0.008481569,1.0011704,1.0E-5
6.2,1.7508692E-5,1.4899894E-5,1.4899894E-5,1.0,0.0,7.5035096E-5,6.385514E-5,6.385514E-5,1.0,0.0,9.1316935E-4,7.771621E-4,7.871543E-4,1.0128573,1.0E-5,0.00909426,0.0077570733,0.0077669956,1.0012791,1.0E-5
6.3,1.7508692E-5,1.4899894E-5,1.4899894E-5,1.0,0.0,7.5035096E-5,6.385514E-5,6.385514E-5,1.0,0.0,9.1316935E-4,7.771621E-4,7.871543E-4,1.0128573,1.0E-5,0.00909426,0.0077570733,0.0077669956,1.0012791,1.0E-5
6.4,1.6004591E-5,1.324971E-5,1.324971E-5,1.0,0.0,6.85893E-5,5.678324E-5,5.678324E-5,1.0,0.0,8.347548E-4,6.911177E-4,7.011108E-4,1.0144594,1.0E-5,0.008316261,0.0069021136,0.0069120442,1.0014389,1.0E-5
6.5,1.6004591E-5,1.324971E-5,1.324971E-5,1.0,0.0,6.85893E-5,5.678324E-5,5.678324E-5,1.0,0.0,8.347548E-4,6.911177E-4,7.011108E-4,1.0144594,1.0E-5,0.008316261,0.0069021136,0.0069120442,1.0014389,1.0E-5
6.6,1.5442201E-5,1.2634333E-5,1.2634333E-5,1.0,0.0,6.617918E-5,5.4146025E-5,5.4146025E-5,1.0,0.0,8.0543366E-4,6.590293E-4,6.6902273E-4,1.0151638,1.0E-5,0.008025207,0.006583161,0.006593095,1.0015091,1.0E-5
6.7,1.489921E-5,1.2042835E-5,1.2042835E-5,1.0,0.0,6.3852196E-5,5.1611136E-5,5.1611136E-5,1.0,0.0,7.7712315E-4,6.281851E-4,6.3817884E-4,1.0159088,1.0E-5,0.0077441116,0.0062764906,0.006286428,1.0015832,1.0E-5
6.8,1.3876024E-5,1.0921772E-5,1.0921772E-5,1.0,0.0,5.9467322E-5,4.6806756E-5,4.6806756E-5,1.0,0.0,7.237741E-4,5.697236E-4,5.7971786E-4,1.0175424,1.0E-5,0.0072142133,0.0056949924,0.0057049356,1.0017459,1.0E-5
6.9,1.33922495E-5,1.0393267E-5,1.0393267E-5,1.0,0.0,5.7394092E-5,4.4541815E-5,4.4541815E-5,1.0,0.0,6.9854903E-4,5.421619E-4,5.5215653E-4,1.0184346,1.0E-5,0.0069635725,0.0054207467,0.005430693,1.0018348,1.0E-5
7.0,1.2807324E-5,9.753221E-6,9.753221E-6,1.0,0.0,5.4887376E-5,4.179885E-5,4.179885E-5,1.0,0.0,6.680489E-4,5.0878234E-4,5.1877723E-4,1.0196447,1.0E-5,0.006660442,0.005088521,0.00509847,1.0019552,1.0E-5
7.1,1.2191438E-5,9.062097E-6,9.062097E-6,1.0,0.0,5.224797E-5,3.883698E-5,3.883698E-5,1.0,0.0,6.3593336E-4,4.7273774E-4,4.82733E-4,1.0211434,1.0E-5,0.0063411663,0.0047296593,0.004739612,1.0021043,1.0E-5
7.2,1.1769438E-5,8.582283E-6,8.582283E-6,1.0,0.0,5.0439474E-5,3.6780693E-5,3.6780693E-5,1.0,0.0,6.1392755E-4,4.47713E-4,4.5770852E-4,1.0223258,1.0E-5,0.0061223423,0.004480447,0.0044904025,1.002222,1.0E-5
7.3,1.150374E-5,8.297709E-6,8.297709E-6,1.0,0.0,4.9300812E-5,3.5561126E-5,3.5561126E-5,1.0,0.0,6.0007203E-4,4.3287076E-4,4.4286644E-4,1.0230916,1.0E-5,0.0059845424,0.004332595,0.0043425513,1.0022981,1.0E-5
7.4,1.12514E-5,8.043448E-6,8.043448E-6,1.0,0.0,4.8219394E-5,3.4471464E-5,3.4471464E-5,1.0,0.0,5.8691297E-4,4.1960934E-4,4.2960513E-4,1.0238217,1.0E-5,0.005853653,0.0042004758,0.0042104335,1.0023707,1.0E-5
7.5,1.059696E-5,7.393731E-6,7.393731E-6,1.0,0.0,4.5414752E-5,3.1687036E-5,3.1687036E-5,1.0,0.0,5.5278436E-4,3.857214E-4,3.9571754E-4,1.0259155,1.0E-5,0.0055141128,0.00386276,0.0038727215,1.0025789,1.0E-5
7.6,9.018592E-6,5.837476E-6,5.837476E-6,1.0,0.0,3.8650534E-5,2.5017514E-5,2.5017514E-5,1.0,0.0,4.7046866E-4,3.045457E-4,3.1454265E-4,1.0328258,1.0E-5,0.004694739,0.003053146,0.0030631155,1.0032653,1.0E-5
7.7,6.243489E-6,3.239967E-6,3.239967E-6,1.0,0.0,2.6757538E-5,1.3885499E-5,1.3885499E-5,1.0,0.0,3.257243E-4,1.6904285E-4,1.7904116E-4,1.0591466,1.0E-5,0.003252473,0.001699331,0.001709314,1.0058746,1.0E-5
7.8,3.1941963E-6,1.3812611E-6,1.3812611E-6,1.0,0.0,1.368934E-5,5.919677E-6,5.919677E-6,1.0,0.0,1.6665498E-4,7.2069684E-5,7.2069684E-5,1.0,0.0,0.0016653005,7.2645675E-4,7.2645675E-4,1.0,0.0
