Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.0708583E-5,3.3097214E-5,2.1309126E-4,6.438344,1.8E-4,1.3160157E-4,1.4183826E-4,6.317688E-4,4.454149,4.9E-4,0.0016010714,0.0017256497,0.0041814046,2.42309,0.00246,0.015895851,0.017136335,0.022099797,1.2896454,0.00505
6.1,3.0708583E-5,3.3097214E-5,2.1309126E-4,6.438344,1.8E-4,1.3160157E-4,1.4183826E-4,6.317688E-4,4.454149,4.9E-4,0.0016010714,0.0017256497,0.0041814046,2.42309,0.00246,0.015895851,0.017136335,0.022099797,1.2896454,0.00505
6.2,1.1707779E-5,1.2545598E-5,4.2545224E-5,3.3912468,3.0E-5,5.017523E-5,5.3765798E-5,2.2375665E-4,4.1616917,1.7E-4,6.107122E-4,6.5441156E-4,0.0015738095,2.4049232,9.2E-4,0.006090366,0.0065258164,0.008443221,1.2938185,0.00193
6.3,1.1707779E-5,1.2545598E-5,4.2545224E-5,3.3912468,3.0E-5,5.017523E-5,5.3765798E-5,2.2375665E-4,4.1616917,1.7E-4,6.107122E-4,6.5441156E-4,0.0015738095,2.4049232,9.2E-4,0.006090366,0.0065258164,0.008443221,1.2938185,0.00193
6.4,7.929244E-6,8.4804105E-6,1.8480327E-5,2.1791782,1.0E-5,3.3982033E-5,3.6344132E-5,1.2634086E-4,3.476238,9.0E-5,4.136527E-4,4.4240404E-4,0.001032143,2.3330326,5.9E-4,0.0041288356,0.0044156383,0.0056899865,1.2885988,0.00128
6.5,5.8832115E-6,6.286219E-6,6.286219E-6,1.0,0.0,2.521352E-5,2.6940676E-5,8.693906E-5,3.2270555,6.0E-5,3.0693135E-4,3.279559E-4,7.8780507E-4,2.4021676,4.6E-4,0.0030650778,0.0032749726,0.004251763,1.2982591,9.8E-4
6.6,5.8832115E-6,6.286219E-6,6.286219E-6,1.0,0.0,2.521352E-5,2.6940676E-5,8.693906E-5,3.2270555,6.0E-5,3.0693135E-4,3.279559E-4,7.8780507E-4,2.4021676,4.6E-4,0.0030650778,0.0032749726,0.004251763,1.2982591,9.8E-4
6.7,3.0715053E-6,3.2815851E-6,3.2815851E-6,1.0,0.0,1.3163528E-5,1.4063868E-5,3.4063585E-5,2.422064,2.0E-5,1.6025416E-4,1.7121529E-4,3.6118276E-4,2.109524,1.9E-4,0.0016013865,0.0017109484,0.0020803153,1.2158843,3.7E-4
6.8,2.2722281E-6,2.4288424E-6,2.4288424E-6,1.0,0.0,9.738084E-6,1.0409289E-5,1.0409289E-5,1.0,0.0,1.1855473E-4,1.2672663E-4,2.2671396E-4,1.7890002,1.0E-4,0.001184915,0.0012666339,0.0015163171,1.1971235,2.5E-4
6.9,9.952399E-7,1.0653887E-6,1.0653887E-6,1.0,0.0,4.265307E-6,4.5659463E-6,4.5659463E-6,1.0,0.0,5.1928873E-5,5.5589495E-5,8.5587824E-5,1.5396403,3.0E-5,5.191674E-4,5.558065E-4,6.057787E-4,1.0899093,5.0E-5
7.0,4.7385504E-7,5.075751E-7,5.075751E-7,1.0,0.0,2.0308057E-6,2.175322E-6,2.175322E-6,1.0,0.0,2.4724779E-5,2.6484544E-5,4.6484012E-5,1.7551374,2.0E-5,2.4722028E-4,2.6484544E-4,2.8484015E-4,1.0754957,2.0E-5
