Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,654.0,1330.36,1157.0,1035.0,815.0,18378.0,941.0,1020.0,1475.0,3223.0
2.6,508.0,1056.766,919.0,831.0,633.0,14565.0,744.0,809.0,1173.0,2563.0
2.7,399.0,839.38794,731.0,660.0,498.0,11549.0,587.0,641.0,933.0,2036.0
2.8,305.0,666.6683,581.0,539.0,386.0,9173.0,462.0,508.0,742.0,1618.0
2.9,244.0,529.4843,462.0,429.0,288.0,7238.0,364.0,402.0,590.0,1285.0
3.0,203.0,420.56146,367.0,332.0,225.0,5756.0,286.0,318.0,470.0,1022.0
3.1,162.0,334.04602,292.0,262.0,176.0,4636.0,224.0,252.0,375.0,811.0
3.2,135.0,265.36575,232.0,216.0,136.0,3662.0,176.0,199.0,299.0,646.0
3.3,108.0,210.78252,185.0,170.0,98.0,2896.0,137.0,157.0,238.0,513.0
3.4,80.0,167.42082,147.0,140.0,76.0,2325.0,107.0,124.0,190.0,407.0
3.5,56.0,132.9617,117.0,112.0,57.0,1845.0,83.0,97.0,152.0,324.0
3.6,38.0,105.60771,93.0,87.0,41.0,1505.0,64.0,76.0,122.0,258.0
3.7,24.0,83.86528,74.0,68.0,30.0,1208.0,49.0,60.0,98.0,205.0
3.8,20.0,66.59458,59.0,53.0,19.0,957.0,37.0,47.0,78.0,164.0
3.9,14.0,52.87027,47.0,44.0,15.0,753.0,28.0,36.0,63.0,130.0
4.0,8.0,41.97411,37.0,34.0,9.0,600.0,21.0,28.0,51.0,104.0
4.1,8.0,33.30499,30.0,26.0,5.0,465.0,16.0,22.0,41.0,83.0
4.2,7.0,26.43484,23.0,22.0,3.0,357.0,12.0,17.0,33.0,66.0
4.3,6.0,20.9719,19.0,17.0,2.0,287.0,9.0,13.0,27.0,53.0
4.4,4.0,16.63334,15.0,13.0,1.0,221.0,6.0,10.0,22.0,42.0
4.5,3.0,13.18574,12.0,10.0,0.0,182.0,4.0,7.0,18.0,34.0
4.6,3.0,10.4497,9.0,8.0,0.0,144.0,3.0,5.0,14.0,28.0
4.7,2.0,8.26932,7.0,6.0,0.0,111.0,2.0,4.0,12.0,22.0
4.8,1.0,6.54142,6.0,5.0,0.0,91.0,1.0,3.0,10.0,18.0
4.9,1.0,5.17004,4.0,3.0,0.0,70.0,1.0,2.0,8.0,15.0
5.0,1.0,4.0809,3.0,3.0,0.0,53.0,0.0,1.0,6.0,12.0
5.1,0.0,3.21598,3.0,2.0,0.0,37.0,0.0,1.0,5.0,10.0
5.2,0.0,2.53116,2.0,1.0,0.0,30.0,0.0,1.0,4.0,8.0
5.3,0.0,1.98542,2.0,1.0,0.0,23.0,0.0,0.0,4.0,7.0
5.4,0.0,1.55175,1.0,1.0,0.0,19.0,0.0,0.0,3.0,6.0
5.5,0.0,1.20787,1.0,0.0,0.0,17.0,0.0,0.0,2.0,5.0
5.6,0.0,0.93321,1.0,0.0,0.0,15.0,0.0,0.0,2.0,4.0
5.7,0.0,0.71475,0.0,0.0,0.0,12.0,0.0,0.0,2.0,3.0
5.8,0.0,0.54272,0.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0
5.9,0.0,0.40805,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
6.0,0.0,0.31206,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
6.1,0.0,0.22529,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
6.2,0.0,0.14952,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
6.3,0.0,0.11212,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
6.4,0.0,0.08351,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.5,0.0,0.06395,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.6,0.0,0.05347,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.7,0.0,0.04322,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.8,0.0,0.03506,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.9,0.0,0.02778,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
7.0,0.0,0.02179,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7.1,0.0,0.01837,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.2,0.0,0.01391,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.3,0.0,0.00969,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.4,0.0,0.00856,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
