Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.7496446E-4,5.0567614E-4,5.0567614E-4,1.0,0.0,0.0011778869,0.0021654228,0.0021654228,1.0,0.0,0.0142467655,0.02603894,0.026048679,1.0003741,1.0E-5,0.13367249,0.22807938,0.22811797,1.0001693,5.0E-5
6.1,2.5356023E-4,4.8670304E-4,4.8670304E-4,1.0,0.0,0.001086234,0.002084241,0.002084241,1.0,0.0,0.013144928,0.025080038,0.025089787,1.0003887,1.0E-5,0.123940155,0.21950823,0.21954726,1.0001777,5.0E-5
6.2,2.4820742E-4,4.776551E-4,4.776551E-4,1.0,0.0,0.0010633124,0.0020455252,0.0020455252,1.0,0.0,0.01286919,0.024619855,0.02462961,1.0003961,1.0E-5,0.12148927,0.21601348,0.21604484,1.0001452,4.0E-5
6.3,2.3205351E-4,4.590242E-4,4.590242E-4,1.0,0.0,9.94136E-4,0.0019658,0.0019658,1.0,0.0,0.012036599,0.023666015,0.023675779,1.0004126,1.0E-5,0.11405133,0.20796531,0.207997,1.0001523,4.0E-5
6.4,2.0304754E-4,3.988816E-4,3.988816E-4,1.0,0.0,8.6991355E-4,0.001708387,0.001708387,1.0,0.0,0.010539869,0.02060005,0.020609844,1.0004754,1.0E-5,0.100537635,0.185097,0.1851296,1.0001761,4.0E-5
6.5,1.854992E-4,3.6999586E-4,3.6999586E-4,1.0,0.0,7.9475436E-4,0.0015847452,0.0015847452,1.0,0.0,0.009633281,0.019126106,0.019135915,1.0005128,1.0E-5,0.0922623,0.17332682,0.17335989,1.0001907,4.0E-5
6.6,1.6586106E-4,3.4044893E-4,3.4044893E-4,1.0,0.0,7.106394E-4,0.001458261,0.001458261,1.0,0.0,0.008617763,0.017607149,0.017616972,1.0005579,1.0E-5,0.08291132,0.16080214,0.16083571,1.0002087,4.0E-5
6.7,1.4224656E-4,3.0775566E-4,3.0775566E-4,1.0,0.0,6.094856E-4,0.0013182943,0.0013182943,1.0,0.0,0.0073952693,0.015934104,0.015943944,1.0006176,1.0E-5,0.07153955,0.146514,0.14654814,1.000233,4.0E-5
6.8,1.2317259E-4,2.7798547E-4,2.7798547E-4,1.0,0.0,5.2777573E-4,0.0011908285,0.0011908285,1.0,0.0,0.0064067547,0.01440334,0.014413197,1.0006843,1.0E-5,0.06225166,0.13296336,0.13299805,1.0002608,4.0E-5
6.9,9.859898E-5,2.5019908E-4,2.5019908E-4,1.0,0.0,4.2249862E-4,0.0010718454,0.0010718454,1.0,0.0,0.0051317946,0.012972599,0.012972599,1.0,0.0,0.05014893,0.119427115,0.11944472,1.0001475,2.0E-5
7.0,7.3191884E-5,2.1271173E-4,2.1271173E-4,1.0,0.0,3.136418E-4,9.113064E-4,9.113064E-4,1.0,0.0,0.003811904,0.011039398,0.011039398,1.0,0.0,0.037471764,0.10207956,0.10209752,1.000176,2.0E-5
7.1,7.1760296E-5,2.0972485E-4,2.0972485E-4,1.0,0.0,3.0750787E-4,8.9851435E-4,8.9851435E-4,1.0,0.0,0.003737482,0.01088522,0.01088522,1.0,0.0,0.03675245,0.1007159,0.10073388,1.0001786,2.0E-5
7.2,6.46614E-5,1.9140878E-4,1.9140878E-4,1.0,0.0,2.7709085E-4,8.2006847E-4,8.2006847E-4,1.0,0.0,0.0033683628,0.009939248,0.009939248,1.0,0.0,0.033177625,0.092523254,0.092541404,1.0001962,2.0E-5
7.3,6.088115E-5,1.781241E-4,1.781241E-4,1.0,0.0,2.6089314E-4,7.631685E-4,7.631685E-4,1.0,0.0,0.0031717476,0.009252568,0.009252568,1.0,0.0,0.031268585,0.08657277,0.086591035,1.000211,2.0E-5
7.4,4.199346E-5,1.1513443E-4,1.1513443E-4,1.0,0.0,1.7995955E-4,4.9334083E-4,4.9334083E-4,1.0,0.0,0.0021888057,0.005990052,0.005990052,1.0,0.0,0.02167372,0.057449117,0.057467967,1.0003282,2.0E-5
7.5,3.130448E-5,8.3357954E-5,8.3357954E-5,1.0,0.0,1.3415517E-4,3.5719978E-4,3.5719978E-4,1.0,0.0,0.0016321153,0.0043402947,0.0043402947,1.0,0.0,0.016201803,0.042141106,0.042141106,1.0,0.0
7.6,2.3074248E-5,6.086575E-5,6.086575E-5,1.0,0.0,9.888588E-5,2.6082728E-4,2.6082728E-4,1.0,0.0,0.0012032706,0.003170971,0.003170971,1.0,0.0,0.011967761,0.031034198,0.031034198,1.0,0.0
7.7,1.45864815E-5,4.0141942E-5,4.0141942E-5,1.0,0.0,6.2511994E-5,1.7202558E-4,1.7202558E-4,1.0,0.0,7.608177E-4,0.002092405,0.002092405,1.0,0.0,0.007582182,0.02063468,0.02063468,1.0,0.0
7.8,1.0352979E-5,3.097546E-5,3.097546E-5,1.0,0.0,4.4369157E-5,1.3274523E-4,1.3274523E-4,1.0,0.0,5.400606E-4,0.0016149776,0.0016149776,1.0,0.0,0.0053875,0.016022595,0.016022595,1.0,0.0
7.9,8.137906E-6,2.216039E-5,2.216039E-5,1.0,0.0,3.4876273E-5,9.496964E-5,9.496964E-5,1.0,0.0,4.2453592E-4,0.001155643,0.001155643,1.0,0.0,0.004237258,0.011622993,0.011622993,1.0,0.0
8.0,6.93792E-6,1.8018303E-5,1.8018303E-5,1.0,0.0,2.9733603E-5,7.721902E-5,7.721902E-5,1.0,0.0,3.6194647E-4,9.397368E-4,9.397368E-4,1.0,0.0,0.0036135751,0.009505922,0.009505922,1.0,0.0
8.1,3.4286315E-6,6.383862E-6,6.383862E-6,1.0,0.0,1.4694053E-5,2.7359121E-5,2.7359121E-5,1.0,0.0,1.7888541E-4,3.330465E-4,3.330465E-4,1.0,0.0,0.0017874148,0.0034880012,0.0034880012,1.0,0.0
8.2,1.4906886E-6,1.9380652E-6,1.9380652E-6,1.0,0.0,6.3886496E-6,8.305968E-6,8.305968E-6,1.0,0.0,7.7779034E-5,1.01120495E-4,1.01120495E-4,1.0,0.0,7.775182E-4,0.0011082697,0.0011082697,1.0,0.0
8.3,2.5758007E-8,1.4511432E-8,1.4511432E-8,1.0,0.0,1.10391454E-7,6.219185E-8,6.219185E-8,1.0,0.0,1.3440151E-6,7.5718583E-7,7.5718583E-7,1.0,0.0,1.344007E-5,7.894757E-6,7.894757E-6,1.0,0.0
