Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2336002E-4,3.0008948E-4,3.2008346E-4,1.0666268,2.0E-5,5.2857865E-4,0.0012854899,0.0013653871,1.0621531,8.0E-5,0.006416472,0.015543484,0.01585851,1.0202674,3.2E-4,0.06234337,0.14285627,0.14333627,1.00336,5.6E-4
6.1,1.2336002E-4,3.0008948E-4,3.2008346E-4,1.0666268,2.0E-5,5.2857865E-4,0.0012854899,0.0013653871,1.0621531,8.0E-5,0.006416472,0.015543484,0.01585851,1.0202674,3.2E-4,0.06234337,0.14285627,0.14333627,1.00336,5.6E-4
6.2,1.2336002E-4,3.0008948E-4,3.2008346E-4,1.0666268,2.0E-5,5.2857865E-4,0.0012854899,0.0013653871,1.0621531,8.0E-5,0.006416472,0.015543484,0.01585851,1.0202674,3.2E-4,0.06234337,0.14285627,0.14333627,1.00336,5.6E-4
6.3,1.1712257E-4,2.8797207E-4,3.0796631E-4,1.0694312,2.0E-5,5.018573E-4,0.001233608,0.0013035216,1.0566741,7.0E-5,0.006093008,0.01492059,0.015225965,1.0204667,3.1E-4,0.059286322,0.13756467,0.13803901,1.0034481,5.5E-4
6.4,1.1712257E-4,2.8797207E-4,3.0796631E-4,1.0694312,2.0E-5,5.018573E-4,0.001233608,0.0013035216,1.0566741,7.0E-5,0.006093008,0.01492059,0.015225965,1.0204667,3.1E-4,0.059286322,0.13756467,0.13803901,1.0034481,5.5E-4
6.5,1.0689076E-4,2.6809986E-4,2.880945E-4,1.0745791,2.0E-5,4.5802278E-4,0.0011485183,0.0012184379,1.060878,7.0E-5,0.0055621783,0.013898174,0.014194004,1.0212855,3.0E-4,0.05425003,0.12881182,0.12925613,1.0034493,5.1E-4
6.6,9.7648895E-5,2.5054725E-4,2.7054225E-4,1.0798053,2.0E-5,4.1842813E-4,0.0010733557,0.0011432805,1.0651461,7.0E-5,0.005082469,0.012994168,0.01329027,1.0227873,3.0E-4,0.049677886,0.12097161,0.12141112,1.0036331,5.0E-4
6.7,8.757013E-5,2.3125445E-4,2.5124985E-4,1.0864648,2.0E-5,3.7524657E-4,9.907364E-4,0.001060667,1.0705845,7.0E-5,0.00455906,0.011999588,0.012295988,1.0247009,3.0E-4,0.04466656,0.11227982,0.1127148,1.0038741,4.9E-4
6.8,8.562978E-5,2.2685292E-4,2.468484E-4,1.0881429,2.0E-5,3.6693315E-4,9.7188674E-4,0.0010418188,1.0719548,7.0E-5,0.004458263,0.01177259,0.012069058,1.025183,3.0E-4,0.043698758,0.11029001,0.11071708,1.0038722,4.8E-4
6.9,6.124075E-5,1.7069813E-4,1.9069471E-4,1.1171459,2.0E-5,2.6243398E-4,7.313591E-4,7.913152E-4,1.081979,6.0E-5,0.0031904527,0.00886815,0.009145668,1.0312936,2.8E-4,0.031450346,0.08419993,0.0846212,1.0050032,4.6E-4
7.0,5.8598747E-5,1.6498787E-4,1.8498457E-4,1.121201,2.0E-5,2.5111332E-4,7.069001E-4,7.6685764E-4,1.0848176,6.0E-5,0.0030530186,0.008572741,0.008850341,1.0323817,2.8E-4,0.03011414,0.08151753,0.08194003,1.005183,4.6E-4
7.1,5.613814E-5,1.5917298E-4,1.791698E-4,1.1256294,2.0E-5,2.4056983E-4,6.819924E-4,7.4195146E-4,1.0879176,6.0E-5,0.0029250039,0.008271826,0.0085495105,1.0335698,2.8E-4,0.028868021,0.078816354,0.07923089,1.0052595,4.5E-4
7.2,4.991222E-5,1.4523676E-4,1.6523384E-4,1.1376861,2.0E-5,2.1389198E-4,6.2229513E-4,6.822578E-4,1.0963572,6.0E-5,0.002601025,0.0075502265,0.007818188,1.0354905,2.7E-4,0.025707912,0.072269924,0.07267813,1.0056483,4.4E-4
7.3,4.7410045E-5,1.3717797E-4,1.5717522E-4,1.145776,2.0E-5,2.0317009E-4,5.8777345E-4,6.4773817E-4,1.1020201,6.0E-5,0.0024707897,0.0071327467,0.007390892,1.0361916,2.6E-4,0.024434982,0.06855203,0.06895255,1.0058426,4.3E-4
7.4,4.5556746E-5,1.3125638E-4,1.5125377E-4,1.1523535,2.0E-5,1.952286E-4,5.6240644E-4,6.2237267E-4,1.1066244,6.0E-5,0.002374317,0.006825879,0.0070841047,1.0378304,2.6E-4,0.023491086,0.065804236,0.06620594,1.0061046,4.3E-4
7.5,4.3084514E-5,1.2360894E-4,1.4360648E-4,1.1617806,2.0E-5,1.8463485E-4,5.2964536E-4,5.8961357E-4,1.1132233,6.0E-5,0.0022456115,0.006429438,0.0066877664,1.040179,2.6E-4,0.022230545,0.062204733,0.06259861,1.0063319,4.2E-4
7.6,3.408608E-5,9.838868E-5,1.18386706E-4,1.2032554,2.0E-5,1.4607502E-4,4.215977E-4,4.815724E-4,1.1422558,6.0E-5,0.0017770125,0.005120897,0.005369617,1.0485696,2.5E-4,0.017628696,0.050035115,0.0504151,1.0075943,4.0E-4
7.7,2.8315713E-5,8.251823E-5,1.02516584E-4,1.2423507,2.0E-5,1.2134742E-4,3.5360164E-4,4.1358045E-4,1.1696224,6.0E-5,0.0014764034,0.004296611,0.004545537,1.0579354,2.5E-4,0.01466633,0.04228543,0.042668518,1.0090595,4.0E-4
7.8,2.6222975E-5,7.4660275E-5,9.465878E-5,1.26786,2.0E-5,1.1237934E-4,3.1993337E-4,3.7991419E-4,1.187479,6.0E-5,0.0013673597,0.003888238,0.004137266,1.0640465,2.5E-4,0.013589768,0.03844993,0.038834546,1.0100031,4.0E-4
