Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24014771,0.0,0.89462,1.0,0.0,0.0,894.0,0.0,0.0,2.0,3.0
0.48029542,0.0,1.8649,1.0,1.0,0.0,1596.0,0.0,0.0,3.0,6.0
0.7204431,0.0,2.84554,2.0,2.0,0.0,2100.0,0.0,1.0,4.0,8.0
0.96059084,0.0,3.85623,3.0,3.0,0.0,2337.0,0.0,1.0,6.0,10.0
1.2007385,0.0,4.89001,4.0,3.0,0.0,2498.0,1.0,2.0,7.0,12.0
1.4408863,0.0,5.95378,5.0,4.0,0.0,2655.0,1.0,3.0,8.0,14.0
1.681034,0.0,6.97375,6.0,5.0,0.0,2791.0,1.0,3.0,9.0,16.0
1.9211817,0.0,8.008,7.0,6.0,0.0,2883.0,2.0,4.0,10.0,18.0
2.1613295,0.0,9.07981,8.0,7.0,0.0,2956.0,2.0,5.0,11.0,20.0
2.401477,0.0,10.16143,8.0,7.0,0.0,3018.0,3.0,5.0,13.0,22.0
2.641625,0.0,11.21096,9.0,8.0,0.0,3081.0,3.0,6.0,14.0,24.0
2.8817725,0.0,12.28443,10.0,9.0,0.0,3139.0,4.0,7.0,15.0,26.0
3.1219203,0.0,13.35376,11.0,10.0,0.0,3204.0,4.0,7.0,16.0,29.0
3.362068,0.0,14.42092,12.0,11.0,0.0,3255.0,5.0,8.0,17.0,31.0
3.6022158,1.0,15.46736,13.0,12.0,0.0,3313.0,6.0,9.0,18.0,33.0
3.8423634,2.0,16.52141,14.0,13.0,1.0,3363.0,6.0,10.0,19.0,35.0
4.082511,3.0,17.58623,15.0,13.0,2.0,3416.0,7.0,10.0,21.0,37.0
4.322659,3.0,18.65529,16.0,14.0,2.0,3442.0,7.0,11.0,22.0,40.0
4.5628066,3.0,19.72303,16.0,15.0,2.0,3577.0,8.0,12.0,23.0,42.0
4.802954,3.0,20.76448,17.0,16.0,2.0,3634.0,8.0,12.0,24.0,44.0
5.043102,3.0,21.82558,18.0,18.0,3.0,3683.0,9.0,13.0,25.0,47.0
5.28325,4.0,22.88767,19.0,18.0,3.0,3722.0,10.0,14.0,26.0,49.0
5.5233974,4.0,23.95213,20.0,19.0,3.0,3752.0,10.0,15.0,27.0,51.0
5.763545,4.0,25.01339,21.0,19.0,3.0,3772.0,11.0,15.0,28.0,53.0
6.0036926,4.0,26.04113,22.0,20.0,3.0,3796.0,12.0,16.0,29.0,55.0
6.2438407,5.0,27.09667,23.0,22.0,3.0,3821.0,12.0,17.0,31.0,58.0
6.4839883,6.0,28.15523,23.0,22.0,5.0,3859.0,13.0,18.0,32.0,60.0
6.724136,7.0,29.22982,24.0,22.0,5.0,3876.0,13.0,18.0,33.0,63.0
6.9642835,7.0,30.27751,25.0,24.0,5.0,3915.0,14.0,19.0,34.0,65.0
7.2044315,8.0,31.32247,26.0,25.0,5.0,3932.0,15.0,20.0,35.0,68.0
7.444579,8.0,32.36181,27.0,25.0,6.0,3956.0,15.0,20.0,36.0,70.0
7.6847267,9.0,33.40622,28.0,26.0,7.0,3983.0,16.0,21.0,37.0,72.0
7.924875,9.0,34.42235,29.0,26.0,8.0,4004.0,17.0,22.0,38.0,75.0
8.165022,9.0,35.43082,30.0,27.0,8.0,4093.0,17.0,23.0,39.0,77.0
8.40517,9.0,36.46756,30.0,28.0,8.0,4216.0,18.0,23.0,40.0,79.0
8.645318,9.0,37.50739,31.0,30.0,8.0,4359.0,18.0,24.0,41.0,82.0
8.885466,9.0,38.52912,32.0,30.0,8.0,4455.0,19.0,25.0,43.0,84.0
9.125613,10.0,39.55892,33.0,31.0,9.0,4540.0,20.0,26.0,44.0,86.0
9.365761,10.0,40.59019,34.0,31.0,9.0,4622.0,20.0,26.0,45.0,89.0
9.605908,10.0,41.60384,35.0,32.0,10.0,4690.0,21.0,27.0,46.0,92.0
9.846056,10.0,42.61448,36.0,34.0,11.0,4745.0,22.0,28.0,47.0,94.0
10.086204,10.0,43.6292,36.0,33.0,12.0,4820.0,22.0,29.0,48.0,96.0
10.326352,10.0,44.66093,37.0,34.0,12.0,4876.0,23.0,29.0,49.0,98.0
10.5665,12.0,45.69013,38.0,34.0,12.0,4934.0,24.0,30.0,50.0,101.0
10.806647,12.0,46.71637,39.0,37.0,12.0,5000.0,24.0,31.0,51.0,103.0
11.046795,12.0,47.73118,40.0,37.0,12.0,5047.0,25.0,31.0,52.0,105.0
11.2869425,13.0,48.73304,41.0,37.0,12.0,5094.0,25.0,32.0,53.0,108.0
11.52709,13.0,49.75488,41.0,39.0,12.0,5138.0,26.0,33.0,54.0,110.0
11.767238,13.0,50.77305,42.0,39.0,12.0,5167.0,27.0,34.0,55.0,113.0
12.007385,14.0,51.82506,43.0,41.0,12.0,5198.0,27.0,34.0,56.0,115.0
12.247534,15.0,52.83506,44.0,43.0,12.0,5225.0,28.0,35.0,57.0,117.0
12.487681,15.0,53.82887,45.0,44.0,13.0,5251.0,29.0,36.0,58.0,120.0
12.727829,16.0,54.8165,46.0,44.0,13.0,5283.0,29.0,37.0,60.0,122.0
12.967977,16.0,55.80991,47.0,44.0,13.0,5310.0,30.0,37.0,61.0,124.0
13.208124,16.0,56.83482,47.0,44.0,13.0,5335.0,31.0,38.0,62.0,126.0
13.448272,16.0,57.83995,48.0,45.0,14.0,5367.0,31.0,39.0,63.0,129.0
13.688419,17.0,58.82829,49.0,47.0,16.0,5405.0,32.0,39.0,64.0,131.0
13.928567,17.0,59.84753,50.0,47.0,18.0,5439.0,32.0,40.0,65.0,132.0
14.1687155,18.0,60.85303,51.0,47.0,18.0,5455.0,33.0,41.0,66.0,135.0
14.408863,19.0,61.85371,51.0,47.0,18.0,5500.0,34.0,42.0,67.0,138.0
14.649011,19.0,62.84364,52.0,49.0,18.0,5529.0,34.0,42.0,68.0,140.0
14.889158,19.0,63.84534,53.0,48.0,18.0,5561.0,35.0,43.0,69.0,142.0
15.129306,19.0,64.85236,54.0,50.0,18.0,5585.0,36.0,44.0,70.0,144.0
15.369453,21.0,65.84684,55.0,52.0,18.0,5615.0,36.0,44.0,71.0,147.0
15.609601,22.0,66.83021,56.0,52.0,19.0,5636.0,37.0,45.0,72.0,149.0
15.84975,22.0,67.80696,56.0,53.0,20.0,5657.0,37.0,46.0,73.0,152.0
16.089897,22.0,68.81491,57.0,55.0,20.0,5694.0,38.0,47.0,74.0,154.0
16.330044,22.0,69.77427,58.0,57.0,21.0,5731.0,39.0,47.0,75.0,156.0
16.570192,22.0,70.72938,59.0,54.0,21.0,5772.0,39.0,48.0,76.0,158.0
16.81034,23.0,71.69532,60.0,55.0,24.0,5805.0,40.0,49.0,77.0,160.0
17.050488,23.0,72.65388,60.0,55.0,24.0,5832.0,41.0,49.0,78.0,163.0
17.290636,24.0,73.61959,61.0,56.0,25.0,5855.0,41.0,50.0,79.0,165.0
17.530783,25.0,74.57215,62.0,60.0,27.0,5868.0,42.0,51.0,80.0,167.0
17.770931,25.0,75.51746,63.0,59.0,27.0,5882.0,43.0,51.0,81.0,170.0
18.011078,25.0,76.45688,64.0,59.0,27.0,5898.0,43.0,52.0,82.0,172.0
18.251226,26.0,77.39531,64.0,61.0,27.0,5913.0,44.0,53.0,83.0,174.0
18.491373,26.0,78.34701,65.0,61.0,27.0,5943.0,44.0,54.0,84.0,177.0
18.731522,26.0,79.28018,66.0,61.0,27.0,5972.0,45.0,54.0,85.0,178.0
18.97167,26.0,80.20697,67.0,61.0,27.0,6002.0,46.0,55.0,86.0,181.0
19.211817,26.0,81.12872,67.0,64.0,28.0,6026.0,46.0,56.0,87.0,183.0
19.451965,26.0,82.04676,68.0,64.0,29.0,6040.0,47.0,56.0,88.0,185.0
19.692112,26.0,82.95386,69.0,65.0,30.0,6056.0,47.0,57.0,89.0,187.0
19.93226,26.0,83.86483,70.0,65.0,31.0,6070.0,48.0,58.0,90.0,189.0
20.172407,26.0,84.77425,71.0,65.0,31.0,6091.0,49.0,58.0,91.0,191.0
20.412556,26.0,85.69324,71.0,66.0,32.0,6107.0,49.0,59.0,92.0,193.0
20.652704,26.0,86.59967,72.0,67.0,33.0,6123.0,50.0,60.0,93.0,195.0
20.89285,26.0,87.51151,73.0,67.0,33.0,6146.0,51.0,60.0,94.0,197.0
21.133,26.0,88.44444,74.0,68.0,33.0,6163.0,51.0,61.0,95.0,199.0
21.373146,26.0,89.36525,74.0,69.0,34.0,6171.0,52.0,62.0,96.0,201.0
