Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,7.533492E-5,9.398079E-5,9.398079E-5,1.0,0.0,3.22824E-4,4.027169E-4,4.204073E-4,1.0439277,1.7697548E-5,0.0039233007,0.0048925513,0.0049277735,1.007199,3.5395096E-5,0.03854755,0.04791869,0.047969237,1.0010549,5.3092648E-5
6.1,4.1807285E-5,5.050703E-5,5.050703E-5,1.0,0.0,1.7916178E-4,2.1644133E-4,2.3413506E-4,1.0817484,1.7697548E-5,0.0021791123,0.0026320831,0.002649734,1.0067061,1.7697548E-5,0.021578677,0.02601815,0.026035387,1.0006624,1.7697548E-5
6.2,4.1807285E-5,5.050703E-5,5.050703E-5,1.0,0.0,1.7916178E-4,2.1644133E-4,2.3413506E-4,1.0817484,1.7697548E-5,0.0021791123,0.0026320831,0.002649734,1.0067061,1.7697548E-5,0.021578677,0.02601815,0.026035387,1.0006624,1.7697548E-5
6.3,3.1793104E-5,3.7720565E-5,3.7720565E-5,1.0,0.0,1.3624904E-4,1.6164976E-4,1.7934444E-4,1.1094631,1.7697548E-5,0.0016575698,0.0019663367,0.0019839993,1.0089825,1.7697548E-5,0.016452603,0.019493273,0.019510625,1.0008901,1.7697548E-5
6.4,2.9878007E-5,3.5344478E-5,3.5344478E-5,1.0,0.0,1.2804232E-4,1.5146774E-4,1.5146774E-4,1.0,0.0,0.0015578003,0.0018425882,0.0018425882,1.0,0.0,0.015469253,0.01827687,0.01827687,1.0,0.0
6.5,2.4512565E-5,2.877075E-5,2.877075E-5,1.0,0.0,1.0504962E-4,1.2329755E-4,1.2329755E-4,1.0,0.0,0.0012782287,0.0015001415,0.0015001415,1.0,0.0,0.012709012,0.014903126,0.014903126,1.0,0.0
6.6,2.1317413E-5,2.491231E-5,2.491231E-5,1.0,0.0,9.135714E-5,1.06762796E-4,1.06762796E-4,1.0,0.0,0.0011117056,0.0012990843,0.0012990843,1.0,0.0,0.011061605,0.012917308,0.012917308,1.0,0.0
6.7,1.8585655E-5,2.1639657E-5,2.1639657E-5,1.0,0.0,7.9650374E-5,9.2738206E-5,9.2738206E-5,1.0,0.0,9.6931186E-4,0.0011285233,0.0011285233,1.0,0.0,0.0096509475,0.011230088,0.011230088,1.0,0.0
6.8,1.5862879E-5,1.8423476E-5,1.8423476E-5,1.0,0.0,6.798199E-5,7.895547E-5,7.895547E-5,1.0,0.0,8.273665E-4,9.608782E-4,9.608782E-4,1.0,0.0,0.008242928,0.009569218,0.009569218,1.0,0.0
6.9,1.3021509E-5,1.5098512E-5,1.5098512E-5,1.0,0.0,5.5805274E-5,6.470641E-5,6.470641E-5,1.0,0.0,6.792174E-4,7.875339E-4,7.875339E-4,1.0,0.0,0.006771452,0.007849255,0.007849255,1.0,0.0
7.0,1.0974371E-5,1.2722845E-5,1.2722845E-5,1.0,0.0,4.7032172E-5,5.4525437E-5,5.4525437E-5,1.0,0.0,5.7246623E-4,6.6366256E-4,6.6366256E-4,1.0,0.0,0.0057099373,0.006618556,0.006618556,1.0,0.0
7.1,8.766221E-6,1.0166036E-5,1.0166036E-5,1.0,0.0,3.7568978E-5,4.3568096E-5,4.3568096E-5,1.0,0.0,4.573063E-4,5.3032965E-4,5.3032965E-4,1.0,0.0,0.0045636636,0.005292341,0.005292341,1.0,0.0
7.2,8.026024E-7,8.332506E-7,8.332506E-7,1.0,0.0,3.43972E-6,3.5710693E-6,3.5710693E-6,1.0,0.0,4.1877785E-5,4.3476914E-5,4.3476914E-5,1.0,0.0,4.1869894E-4,4.3468518E-4,4.3468518E-4,1.0,0.0
7.3,3.7293114E-7,3.70035E-7,3.70035E-7,1.0,0.0,1.5982754E-6,1.5858633E-6,1.5858633E-6,1.0,0.0,1.9458828E-5,1.9307714E-5,1.9307714E-5,1.0,0.0,1.9457124E-4,1.9306043E-4,1.9306043E-4,1.0,0.0
7.4,2.0557036E-7,1.9675562E-7,1.9675562E-7,1.0,0.0,8.810155E-7,8.432381E-7,8.432381E-7,1.0,0.0,1.0726311E-5,1.0266376E-5,1.0266376E-5,1.0,0.0,1.0725793E-4,1.0265905E-4,1.0265905E-4,1.0,0.0
7.5,6.845446E-8,6.279751E-8,6.279751E-8,1.0,0.0,2.9337625E-7,2.6913216E-7,2.6913216E-7,1.0,0.0,3.5718497E-6,3.2766793E-6,3.2766793E-6,1.0,0.0,3.5717923E-5,3.276632E-5,3.276632E-5,1.0,0.0
7.6,6.0975145E-9,5.531959E-9,5.531959E-9,1.0,0.0,2.6132206E-8,2.3708395E-8,2.3708395E-8,1.0,0.0,3.1815955E-7,2.886497E-7,2.886497E-7,1.0,0.0,3.181591E-6,2.886494E-6,2.886494E-6,1.0,0.0
