Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.083775E-5,1.2006666E-5,2.2006547E-5,1.8328607,1.0E-5,4.6446676E-5,5.145619E-5,6.145568E-5,1.1943301,1.0E-5,5.653415E-4,6.2631036E-4,6.363041E-4,1.0159565,1.0E-5,0.0056390543,0.00625733,0.0062871426,1.0047643,3.0E-5
6.1,1.083775E-5,1.2006666E-5,2.2006547E-5,1.8328607,1.0E-5,4.6446676E-5,5.145619E-5,6.145568E-5,1.1943301,1.0E-5,5.653415E-4,6.2631036E-4,6.363041E-4,1.0159565,1.0E-5,0.0056390543,0.00625733,0.0062871426,1.0047643,3.0E-5
6.2,1.083775E-5,1.2006666E-5,2.2006547E-5,1.8328607,1.0E-5,4.6446676E-5,5.145619E-5,6.145568E-5,1.1943301,1.0E-5,5.653415E-4,6.2631036E-4,6.363041E-4,1.0159565,1.0E-5,0.0056390543,0.00625733,0.0062871426,1.0047643,3.0E-5
6.3,1.083775E-5,1.2006666E-5,2.2006547E-5,1.8328607,1.0E-5,4.6446676E-5,5.145619E-5,6.145568E-5,1.1943301,1.0E-5,5.653415E-4,6.2631036E-4,6.363041E-4,1.0159565,1.0E-5,0.0056390543,0.00625733,0.0062871426,1.0047643,3.0E-5
6.4,1.083775E-5,1.2006666E-5,2.2006547E-5,1.8328607,1.0E-5,4.6446676E-5,5.145619E-5,6.145568E-5,1.1943301,1.0E-5,5.653415E-4,6.2631036E-4,6.363041E-4,1.0159565,1.0E-5,0.0056390543,0.00625733,0.0062871426,1.0047643,3.0E-5
6.5,6.7317824E-6,7.738199E-6,7.738199E-6,1.0,0.0,2.8850178E-5,3.31633E-5,3.31633E-5,1.0,0.0,3.511943E-4,4.036894E-4,4.036894E-4,1.0,0.0,0.003506398,0.0040404387,0.004060358,1.0049299,2.0E-5
6.6,6.7317824E-6,7.738199E-6,7.738199E-6,1.0,0.0,2.8850178E-5,3.31633E-5,3.31633E-5,1.0,0.0,3.511943E-4,4.036894E-4,4.036894E-4,1.0,0.0,0.003506398,0.0040404387,0.004060358,1.0049299,2.0E-5
6.7,6.274881E-6,7.2671E-6,7.2671E-6,1.0,0.0,2.6892068E-5,3.1144347E-5,3.1144347E-5,1.0,0.0,3.2736175E-4,3.7911744E-4,3.7911744E-4,1.0,0.0,0.0032687993,0.003795578,0.003815502,1.0052493,2.0E-5
6.8,5.996209E-6,6.9798084E-6,6.9798084E-6,1.0,0.0,2.5697784E-5,2.9913128E-5,2.9913128E-5,1.0,0.0,3.128256E-4,3.641324E-4,3.641324E-4,1.0,0.0,0.003123856,0.0036462264,0.0036661534,1.0054651,2.0E-5
6.9,5.686331E-6,6.6447697E-6,6.6447697E-6,1.0,0.0,2.4369761E-5,2.847728E-5,2.847728E-5,1.0,0.0,2.9666146E-4,3.4665663E-4,3.4665663E-4,1.0,0.0,0.0029626573,0.003472026,0.0034919565,1.0057403,2.0E-5
