Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.409352E-5,3.614597E-5,3.614597E-5,1.0,0.0,1.461069E-4,1.5490211E-4,1.7489902E-4,1.1290938,2.0E-5,0.0017774,0.0018843036,0.0019541718,1.037079,7.0E-5,0.01763251,0.01943142,0.01958831,1.008074,1.6E-4
6.1,3.409352E-5,3.614597E-5,3.614597E-5,1.0,0.0,1.461069E-4,1.5490211E-4,1.7489902E-4,1.1290938,2.0E-5,0.0017774,0.0018843036,0.0019541718,1.037079,7.0E-5,0.01763251,0.01943142,0.01958831,1.008074,1.6E-4
6.2,3.409352E-5,3.614597E-5,3.614597E-5,1.0,0.0,1.461069E-4,1.5490211E-4,1.7489902E-4,1.1290938,2.0E-5,0.0017774,0.0018843036,0.0019541718,1.037079,7.0E-5,0.01763251,0.01943142,0.01958831,1.008074,1.6E-4
6.3,3.409352E-5,3.614597E-5,3.614597E-5,1.0,0.0,1.461069E-4,1.5490211E-4,1.7489902E-4,1.1290938,2.0E-5,0.0017774,0.0018843036,0.0019541718,1.037079,7.0E-5,0.01763251,0.01943142,0.01958831,1.008074,1.6E-4
6.4,3.400795E-5,3.6038597E-5,3.6038597E-5,1.0,0.0,1.4574021E-4,1.54442E-4,1.7443892E-4,1.1294785,2.0E-5,0.0017729428,0.0018787116,0.00194858,1.0371896,7.0E-5,0.017588645,0.019376488,0.019533388,1.0080974,1.6E-4
6.5,3.341482E-5,3.5298992E-5,3.5298992E-5,1.0,0.0,1.4319851E-4,1.5127263E-4,1.7126961E-4,1.1321917,2.0E-5,0.0017420477,0.0018401899,0.0019100611,1.0379696,7.0E-5,0.017284546,0.01899794,0.019154899,1.0082619,1.6E-4
6.6,3.3364955E-5,3.523619E-5,3.523619E-5,1.0,0.0,1.4298483E-4,1.510035E-4,1.7100049E-4,1.1324272,2.0E-5,0.0017394501,0.0018369189,0.0019067903,1.0380373,7.0E-5,0.017258976,0.018965796,0.01912276,1.0082762,1.6E-4
6.7,3.335922E-5,3.5225963E-5,3.5225963E-5,1.0,0.0,1.4296026E-4,1.5095968E-4,1.7095666E-4,1.1324657,2.0E-5,0.0017391514,0.001836386,0.0019062576,1.0380484,7.0E-5,0.017256035,0.018960586,0.019117553,1.0082786,1.6E-4
6.8,3.327683E-5,3.511999E-5,3.511999E-5,1.0,0.0,1.4260718E-4,1.5050556E-4,1.7050255E-4,1.1328654,2.0E-5,0.0017348597,0.0018308666,0.0019007383,1.0381633,7.0E-5,0.017213784,0.018906342,0.019063318,1.0083028,1.6E-4
6.9,3.3235785E-5,3.506092E-5,3.506092E-5,1.0,0.0,1.4243131E-4,1.5025244E-4,1.7024943E-4,1.1330893,2.0E-5,0.0017327217,0.0018277899,0.001897662,1.0382277,7.0E-5,0.017192734,0.018876202,0.01903318,1.0083163,1.6E-4
