Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.222555E-6,6.067016E-6,6.067016E-6,1.0,0.0,3.5239045E-5,2.6001275E-5,2.6001275E-5,1.0,0.0,4.289509E-4,3.1652616E-4,3.6651033E-4,1.1579149,5.0E-5,0.0042812387,0.0031614054,0.0033109311,1.0472972,1.5E-4
6.1,8.222555E-6,6.067016E-6,6.067016E-6,1.0,0.0,3.5239045E-5,2.6001275E-5,2.6001275E-5,1.0,0.0,4.289509E-4,3.1652616E-4,3.6651033E-4,1.1579149,5.0E-5,0.0042812387,0.0031614054,0.0033109311,1.0472972,1.5E-4
6.2,8.222555E-6,6.067016E-6,6.067016E-6,1.0,0.0,3.5239045E-5,2.6001275E-5,2.6001275E-5,1.0,0.0,4.289509E-4,3.1652616E-4,3.6651033E-4,1.1579149,5.0E-5,0.0042812387,0.0031614054,0.0033109311,1.0472972,1.5E-4
6.3,8.222555E-6,6.067016E-6,6.067016E-6,1.0,0.0,3.5239045E-5,2.6001275E-5,2.6001275E-5,1.0,0.0,4.289509E-4,3.1652616E-4,3.6651033E-4,1.1579149,5.0E-5,0.0042812387,0.0031614054,0.0033109311,1.0472972,1.5E-4
6.4,5.821773E-6,3.557376E-6,3.557376E-6,1.0,0.0,2.4950215E-5,1.5245814E-5,1.5245814E-5,1.0,0.0,3.0372653E-4,1.8560307E-4,2.1559751E-4,1.1616052,3.0E-5,0.0030331176,0.001854589,0.0019244592,1.0376742,7.0E-5
6.5,5.766023E-6,3.499307E-6,3.499307E-6,1.0,0.0,2.4711293E-5,1.499695E-5,1.499695E-5,1.0,0.0,3.0081844E-4,1.8257367E-4,2.1256818E-4,1.1642872,3.0E-5,0.0030041158,0.0018243449,0.0018942172,1.0382999,7.0E-5
6.6,4.643576E-6,2.3327598E-6,2.3327598E-6,1.0,0.0,1.9900888E-5,9.997506E-6,9.997506E-6,1.0,0.0,2.4226638E-4,1.2171327E-4,1.2171327E-4,1.0,0.0,0.0024200242,0.0012165084,0.0012364842,1.0164205,2.0E-5
6.7,3.9529173E-6,1.6484476E-6,1.6484476E-6,1.0,0.0,1.6940963E-5,7.064757E-6,7.064757E-6,1.0,0.0,2.0623671E-4,8.6010215E-5,8.6010215E-5,1.0,0.0,0.002060454,8.5978775E-4,8.6977915E-4,1.0116208,1.0E-5
6.8,3.4377522E-6,1.2246004E-6,1.2246004E-6,1.0,0.0,1.473314E-5,5.2482774E-6,5.2482774E-6,1.0,0.0,1.7936122E-4,6.3896E-5,6.3896E-5,1.0,0.0,0.0017921652,6.3878536E-4,6.48779E-4,1.0156447,1.0E-5
6.9,3.1367306E-6,1.0034402E-6,1.0034402E-6,1.0,0.0,1.3443062E-5,4.300451E-6,4.300451E-6,1.0,0.0,1.63657E-4,5.2356812E-5,5.2356812E-5,1.0,0.0,0.0016353652,5.234524E-4,5.334472E-4,1.019094,1.0E-5
7.0,2.8298145E-6,7.429161E-7,7.429161E-7,1.0,0.0,1.2127721E-5,3.1839224E-6,3.1839224E-6,1.0,0.0,1.47645E-4,3.8763617E-5,3.8763617E-5,1.0,0.0,0.0014754693,3.8757356E-4,3.9756967E-4,1.0257915,1.0E-5
7.1,2.4091064E-6,5.423117E-7,5.423117E-7,1.0,0.0,1.03247E-5,2.3241912E-6,2.3241912E-6,1.0,0.0,1.2569598E-4,2.82967E-5,2.82967E-5,1.0,0.0,0.001256249,2.82935E-4,2.9293218E-4,1.0353338,1.0E-5
7.2,1.3875518E-6,1.074392E-7,1.074392E-7,1.0,0.0,5.9466374E-6,4.6045363E-7,4.6045363E-7,1.0,0.0,7.23979E-5,5.60601E-6,5.60601E-6,1.0,0.0,7.2374323E-4,5.6058798E-5,6.605824E-5,1.1783742,1.0E-5
7.3,7.056077E-7,5.0023555E-8,5.0023555E-8,1.0,0.0,3.0240296E-6,2.1438665E-7,2.1438665E-7,1.0,0.0,3.681694E-5,2.6101548E-6,2.6101548E-6,1.0,0.0,3.681084E-4,2.6101286E-5,3.6101028E-5,1.3831129,1.0E-5
7.4,5.9334678E-8,4.8648907E-9,4.8648907E-9,1.0,0.0,2.5429145E-7,2.0849532E-8,2.0849532E-8,1.0,0.0,3.095994E-6,2.53843E-7,2.53843E-7,1.0,0.0,3.095951E-5,2.5384286E-6,2.5384286E-6,1.0,0.0
