Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,5.0320643E-5,6.635816E-5,0.011176732,168.43042,0.011111111,2.1564208E-4,2.843674E-4,0.0155578,54.710217,0.015277778,0.0026222812,0.0034577388,0.026641186,7.7048006,0.023263888,0.02591553,0.034140717,0.0661348,1.9371241,0.033125
6.1,5.0320643E-5,6.635816E-5,0.011176732,168.43042,0.011111111,2.1564208E-4,2.843674E-4,0.0155578,54.710217,0.015277778,0.0026222812,0.0034577388,0.026641186,7.7048006,0.023263888,0.02591553,0.034140717,0.0661348,1.9371241,0.033125
6.2,2.4125871E-5,3.0981035E-5,0.008850153,285.66354,0.008819444,1.0339249E-4,1.3277028E-4,0.012075629,90.951294,0.011944445,0.0012580766,0.001615439,0.018948505,11.729631,0.017361112,0.012509781,0.016070465,0.039780434,2.4753754,0.024097223
6.3,1.7433485E-5,2.2355514E-5,0.00828606,370.64948,0.008263889,7.471279E-5,9.580672E-5,0.011205853,116.96313,0.011111111,9.0924866E-4,0.0011659743,0.016980845,14.563654,0.015833333,0.009055373,0.011628896,0.033043604,2.8415082,0.021666666
6.4,1.7433485E-5,2.2355514E-5,0.00828606,370.64948,0.008263889,7.471279E-5,9.580672E-5,0.011205853,116.96313,0.011111111,9.0924866E-4,0.0011659743,0.016980845,14.563654,0.015833333,0.009055373,0.011628896,0.033043604,2.8415082,0.021666666
6.5,1.5182742E-5,1.9429144E-5,0.007935942,408.45554,0.007916667,6.506727E-5,8.326596E-5,0.010499065,126.09073,0.010416667,7.919061E-4,0.0010134429,0.015928866,15.717578,0.014930556,0.0078909,0.010118429,0.029984802,2.9633853,0.020069445
6.6,6.7271576E-6,8.547361E-6,0.006327938,740.3382,0.0063194446,2.8830356E-5,3.6631063E-5,0.0078835655,215.2153,0.0078472225,3.5095305E-4,4.458976E-4,0.011413228,25.596073,0.010972222,0.0035039932,0.004467813,0.018640319,4.1721354,0.014236111
6.7,6.682835E-6,8.479807E-6,0.006327871,746.22815,0.0063194446,2.8640408E-5,3.6341557E-5,0.007883279,216.92188,0.0078472225,3.4864116E-4,4.4237426E-4,0.011409743,25.792057,0.010972222,0.003480947,0.0044327388,0.018605744,4.197347,0.014236111
6.8,6.5774975E-6,8.32628E-6,0.006327718,759.96936,0.0063194446,2.8188972E-5,3.5683603E-5,0.007813184,218.95726,0.007777778,3.4314668E-4,4.343669E-4,0.0113324085,26.089485,0.010902777,0.0034261728,0.004352885,0.018388743,4.224496,0.014097222
6.9,6.363419E-6,7.999454E-6,0.0063273935,790.9781,0.0063194446,2.727151E-5,3.428296E-5,0.007811794,227.86232,0.007777778,3.3198006E-4,4.1732067E-4,0.011246133,26.948421,0.010833333,0.0033148455,0.0041828766,0.018151978,4.339592,0.014027778
7.0,6.1342453E-6,7.6316555E-6,0.006327028,829.0505,0.0063194446,2.6289357E-5,3.2706717E-5,0.00781023,238.79591,0.007777778,3.2002592E-4,3.9813702E-4,0.011227157,28.19923,0.010833333,0.0031956544,0.003991571,0.017894188,4.482994,0.013958333
7.1,5.842926E-6,7.142211E-6,0.0060487655,846.9038,0.0060416665,2.504087E-5,3.0609146E-5,0.0075303796,246.01729,0.0075,3.0482994E-4,3.7260808E-4,0.01092423,29.318289,0.010555555,0.0030441214,0.0037370329,0.017366463,4.647126,0.013680556
7.2,4.77173E-6,5.358483E-6,0.004241447,791.5387,0.004236111,2.045011E-5,2.2964748E-5,0.0051617357,224.76778,0.005138889,2.4895166E-4,2.79564E-4,0.0076386174,27.323322,0.007361111,0.0024867293,0.002808645,0.0126420595,4.501124,0.009861111
7.3,3.0494948E-6,2.710463E-6,0.0015304841,564.65784,0.0015277778,1.3069198E-5,1.1616219E-5,0.0016782635,144.47589,0.0016666667,1.5910587E-4,1.4141845E-4,0.0022938917,16.220598,0.0021527777,0.0015899199,0.0014232415,0.00412772,2.900225,0.0027083333
