Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18068618,114.0,66.14627,63.0,61.0,30.0,550.0,45.0,53.0,76.0,105.0
0.36137235,180.0,124.98151,118.0,113.0,63.0,954.0,90.0,103.0,140.0,209.0
0.5420585,224.0,179.9627,168.0,162.0,96.0,1448.0,131.0,148.0,201.0,314.0
0.7227447,261.0,232.01361,215.0,207.0,129.0,1863.0,171.0,190.0,259.0,416.0
0.9034309,292.0,281.2971,260.0,244.0,157.0,2294.0,208.0,230.0,313.0,514.0
1.084117,314.0,329.93466,304.0,288.0,198.0,2819.0,244.0,270.0,368.0,608.0
1.2648032,352.0,377.45804,346.0,330.0,230.0,3725.0,279.0,308.0,421.0,705.0
1.4454894,384.0,423.6714,388.0,371.0,252.0,4243.0,313.0,345.0,473.0,801.0
1.6261755,410.0,464.89645,425.0,398.0,283.0,4628.0,344.0,377.0,519.0,886.0
1.8068618,437.0,502.16058,458.0,429.0,301.0,4976.0,371.0,407.0,561.0,966.0
1.9875479,453.0,536.29297,489.0,465.0,322.0,5204.0,396.0,434.0,600.0,1040.0
2.168234,478.0,567.64874,517.0,487.0,338.0,5427.0,419.0,459.0,635.0,1105.0
2.3489203,496.0,596.69806,542.0,498.0,361.0,5639.0,441.0,482.0,668.0,1164.0
2.5296063,512.0,623.8779,567.0,536.0,375.0,5863.0,461.0,504.0,699.0,1220.0
2.7102926,534.0,649.2732,589.0,552.0,390.0,6027.0,480.0,524.0,728.0,1271.0
2.8909788,549.0,673.18365,611.0,571.0,407.0,6142.0,497.0,543.0,755.0,1321.0
3.0716648,555.0,695.7991,631.0,587.0,417.0,6255.0,514.0,560.0,781.0,1368.0
3.252351,576.0,717.2106,650.0,586.0,426.0,6368.0,529.0,577.0,806.0,1415.0
3.4330373,586.0,737.5403,668.0,629.0,441.0,6793.0,544.0,593.0,829.0,1457.0
3.6137235,595.0,756.97473,685.0,645.0,452.0,7165.0,558.0,608.0,852.0,1501.0
3.7944095,607.0,775.6157,702.0,666.0,469.0,7504.0,571.0,623.0,873.0,1540.0
3.9750957,628.0,793.4503,718.0,661.0,478.0,7757.0,584.0,636.0,894.0,1581.0
4.1557817,634.0,810.5559,733.0,684.0,487.0,7959.0,596.0,650.0,914.0,1617.0
4.336468,649.0,826.9958,747.0,695.0,496.0,8163.0,608.0,663.0,933.0,1651.0
4.517154,667.0,842.7206,761.0,710.0,509.0,8328.0,619.0,675.0,951.0,1685.0
4.6978407,682.0,857.8733,775.0,733.0,526.0,8465.0,630.0,687.0,968.0,1718.0
4.8785267,704.0,872.52747,788.0,751.0,535.0,8631.0,641.0,698.0,985.0,1749.0
5.0592127,719.0,886.7076,800.0,756.0,539.0,8791.0,651.0,709.0,1001.0,1779.0
5.239899,735.0,900.4105,812.0,759.0,548.0,8944.0,661.0,720.0,1017.0,1809.0
5.420585,750.0,913.7171,824.0,774.0,556.0,9074.0,671.0,730.0,1032.0,1837.0
5.601271,762.0,926.6953,835.0,789.0,563.0,9199.0,679.0,740.0,1048.0,1866.0
