Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,8.31567E-5,2.3382473E-4,3.1477746E-4,1.3462111,8.097166E-5,3.5633717E-4,0.0010017233,0.0011230592,1.1211271,1.2145749E-4,0.004329778,0.012127888,0.012367858,1.0197866,2.4291498E-4,0.042463828,0.11257892,0.112938195,1.0031914,4.048583E-4
6.1,8.31567E-5,2.3382473E-4,3.1477746E-4,1.3462111,8.097166E-5,3.5633717E-4,0.0010017233,0.0011230592,1.1211271,1.2145749E-4,0.004329778,0.012127888,0.012367858,1.0197866,2.4291498E-4,0.042463828,0.11257892,0.112938195,1.0031914,4.048583E-4
6.2,8.31567E-5,2.3382473E-4,3.1477746E-4,1.3462111,8.097166E-5,3.5633717E-4,0.0010017233,0.0011230592,1.1211271,1.2145749E-4,0.004329778,0.012127888,0.012367858,1.0197866,2.4291498E-4,0.042463828,0.11257892,0.112938195,1.0031914,4.048583E-4
6.3,8.31567E-5,2.3382473E-4,3.1477746E-4,1.3462111,8.097166E-5,3.5633717E-4,0.0010017233,0.0011230592,1.1211271,1.2145749E-4,0.004329778,0.012127888,0.012367858,1.0197866,2.4291498E-4,0.042463828,0.11257892,0.112938195,1.0031914,4.048583E-4
6.4,8.059055E-5,2.2940808E-4,3.1036118E-4,1.3528781,8.097166E-5,3.4534236E-4,9.828096E-4,0.0011041476,1.1234604,1.2145749E-4,0.0041964394,0.011900152,0.012140176,1.0201699,2.4291498E-4,0.041180745,0.11056015,0.11092024,1.003257,4.048583E-4
6.5,8.059055E-5,2.2940808E-4,3.1036118E-4,1.3528781,8.097166E-5,3.4534236E-4,9.828096E-4,0.0011041476,1.1234604,1.2145749E-4,0.0041964394,0.011900152,0.012140176,1.0201699,2.4291498E-4,0.041180745,0.11056015,0.11092024,1.003257,4.048583E-4
6.6,7.619237E-5,2.218517E-4,3.028054E-4,1.3649,8.097166E-5,3.2649786E-4,9.5044886E-4,0.0010717909,1.1276681,1.2145749E-4,0.0039678677,0.01151087,0.011750989,1.0208602,2.4291498E-4,0.03897764,0.10709683,0.10745833,1.0033754,4.048583E-4
6.7,7.440636E-5,2.1860997E-4,2.9956392E-4,1.3703123,8.097166E-5,3.188454E-4,9.3656575E-4,0.0010579095,1.1295624,1.2145749E-4,0.0038750346,0.011343609,0.011583768,1.0211713,2.4291498E-4,0.038081564,0.105605274,0.10596738,1.0034288,4.048583E-4
6.8,7.3735864E-5,2.1708169E-4,2.9803577E-4,1.3729199,8.097166E-5,3.1597257E-4,9.3002064E-4,0.0010513652,1.130475,1.2145749E-4,0.0038401815,0.011264749,0.011504928,1.0213213,2.4291498E-4,0.03774495,0.10490683,0.105269216,1.0034543,4.048583E-4
6.9,7.27575E-5,2.1477141E-4,2.9572568E-4,1.3769323,8.097166E-5,3.117806E-4,9.201265E-4,0.0010414722,1.1318794,1.2145749E-4,0.003789323,0.011145527,0.011385733,1.021552,2.4291498E-4,0.037253562,0.103854746,0.10421755,1.0034934,4.048583E-4
7.0,7.102591E-5,2.1061185E-4,2.9156645E-4,1.3843782,8.097166E-5,3.0436125E-4,9.023122E-4,0.0010236601,1.1344855,1.2145749E-4,0.003699303,0.010930831,0.01117109,1.02198,2.4291498E-4,0.03638325,0.10195695,0.10232053,1.003566,4.048583E-4
7.1,7.028513E-5,2.0896831E-4,2.8992305E-4,1.3874019,8.097166E-5,3.0118722E-4,8.9527335E-4,0.0010166221,1.1355438,1.2145749E-4,0.0036607897,0.010845989,0.011086269,1.0221539,2.4291498E-4,0.036010686,0.101199985,0.10156387,1.0035957,4.048583E-4
7.2,6.8498244E-5,2.0504706E-4,2.8600212E-4,1.3948121,8.097166E-5,2.9353087E-4,8.784794E-4,9.998302E-4,1.1381373,1.2145749E-4,0.003567883,0.010643536,0.010883866,1.0225799,2.4291498E-4,0.035111405,0.09939202,0.099756636,1.0036685,4.048583E-4
7.3,6.622592E-5,1.9732013E-4,2.782758E-4,1.4102758,8.097166E-5,2.8379448E-4,8.453858E-4,9.667406E-4,1.1435497,1.2145749E-4,0.0034497243,0.0102444785,0.010484905,1.0234689,2.4291498E-4,0.033966612,0.095888525,0.096254565,1.0038173,4.048583E-4
7.4,5.1050705E-5,1.4689034E-4,2.2785009E-4,1.551158,8.097166E-5,2.1877038E-4,6.29379E-4,7.5076E-4,1.1928585,1.2145749E-4,0.002660276,0.0076359594,0.00787702,1.031569,2.4291498E-4,0.02628654,0.07286301,0.07323837,1.0051516,4.048583E-4
7.5,3.9302922E-5,1.1129847E-4,1.9226111E-4,1.7274373,8.097166E-5,1.6843023E-4,4.7690657E-4,5.983061E-4,1.2545563,1.2145749E-4,0.0020487092,0.005790949,0.006032457,1.0417044,2.4291498E-4,0.020299247,0.05600951,0.056391694,1.0068235,4.048583E-4
7.6,2.9851626E-5,8.4949745E-5,1.6591452E-4,1.9530903,8.097166E-5,1.2792926E-4,3.6401965E-4,4.8543292E-4,1.333535,1.2145749E-4,0.0015564259,0.0044229585,0.004664799,1.0546784,2.4291498E-4,0.0154556995,0.04319374,0.04358111,1.0089682,4.048583E-4
7.7,2.1135214E-5,6.3529005E-5,1.4449551E-4,2.274481,8.097166E-5,9.0576345E-5,2.7223877E-4,3.9366318E-4,1.4460218,1.2145749E-4,0.0011022091,0.0033094748,0.0035515858,1.073157,2.4291498E-4,0.010967582,0.032582592,0.03297426,1.0120207,4.048583E-4
7.8,1.883379E-5,5.564028E-5,1.3660743E-4,2.4551895,8.097166E-5,8.0713755E-5,2.3843657E-4,3.5986508E-4,1.5092697,1.2145749E-4,9.822468E-4,0.0028991038,0.0031413147,1.0835468,2.4291498E-4,0.0097791655,0.028695205,0.029088447,1.0137041,4.048583E-4
7.9,1.5156185E-5,4.1658426E-5,1.2262672E-4,2.9436233,8.097166E-5,6.495346E-5,1.785239E-4,2.999597E-4,1.6802216,1.2145749E-4,7.9052144E-4,0.0021713632,0.0024137506,1.1116292,2.4291498E-4,0.007877152,0.021759422,0.022155471,1.0182012,4.048583E-4
8.0,1.1405907E-5,2.9974231E-5,1.1094347E-4,3.7012947,8.097166E-5,4.8881542E-5,1.2845467E-4,2.0941593E-4,1.6302711,8.097166E-5,5.9497025E-4,0.0015628147,0.0017649274,1.1293261,2.0242915E-4,0.005933798,0.015772851,0.016091628,1.0202105,3.2388663E-4
8.1,4.3511436E-6,7.369219E-6,7.369219E-6,1.0,0.0,1.8647626E-5,3.1581985E-5,3.1581985E-5,1.0,0.0,2.2701119E-4,3.8444297E-4,3.8444297E-4,1.0,0.0,0.0022677942,0.0041163345,0.0041163345,1.0,0.0
8.2,2.3042528E-6,2.7329415E-6,2.7329415E-6,1.0,0.0,9.875332E-6,1.1712554E-5,1.1712554E-5,1.0,0.0,1.2022553E-4,1.4259106E-4,1.4259106E-4,1.0,0.0,0.0012016051,0.0015979785,0.0015979785,1.0,0.0
8.3,5.202968E-7,3.1598344E-7,3.1598344E-7,1.0,0.0,2.2298414E-6,1.3542141E-6,1.3542141E-6,1.0,0.0,2.714798E-5,1.6487444E-5,1.6487444E-5,1.0,0.0,2.7144665E-4,1.9563142E-4,1.9563142E-4,1.0,0.0
