Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.5579695E-6,4.7412627E-6,2.0818357E-5,4.3908887,1.607717E-5,1.9534009E-5,2.031957E-5,3.6396414E-5,1.7912,1.607717E-5,2.3780059E-4,2.473682E-4,3.11661E-4,1.2599071,6.430868E-5,0.0023754628,0.002471473,0.0025837352,1.0454232,1.1254019E-4
6.1,4.5579695E-6,4.7412627E-6,2.0818357E-5,4.3908887,1.607717E-5,1.9534009E-5,2.031957E-5,3.6396414E-5,1.7912,1.607717E-5,2.3780059E-4,2.473682E-4,3.11661E-4,1.2599071,6.430868E-5,0.0023754628,0.002471473,0.0025837352,1.0454232,1.1254019E-4
6.2,2.6677674E-6,2.7873941E-6,2.7873941E-6,1.0,0.0,1.1433239E-5,1.1945926E-5,1.1945926E-5,1.0,0.0,1.3919079E-4,1.4543302E-4,1.775827E-4,1.2210617,3.215434E-5,0.0013910364,0.0014534844,0.0015337534,1.0552253,8.038585E-5
6.3,2.6677674E-6,2.7873941E-6,2.7873941E-6,1.0,0.0,1.1433239E-5,1.1945926E-5,1.1945926E-5,1.0,0.0,1.3919079E-4,1.4543302E-4,1.775827E-4,1.2210617,3.215434E-5,0.0013910364,0.0014534844,0.0015337534,1.0552253,8.038585E-5
6.4,2.2159759E-6,2.3228788E-6,2.3228788E-6,1.0,0.0,9.497005E-6,9.955161E-6,9.955161E-6,1.0,0.0,1.156199E-4,1.2119815E-4,1.5334859E-4,1.2652718,3.215434E-5,0.0011555976,0.0012113999,0.001259573,1.0397664,4.823151E-5
6.5,2.1986082E-6,2.304759E-6,2.304759E-6,1.0,0.0,9.4225725E-6,9.877506E-6,9.877506E-6,1.0,0.0,1.1471378E-4,1.2025281E-4,1.5240329E-4,1.2673573,3.215434E-5,0.0011465458,0.0012019566,0.0012501302,1.0400792,4.823151E-5
6.6,1.5232331E-6,1.6018919E-6,1.6018919E-6,1.0,0.0,6.5281256E-6,6.865234E-6,6.865234E-6,1.0,0.0,7.947703E-5,8.35812E-5,9.965703E-5,1.1923379,1.607717E-5,7.9448614E-4,8.3551643E-4,8.515802E-4,1.0192261,1.607717E-5
6.7,1.3137362E-6,1.382819E-6,1.382819E-6,1.0,0.0,5.6302856E-6,5.926355E-6,5.926355E-6,1.0,0.0,6.854657E-5,7.215112E-5,8.8227134E-5,1.2228103,1.607717E-5,6.8525434E-4,7.212908E-4,7.3735643E-4,1.0222734,1.607717E-5
6.8,1.2275751E-6,1.2922847E-6,1.2922847E-6,1.0,0.0,5.2610258E-6,5.5383516E-6,5.5383516E-6,1.0,0.0,6.4051106E-5,6.7427485E-5,8.350357E-5,1.2384204,1.607717E-5,6.4032647E-4,6.740836E-4,6.901499E-4,1.0238343,1.607717E-5
6.9,1.1837088E-6,1.246102E-6,1.246102E-6,1.0,0.0,5.0730278E-6,5.340427E-6,5.340427E-6,1.0,0.0,6.176237E-5,6.501789E-5,8.109402E-5,1.247257,1.607717E-5,6.17452E-4,6.5000186E-4,6.660686E-4,1.0247179,1.607717E-5
7.0,9.849371E-7,1.0366288E-6,1.0366288E-6,1.0,0.0,4.2211523E-6,4.442688E-6,4.442688E-6,1.0,0.0,5.1391315E-5,5.4088487E-5,7.016479E-5,1.2972223,1.607717E-5,5.137943E-4,5.407633E-4,5.568318E-4,1.0297145,1.607717E-5
7.1,8.1643645E-7,8.591669E-7,8.591669E-7,1.0,0.0,3.4990085E-6,3.682139E-6,3.682139E-6,1.0,0.0,4.2599597E-5,4.482921E-5,6.090566E-5,1.3586155,1.607717E-5,4.259143E-4,4.4821028E-4,4.6428025E-4,1.0358536,1.607717E-5
7.2,5.7295756E-7,6.029502E-7,6.029502E-7,1.0,0.0,2.45553E-6,2.58407E-6,2.58407E-6,1.0,0.0,2.9895667E-5,3.1460666E-5,4.753733E-5,1.5110084,1.607717E-5,2.9891645E-4,3.145688E-4,3.3064093E-4,1.0510925,1.607717E-5
