Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,75.0,154.52277,132.0,126.0,71.0,2275.0,99.0,113.0,173.0,360.0
2.65,50.0,122.74625,105.0,100.0,53.0,1770.0,77.0,89.0,138.0,286.0
2.75,48.0,97.53233,84.0,79.0,37.0,1503.0,60.0,70.0,110.0,226.0
2.85,27.0,77.50185,67.0,61.0,32.0,1144.0,46.0,55.0,88.0,181.0
2.95,24.0,61.55713,53.0,50.0,19.0,926.0,36.0,43.0,71.0,145.0
3.05,18.0,48.8597,42.0,39.0,14.0,793.0,27.0,34.0,57.0,114.0
3.15,9.0,38.841,34.0,32.0,10.0,584.0,21.0,27.0,45.0,92.0
3.25,12.0,30.82193,27.0,25.0,5.0,463.0,16.0,21.0,37.0,73.0
3.35,8.0,24.47779,21.0,19.0,4.0,376.0,12.0,16.0,29.0,58.0
3.45,12.0,19.45062,17.0,16.0,1.0,295.0,9.0,12.0,24.0,47.0
3.55,13.0,15.45877,14.0,12.0,0.0,240.0,6.0,9.0,19.0,37.0
3.65,3.0,12.30007,11.0,10.0,0.0,188.0,4.0,7.0,16.0,30.0
3.75,3.0,9.78364,9.0,8.0,0.0,138.0,3.0,6.0,13.0,24.0
3.85,1.0,7.74851,7.0,6.0,0.0,110.0,2.0,4.0,10.0,20.0
3.95,5.0,6.16345,5.0,5.0,0.0,92.0,1.0,3.0,9.0,16.0
4.05,0.0,4.8907,4.0,4.0,0.0,78.0,1.0,2.0,7.0,13.0
4.15,0.0,3.89372,3.0,3.0,0.0,63.0,0.0,2.0,6.0,10.0
4.25,0.0,3.09333,3.0,2.0,0.0,54.0,0.0,1.0,5.0,9.0
4.35,1.0,2.44614,2.0,2.0,0.0,41.0,0.0,1.0,4.0,7.0
4.45,0.0,1.95051,2.0,1.0,0.0,34.0,0.0,0.0,3.0,6.0
4.55,0.0,1.54382,1.0,1.0,0.0,25.0,0.0,0.0,3.0,5.0
4.65,0.0,1.22319,1.0,1.0,0.0,24.0,0.0,0.0,2.0,4.0
4.75,0.0,0.97806,1.0,0.0,0.0,20.0,0.0,0.0,2.0,4.0
4.85,0.0,0.77756,1.0,0.0,0.0,14.0,0.0,0.0,2.0,3.0
4.95,0.0,0.6155,0.0,0.0,0.0,13.0,0.0,0.0,1.0,3.0
5.05,1.0,0.49056,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
5.15,0.0,0.38359,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
5.25,0.0,0.31223,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
5.35,0.0,0.24538,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0
5.45,0.0,0.19257,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0
5.55,0.0,0.15643,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
5.65,0.0,0.1223,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
5.75,0.0,0.09699,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
5.85,0.0,0.07633,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
5.95,0.0,0.0526,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.05,0.0,0.04836,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.15,0.0,0.04069,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
