Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.693995E-6,6.6708703E-6,6.6708703E-6,1.0,0.0,2.8688235E-5,2.8589133E-5,3.8588845E-5,1.3497733,1.0E-5,3.492233E-4,3.4801717E-4,3.7800672E-4,1.0861727,3.0E-5,0.00348675,0.0035549798,0.003604802,1.0140147,5.0E-5
6.1,6.693995E-6,6.6708703E-6,6.6708703E-6,1.0,0.0,2.8688235E-5,2.8589133E-5,3.8588845E-5,1.3497733,1.0E-5,3.492233E-4,3.4801717E-4,3.7800672E-4,1.0861727,3.0E-5,0.00348675,0.0035549798,0.003604802,1.0140147,5.0E-5
6.2,6.693995E-6,6.6708703E-6,6.6708703E-6,1.0,0.0,2.8688235E-5,2.8589133E-5,3.8588845E-5,1.3497733,1.0E-5,3.492233E-4,3.4801717E-4,3.7800672E-4,1.0861727,3.0E-5,0.00348675,0.0035549798,0.003604802,1.0140147,5.0E-5
6.3,6.693995E-6,6.6708703E-6,6.6708703E-6,1.0,0.0,2.8688235E-5,2.8589133E-5,3.8588845E-5,1.3497733,1.0E-5,3.492233E-4,3.4801717E-4,3.7800672E-4,1.0861727,3.0E-5,0.00348675,0.0035549798,0.003604802,1.0140147,5.0E-5
6.4,6.693995E-6,6.6708703E-6,6.6708703E-6,1.0,0.0,2.8688235E-5,2.8589133E-5,3.8588845E-5,1.3497733,1.0E-5,3.492233E-4,3.4801717E-4,3.7800672E-4,1.0861727,3.0E-5,0.00348675,0.0035549798,0.003604802,1.0140147,5.0E-5
6.5,6.6561875E-6,6.6310877E-6,6.6310877E-6,1.0,0.0,2.8526205E-5,2.8418637E-5,3.841835E-5,1.3518717,1.0E-5,3.472512E-4,3.4594207E-4,3.7593168E-4,1.0866897,3.0E-5,0.0034670907,0.003534295,0.0035841183,1.0140971,5.0E-5
6.6,6.6561875E-6,6.6310877E-6,6.6310877E-6,1.0,0.0,2.8526205E-5,2.8418637E-5,3.841835E-5,1.3518717,1.0E-5,3.472512E-4,3.4594207E-4,3.7593168E-4,1.0866897,3.0E-5,0.0034670907,0.003534295,0.0035841183,1.0140971,5.0E-5
6.7,6.5802237E-6,6.550262E-6,6.550262E-6,1.0,0.0,2.8200653E-5,2.8072249E-5,3.807197E-5,1.3562137,1.0E-5,3.4328885E-4,3.417261E-4,3.7171584E-4,1.0877596,3.0E-5,0.0034275902,0.0034922683,0.0035420936,1.0142673,5.0E-5
6.8,6.575632E-6,6.5447507E-6,6.5447507E-6,1.0,0.0,2.8180975E-5,2.804863E-5,3.804835E-5,1.3565136,1.0E-5,3.4304935E-4,3.4143863E-4,3.7142838E-4,1.0878335,3.0E-5,0.0034252026,0.0034894026,0.003539228,1.0142791,5.0E-5
6.9,6.570433E-6,6.5361432E-6,6.5361432E-6,1.0,0.0,2.8158694E-5,2.8011742E-5,3.801146E-5,1.3569832,1.0E-5,3.4277816E-4,3.4098965E-4,3.7097943E-4,1.0879492,3.0E-5,0.0034224992,0.0034849271,0.0035347529,1.0142975,5.0E-5
