Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10599341,0.0,0.03246,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0
0.21198682,0.0,0.06692,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0
0.31798023,0.0,0.10245,0.0,0.0,0.0,55.0,0.0,0.0,0.0,1.0
0.42397365,0.0,0.13871,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.0
0.52996707,0.0,0.17549,0.0,0.0,0.0,67.0,0.0,0.0,0.0,1.0
0.63596046,0.0,0.21258,0.0,0.0,0.0,73.0,0.0,0.0,1.0,2.0
0.7419539,0.0,0.24948,0.0,0.0,0.0,74.0,0.0,0.0,1.0,2.0
0.8479473,0.0,0.28631,0.0,0.0,0.0,80.0,0.0,0.0,1.0,2.0
0.9539407,0.0,0.32405,0.0,0.0,0.0,88.0,0.0,0.0,1.0,2.0
1.0599341,0.0,0.36073,0.0,0.0,0.0,95.0,0.0,0.0,1.0,2.0
1.1659275,0.0,0.3975,0.0,0.0,0.0,98.0,0.0,0.0,1.0,2.0
1.2719209,0.0,0.43537,0.0,0.0,0.0,102.0,0.0,0.0,1.0,2.0
1.3779143,0.0,0.47287,0.0,0.0,0.0,104.0,0.0,0.0,1.0,2.0
1.4839078,0.0,0.50922,0.0,0.0,0.0,105.0,0.0,0.0,1.0,3.0
1.5899012,0.0,0.547,0.0,0.0,0.0,107.0,0.0,0.0,1.0,3.0
1.6958946,0.0,0.58396,0.0,0.0,0.0,108.0,0.0,0.0,1.0,3.0
1.801888,0.0,0.62079,0.0,0.0,0.0,108.0,0.0,0.0,1.0,3.0
1.9078814,0.0,0.6583,0.0,0.0,0.0,108.0,0.0,0.0,1.0,3.0
2.0138748,0.0,0.695,0.0,0.0,0.0,108.0,0.0,0.0,1.0,3.0
2.1198683,0.0,0.73217,0.0,0.0,0.0,109.0,0.0,0.0,1.0,3.0
2.2258615,0.0,0.7694,0.0,0.0,0.0,112.0,0.0,0.0,2.0,3.0
2.331855,0.0,0.80715,0.0,0.0,0.0,112.0,0.0,0.0,2.0,3.0
2.4378486,0.0,0.84576,0.0,0.0,0.0,115.0,0.0,0.0,2.0,4.0
2.5438418,0.0,0.88251,1.0,0.0,0.0,115.0,0.0,0.0,2.0,4.0
2.6498353,0.0,0.91925,1.0,0.0,0.0,117.0,0.0,0.0,2.0,4.0
2.7558286,0.0,0.956,1.0,0.0,0.0,120.0,0.0,0.0,2.0,4.0
2.8618221,0.0,0.99256,1.0,0.0,0.0,120.0,0.0,0.0,2.0,4.0
2.9678156,0.0,1.0292,1.0,0.0,0.0,121.0,0.0,0.0,2.0,4.0
3.073809,0.0,1.06698,1.0,0.0,0.0,123.0,0.0,0.0,2.0,4.0
3.1798024,0.0,1.10545,1.0,0.0,0.0,126.0,0.0,0.0,2.0,4.0
3.2857957,0.0,1.14264,1.0,0.0,0.0,128.0,0.0,0.0,2.0,4.0
3.3917892,0.0,1.17853,1.0,0.0,0.0,129.0,0.0,0.0,2.0,5.0
3.4977827,0.0,1.21332,1.0,0.0,0.0,135.0,0.0,0.0,2.0,5.0
3.603776,0.0,1.24903,1.0,0.0,0.0,140.0,0.0,0.0,2.0,5.0
3.7097695,0.0,1.28662,1.0,0.0,0.0,141.0,0.0,0.0,2.0,5.0
3.8157628,0.0,1.32387,1.0,0.0,0.0,142.0,0.0,0.0,2.0,5.0
3.9217563,0.0,1.35917,1.0,0.0,0.0,142.0,0.0,0.0,2.0,5.0
