Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4979314,16.0,22.01642,20.0,19.0,3.0,2052.0,11.0,15.0,26.0,39.0
0.9958628,27.0,43.72835,39.0,38.0,12.0,2563.0,26.0,32.0,49.0,80.0
1.4937942,43.0,64.45856,58.0,57.0,24.0,2854.0,40.0,48.0,71.0,118.0
1.9917256,54.0,84.34876,76.0,74.0,35.0,3048.0,55.0,64.0,92.0,158.0
2.489657,71.0,103.2544,92.0,87.0,47.0,3315.0,68.0,79.0,112.0,195.0
2.9875884,87.0,121.39693,108.0,105.0,59.0,4338.0,82.0,93.0,132.0,231.0
3.4855196,105.0,138.7277,124.0,118.0,64.0,4794.0,94.0,107.0,150.0,265.0
3.9834511,124.0,155.35289,138.0,134.0,77.0,5119.0,107.0,121.0,168.0,297.0
4.4813824,135.0,171.37202,152.0,147.0,84.0,5332.0,118.0,133.0,185.0,329.0
4.979314,152.0,186.62303,166.0,159.0,99.0,5571.0,129.0,145.0,201.0,357.0
5.4772453,169.0,201.38097,179.0,170.0,108.0,5727.0,140.0,157.0,217.0,383.0
5.975177,177.0,215.64067,191.0,181.0,116.0,5868.0,151.0,169.0,233.0,413.0
6.473108,189.0,229.44952,203.0,196.0,123.0,5980.0,161.0,180.0,248.0,440.0
6.9710393,195.0,242.80814,215.0,205.0,134.0,6081.0,171.0,190.0,262.0,467.0
7.468971,200.0,255.79529,226.0,213.0,139.0,6199.0,181.0,200.0,276.0,493.0
7.9669023,212.0,268.2898,237.0,230.0,147.0,6272.0,190.0,210.0,290.0,517.0
8.464833,220.0,280.3419,248.0,233.0,160.0,6347.0,198.0,220.0,303.0,541.0
8.962765,225.0,292.11935,258.0,246.0,170.0,6410.0,207.0,229.0,316.0,562.0
9.460696,228.0,303.5778,268.0,260.0,176.0,6479.0,216.0,238.0,328.0,584.0
9.958628,232.0,314.65485,278.0,264.0,185.0,6554.0,224.0,247.0,341.0,608.0
10.456559,237.0,325.5313,287.0,278.0,190.0,6616.0,232.0,256.0,353.0,629.0
10.954491,241.0,336.06155,297.0,279.0,191.0,6675.0,240.0,264.0,365.0,651.0
11.452422,247.0,346.2265,306.0,291.0,196.0,6728.0,247.0,272.0,376.0,673.0
11.950354,254.0,356.27872,314.0,294.0,199.0,6787.0,254.0,280.0,387.0,694.0
12.448285,257.0,366.0514,323.0,308.0,203.0,6842.0,262.0,288.0,397.0,715.0
12.946216,271.0,375.69016,331.0,311.0,210.0,6886.0,269.0,295.0,408.0,734.0
13.444147,277.0,385.0655,339.0,323.0,218.0,6936.0,275.0,302.0,419.0,753.0
13.942079,281.0,394.24774,347.0,328.0,224.0,6975.0,282.0,310.0,429.0,773.0
14.44001,284.0,403.18134,355.0,336.0,230.0,7075.0,289.0,317.0,439.0,793.0
14.937942,289.0,411.95374,363.0,344.0,237.0,7124.0,295.0,323.0,448.0,811.0
15.435873,291.0,420.56174,370.0,351.0,247.0,7181.0,301.0,330.0,458.0,830.0
15.9338045,295.0,428.93365,378.0,356.0,253.0,7214.0,308.0,337.0,468.0,846.0
16.431736,302.0,437.14682,385.0,360.0,256.0,7242.0,314.0,343.0,476.0,862.0
16.929667,311.0,445.25592,392.0,369.0,263.0,7285.0,320.0,349.0,486.0,882.0
17.427599,317.0,453.1207,399.0,382.0,266.0,7341.0,325.0,356.0,495.0,898.0
17.92553,318.0,460.82474,405.0,378.0,267.0,7376.0,331.0,362.0,503.0,913.0
18.423462,320.0,468.38776,412.0,384.0,269.0,7425.0,337.0,368.0,511.0,930.0
18.921392,324.0,475.918,418.0,386.0,271.0,7464.0,342.0,373.0,520.0,947.0
19.419325,328.0,483.16965,425.0,392.0,275.0,7497.0,347.0,379.0,528.0,962.0
19.917255,333.0,490.31186,431.0,399.0,279.0,7530.0,352.0,385.0,536.0,978.0
20.415186,334.0,497.4702,437.0,408.0,285.0,7553.0,358.0,390.0,543.0,995.0
20.913118,340.0,504.40555,443.0,419.0,292.0,7582.0,363.0,396.0,551.0,1008.0
21.411049,341.0,511.1868,449.0,419.0,306.0,7605.0,367.0,401.0,559.0,1023.0
21.908981,343.0,517.93207,455.0,423.0,315.0,7629.0,372.0,406.0,566.0,1040.0
22.406912,347.0,524.53046,461.0,425.0,318.0,7656.0,377.0,411.0,574.0,1057.0
22.904844,352.0,531.0682,467.0,440.0,326.0,7680.0,382.0,416.0,581.0,1072.0
23.402775,353.0,537.4982,472.0,440.0,329.0,7702.0,386.0,422.0,588.0,1089.0
23.900707,355.0,543.83386,478.0,438.0,332.0,7723.0,391.0,426.0,595.0,1104.0
24.398638,356.0,550.0794,483.0,455.0,337.0,7746.0,396.0,431.0,602.0,1118.0
24.89657,359.0,556.2084,488.0,454.0,338.0,7775.0,400.0,436.0,609.0,1132.0
25.3945,361.0,562.2492,494.0,464.0,341.0,7800.0,404.0,441.0,616.0,1145.0
25.892431,364.0,568.2308,499.0,470.0,346.0,7821.0,409.0,445.0,623.0,1159.0
26.390364,366.0,574.064,504.0,476.0,349.0,7834.0,413.0,450.0,629.0,1170.0
26.888294,368.0,579.7937,509.0,479.0,352.0,7855.0,417.0,454.0,636.0,1183.0
27.386227,369.0,585.49774,514.0,484.0,356.0,7887.0,421.0,459.0,642.0,1196.0
27.884157,372.0,591.1777,519.0,491.0,361.0,7921.0,425.0,463.0,648.0,1209.0
28.38209,372.0,596.78864,524.0,491.0,367.0,7943.0,429.0,468.0,655.0,1221.0
28.88002,373.0,602.35803,528.0,497.0,370.0,7957.0,433.0,472.0,661.0,1234.0
29.377953,374.0,607.9128,533.0,500.0,373.0,7977.0,437.0,476.0,667.0,1251.0
29.875883,376.0,613.3601,538.0,512.0,376.0,7995.0,441.0,480.0,674.0,1264.0
30.373814,376.0,618.6694,542.0,499.0,380.0,8007.0,445.0,484.0,680.0,1277.0
30.871746,380.0,623.9051,547.0,507.0,383.0,8029.0,449.0,488.0,685.0,1287.0
31.369677,380.0,629.0296,551.0,516.0,386.0,8053.0,452.0,492.0,691.0,1301.0
31.867609,383.0,634.06915,556.0,519.0,388.0,8077.0,456.0,496.0,697.0,1314.0
32.36554,387.0,639.083,560.0,522.0,390.0,8098.0,460.0,500.0,702.0,1323.0
32.863472,391.0,644.0412,564.0,541.0,393.0,8121.0,463.0,504.0,708.0,1335.0
33.361404,397.0,648.9203,569.0,526.0,394.0,8141.0,467.0,507.0,713.0,1347.0
33.859333,402.0,653.726,573.0,555.0,396.0,8155.0,470.0,511.0,719.0,1359.0
34.357265,405.0,658.592,577.0,544.0,400.0,8175.0,474.0,515.0,724.0,1373.0
34.855198,408.0,663.36896,581.0,536.0,402.0,8189.0,477.0,518.0,730.0,1382.0
35.353127,409.0,668.1506,585.0,557.0,405.0,8210.0,480.0,522.0,735.0,1394.0
35.85106,412.0,672.8549,589.0,551.0,407.0,8230.0,484.0,526.0,740.0,1406.0
36.34899,416.0,677.4039,593.0,555.0,408.0,8257.0,487.0,529.0,745.0,1418.0
36.846924,421.0,681.95435,597.0,561.0,411.0,8280.0,490.0,533.0,750.0,1429.0
37.344852,422.0,686.42255,601.0,567.0,414.0,8288.0,494.0,536.0,755.0,1437.0
37.842785,424.0,690.8051,605.0,567.0,417.0,8306.0,497.0,540.0,760.0,1447.0
38.340717,424.0,695.1454,609.0,556.0,418.0,8319.0,500.0,543.0,765.0,1458.0
38.83865,426.0,699.456,613.0,579.0,420.0,8334.0,503.0,546.0,770.0,1467.0
39.33658,430.0,703.7767,616.0,567.0,426.0,8376.0,506.0,550.0,775.0,1478.0
39.83451,433.0,708.0452,620.0,587.0,427.0,8406.0,509.0,553.0,780.0,1489.0
40.332443,435.0,712.20984,624.0,584.0,429.0,8428.0,512.0,556.0,784.0,1497.0
40.83037,445.0,716.3671,627.0,575.0,432.0,8443.0,515.0,560.0,789.0,1506.0
41.328304,451.0,720.546,631.0,575.0,435.0,8455.0,518.0,563.0,794.0,1517.0
41.826237,453.0,724.6465,635.0,595.0,438.0,8468.0,521.0,566.0,798.0,1526.0
42.32417,456.0,728.72,638.0,604.0,444.0,8485.0,524.0,569.0,802.0,1536.0
42.822098,458.0,732.74896,641.0,600.0,447.0,8505.0,527.0,572.0,807.0,1544.0
43.32003,461.0,736.69904,645.0,601.0,448.0,8520.0,530.0,575.0,812.0,1551.0
43.817963,461.0,740.6026,648.0,612.0,452.0,8546.0,533.0,578.0,816.0,1559.0
44.315895,463.0,744.495,652.0,607.0,455.0,8559.0,535.0,581.0,821.0,1570.0
44.813824,467.0,748.40643,655.0,607.0,456.0,8579.0,538.0,584.0,825.0,1580.0
45.311756,467.0,752.25586,658.0,627.0,458.0,8604.0,541.0,587.0,830.0,1589.0
45.80969,468.0,756.05774,662.0,613.0,460.0,8627.0,543.0,590.0,834.0,1598.0
46.307617,469.0,759.76184,665.0,618.0,464.0,8643.0,546.0,593.0,838.0,1604.0
46.80555,469.0,763.4439,668.0,634.0,467.0,8669.0,549.0,596.0,842.0,1612.0
47.303482,470.0,767.0813,671.0,623.0,468.0,8688.0,551.0,599.0,846.0,1619.0
47.801414,470.0,770.75134,675.0,626.0,473.0,8706.0,554.0,601.0,850.0,1627.0
48.299343,471.0,774.3659,678.0,642.0,474.0,8726.0,556.0,604.0,854.0,1636.0
48.797276,473.0,778.00433,681.0,635.0,474.0,8738.0,559.0,607.0,859.0,1647.0
49.295208,475.0,781.6286,684.0,649.0,474.0,8767.0,561.0,610.0,863.0,1656.0
49.79314,475.0,785.1629,687.0,653.0,474.0,8784.0,564.0,612.0,867.0,1667.0
50.29107,475.0,788.6268,690.0,644.0,475.0,8803.0,566.0,615.0,871.0,1675.0
50.789,475.0,792.1355,693.0,638.0,477.0,8833.0,569.0,618.0,875.0,1683.0
51.286934,477.0,795.6346,696.0,646.0,483.0,8845.0,571.0,620.0,879.0,1693.0
51.784863,477.0,799.13226,699.0,649.0,485.0,8859.0,574.0,623.0,883.0,1701.0
52.282795,483.0,802.67554,702.0,642.0,490.0,8872.0,576.0,626.0,887.0,1709.0
52.780727,484.0,806.0181,705.0,639.0,493.0,8888.0,579.0,628.0,891.0,1717.0
