Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.0179969E-4,2.0081972E-4,2.2081571E-4,1.0995718,2.0E-5,4.362114E-4,8.603731E-4,9.303129E-4,1.08129,7.0E-5,0.0052979486,0.010425015,0.010593243,1.0161369,1.7E-4,0.051734097,0.101484396,0.101762936,1.0027447,3.1E-4
6.1,1.0179969E-4,2.0081972E-4,2.2081571E-4,1.0995718,2.0E-5,4.362114E-4,8.603731E-4,9.303129E-4,1.08129,7.0E-5,0.0052979486,0.010425015,0.010593243,1.0161369,1.7E-4,0.051734097,0.101484396,0.101762936,1.0027447,3.1E-4
6.2,1.0179969E-4,2.0081972E-4,2.2081571E-4,1.0995718,2.0E-5,4.362114E-4,8.603731E-4,9.303129E-4,1.08129,7.0E-5,0.0052979486,0.010425015,0.010593243,1.0161369,1.7E-4,0.051734097,0.101484396,0.101762936,1.0027447,3.1E-4
6.3,1.0179969E-4,2.0081972E-4,2.2081571E-4,1.0995718,2.0E-5,4.362114E-4,8.603731E-4,9.303129E-4,1.08129,7.0E-5,0.0052979486,0.010425015,0.010593243,1.0161369,1.7E-4,0.051734097,0.101484396,0.101762936,1.0027447,3.1E-4
6.4,9.1639464E-5,1.8438944E-4,1.943876E-4,1.0542231,1.0E-5,3.9268145E-4,7.9000136E-4,8.3996187E-4,1.063241,5.0E-5,0.0047704205,0.009575968,0.009694818,1.0124114,1.2E-4,0.046693064,0.09381712,0.09399836,1.0019318,2.0E-4
6.5,9.1639464E-5,1.8438944E-4,1.943876E-4,1.0542231,1.0E-5,3.9268145E-4,7.9000136E-4,8.3996187E-4,1.063241,5.0E-5,0.0047704205,0.009575968,0.009694818,1.0124114,1.2E-4,0.046693064,0.09381712,0.09399836,1.0019318,2.0E-4
6.6,9.042622E-5,1.8245954E-4,1.9245771E-4,1.0547967,1.0E-5,3.8748336E-4,7.817353E-4,8.316962E-4,1.0639102,5.0E-5,0.0047074095,0.009476205,0.009595068,1.0125433,1.2E-4,0.046089325,0.09291417,0.093095586,1.0019525,2.0E-4
6.7,8.9836685E-5,1.8160277E-4,1.9160095E-4,1.0550553,1.0E-5,3.8495753E-4,7.7806565E-4,8.2802674E-4,1.064212,5.0E-5,0.00467679,0.0094319135,0.009550782,1.0126028,1.2E-4,0.045795817,0.0925084,0.09268082,1.0018638,1.9E-4
6.8,8.9471854E-5,1.8107046E-4,1.9106866E-4,1.0552171,1.0E-5,3.8339442E-4,7.7578565E-4,8.257469E-4,1.0644008,5.0E-5,0.004657841,0.009404396,0.009523267,1.01264,1.2E-4,0.04561414,0.092256,0.09242847,1.0018694,1.9E-4
6.9,8.858234E-5,1.7989E-4,1.898882E-4,1.0555795,1.0E-5,3.7958333E-4,7.7072956E-4,8.2069106E-4,1.0648236,5.0E-5,0.004611638,0.009343366,0.009462246,1.0127233,1.2E-4,0.04517103,0.0916962,0.09186878,1.0018821,1.9E-4
7.0,8.7433385E-5,1.7827768E-4,1.8827591E-4,1.0560822,1.0E-5,3.746607E-4,7.638237E-4,8.0379314E-4,1.0523281,4.0E-5,0.004551957,0.009260005,0.009368987,1.011769,1.1E-4,0.044598386,0.09093105,0.09109469,1.0017995,1.8E-4
7.1,8.684964E-5,1.7739709E-4,1.8739532E-4,1.0563607,1.0E-5,3.7215967E-4,7.6005195E-4,8.000215E-4,1.052588,4.0E-5,0.0045216335,0.009214473,0.00932346,1.0118277,1.1E-4,0.04430731,0.09051253,0.09066714,1.0017081,1.7E-4
7.2,8.606521E-5,1.7630306E-4,1.8630129E-4,1.0567105,1.0E-5,3.6879873E-4,7.553659E-4,7.953357E-4,1.0529145,4.0E-5,0.0044808835,0.009157902,0.009266894,1.0119015,1.1E-4,0.043916024,0.08999327,0.09014797,1.001719,1.7E-4
7.3,8.568266E-5,1.7572299E-4,1.8572123E-4,1.0568978,1.0E-5,3.6715972E-4,7.528814E-4,7.9285126E-4,1.0530893,4.0E-5,0.0044610105,0.0091279065,0.009236903,1.011941,1.1E-4,0.043725148,0.08971421,0.089868955,1.001725,1.7E-4
7.4,8.5432206E-5,1.7534874E-4,1.8534699E-4,1.0570192,1.0E-5,3.6608664E-4,7.5127836E-4,7.9124834E-4,1.0532026,4.0E-5,0.004447999,0.009108554,0.009217552,1.0119666,1.1E-4,0.043600157,0.08953439,0.089689165,1.0017287,1.7E-4
7.5,8.4791965E-5,1.7404204E-4,1.840403E-4,1.0574474,1.0E-5,3.633435E-4,7.456814E-4,7.856516E-4,1.0536022,4.0E-5,0.0044147377,0.009040978,0.0091499835,1.0120568,1.1E-4,0.043280575,0.088910125,0.08906501,1.001742,1.7E-4
7.6,8.241105E-5,1.6849465E-4,1.7849296E-4,1.059339,1.0E-5,3.531424E-4,7.219202E-4,7.5189857E-4,1.0415258,3.0E-5,0.0042910352,0.008754046,0.00885317,1.0113233,1.0E-4,0.042091176,0.08628652,0.08643272,1.0016943,1.6E-4
7.7,7.00432E-5,1.4212567E-4,1.4212567E-4,1.0,0.0,3.001506E-4,6.089679E-4,6.289557E-4,1.0328225,2.0E-5,0.0036482112,0.0073890192,0.007448576,1.0080602,6.0E-5,0.035888977,0.073552616,0.073663786,1.0015115,1.2E-4
7.8,6.415362E-5,1.2976197E-4,1.2976197E-4,1.0,0.0,2.749151E-4,5.5600423E-4,5.759931E-4,1.0359509,2.0E-5,0.0033419547,0.0067483704,0.0067980327,1.0073591,5.0E-5,0.03292141,0.06728497,0.06738757,1.0015248,1.1E-4
7.9,4.939911E-5,9.346299E-5,9.346299E-5,1.0,0.0,2.116933E-4,4.004942E-4,4.2048618E-4,1.0499183,2.0E-5,0.0025743195,0.0048651244,0.0049049295,1.0081818,4.0E-5,0.025447013,0.048938233,0.049004808,1.0013604,7.0E-5
8.0,3.344983E-5,5.2255753E-5,5.2255753E-5,1.0,0.0,1.4334853E-4,2.2393401E-4,2.3393177E-4,1.044646,1.0E-5,0.0017438711,0.0027229895,0.0027429352,1.0073248,2.0E-5,0.017302496,0.02793611,0.027984714,1.0017397,5.0E-5
