Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3068978,1.0,1.8E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.6137956,1.0,2.6E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.92069334,1.0,3.4E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.2275912,1.0,3.8E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.5344889,1.0,4.3E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.8413867,1.0,4.7E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.1482844,1.0,5.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.4551823,1.0,5.5E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.76208,1.0,5.7E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.0689778,1.0,6.1E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.3758755,1.0,6.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.6827734,1.0,6.3E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.9896712,1.0,6.6E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.296569,1.0,7.1E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.6034665,1.0,7.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.9103646,1.0,7.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.2172623,1.0,7.5E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.52416,1.0,7.5E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.831058,1.0,7.7E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.1379557,1.0,7.8E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.4448533,1.0,7.9E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.751751,1.0,8.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.058649,1.0,8.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.3655467,1.0,8.3E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.6724443,1.0,8.4E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.9793425,1.0,8.4E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.28624,1.0,8.6E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.593138,1.0,8.6E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.900036,1.0,8.7E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.206933,1.0,8.8E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.513831,1.0,9.3E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.820729,1.0,9.3E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10.127626,1.0,9.4E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10.434525,1.0,9.5E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10.741423,1.0,9.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11.04832,1.0,9.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11.355218,1.0,9.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11.662116,1.0,9.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11.969013,1.0,9.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.275911,1.0,0.001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.5828085,1.0,0.00101,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.889707,1.0,0.00103,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.196605,1.0,0.00104,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
