Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.73196393,100.0,10.01306,9.0,8.0,0.0,320.0,3.0,6.0,13.0,21.0
1.4639279,162.0,25.86931,23.0,21.0,4.0,756.0,13.0,18.0,31.0,52.0
2.1958919,196.0,40.1887,36.0,34.0,11.0,1205.0,23.0,29.0,47.0,81.0
2.9278557,223.0,51.82878,47.0,45.0,14.0,1353.0,30.0,38.0,60.0,104.0
3.6598196,245.0,61.67801,55.0,52.0,20.0,1450.0,37.0,45.0,71.0,126.0
4.3917837,264.0,70.22251,63.0,59.0,24.0,1509.0,43.0,52.0,80.0,144.0
5.1237473,284.0,77.74773,70.0,66.0,27.0,1564.0,48.0,58.0,88.0,159.0
5.8557115,295.0,84.49494,76.0,70.0,32.0,1607.0,53.0,63.0,96.0,174.0
6.5876756,306.0,90.55539,81.0,77.0,35.0,1641.0,57.0,68.0,103.0,187.0
7.319639,317.0,96.14677,86.0,82.0,38.0,1677.0,61.0,72.0,109.0,198.0
8.051603,326.0,101.28981,90.0,85.0,42.0,1717.0,65.0,76.0,115.0,210.0
8.783567,333.0,106.10067,95.0,88.0,43.0,1751.0,68.0,80.0,120.0,222.0
9.515531,341.0,110.55442,99.0,93.0,45.0,1772.0,71.0,83.0,125.0,231.0
10.247495,349.0,114.74556,102.0,98.0,46.0,1806.0,74.0,86.0,129.0,241.0
10.979459,358.0,118.70209,106.0,100.0,48.0,1836.0,77.0,89.0,134.0,250.0
11.711423,366.0,122.36125,109.0,102.0,50.0,1868.0,79.0,92.0,138.0,258.0
12.443387,373.0,125.83225,112.0,106.0,51.0,1932.0,82.0,95.0,142.0,266.0
13.175351,377.0,129.11955,115.0,110.0,52.0,1976.0,84.0,97.0,146.0,273.0
13.907314,382.0,132.23462,117.0,108.0,56.0,2080.0,86.0,100.0,149.0,279.0
14.639278,386.0,135.2295,120.0,114.0,57.0,2128.0,88.0,102.0,152.0,286.0
15.371243,397.0,138.12073,122.0,118.0,59.0,2211.0,90.0,104.0,156.0,293.0
16.103207,399.0,140.91205,125.0,118.0,61.0,2263.0,92.0,106.0,159.0,299.0
16.83517,400.0,143.58527,127.0,120.0,64.0,2302.0,94.0,108.0,162.0,306.0
17.567135,405.0,146.1281,129.0,121.0,64.0,2331.0,96.0,110.0,165.0,311.0
18.299099,408.0,148.58076,131.0,123.0,66.0,2366.0,97.0,112.0,168.0,316.0
19.031061,414.0,150.9191,133.0,125.0,67.0,2379.0,99.0,114.0,170.0,321.0
19.763025,417.0,153.18488,135.0,127.0,68.0,2399.0,101.0,116.0,173.0,326.0
20.49499,421.0,155.37222,137.0,128.0,69.0,2422.0,102.0,117.0,175.0,331.0
21.226954,422.0,157.48535,139.0,128.0,70.0,2440.0,104.0,119.0,178.0,335.0
21.958918,425.0,159.52647,141.0,131.0,72.0,2458.0,105.0,121.0,180.0,340.0
22.690882,426.0,161.55923,143.0,133.0,74.0,2476.0,106.0,122.0,182.0,345.0
23.422846,431.0,163.534,144.0,132.0,76.0,2489.0,108.0,124.0,185.0,350.0
24.15481,435.0,165.44543,146.0,137.0,78.0,2497.0,109.0,125.0,187.0,354.0
24.886774,437.0,167.2602,148.0,137.0,79.0,2510.0,110.0,126.0,189.0,358.0
25.618738,440.0,169.04163,149.0,137.0,81.0,2521.0,112.0,128.0,191.0,362.0
26.350702,443.0,170.7705,151.0,138.0,83.0,2543.0,113.0,129.0,193.0,366.0
27.082664,444.0,172.45346,152.0,140.0,83.0,2573.0,114.0,130.0,195.0,370.0
27.814629,448.0,174.10938,153.0,144.0,85.0,2587.0,115.0,132.0,197.0,373.0
28.546593,450.0,175.72443,155.0,144.0,85.0,2612.0,116.0,133.0,199.0,377.0
29.278557,454.0,177.26794,156.0,146.0,87.0,2625.0,117.0,134.0,200.0,380.0
30.01052,456.0,178.80727,158.0,148.0,88.0,2635.0,118.0,135.0,202.0,383.0
30.742485,459.0,180.2944,159.0,146.0,90.0,2643.0,119.0,136.0,204.0,387.0
31.47445,459.0,181.7575,160.0,149.0,91.0,2652.0,120.0,137.0,205.0,390.0
32.206413,462.0,183.20679,161.0,151.0,92.0,2661.0,121.0,138.0,207.0,392.0
32.938377,464.0,184.60698,163.0,153.0,93.0,2669.0,122.0,139.0,209.0,395.0
33.67034,464.0,185.99432,164.0,150.0,93.0,2675.0,123.0,140.0,210.0,398.0
34.402306,465.0,187.3597,165.0,153.0,94.0,2684.0,124.0,141.0,212.0,402.0
35.13427,468.0,188.68332,166.0,154.0,95.0,2695.0,125.0,142.0,213.0,404.0
35.866234,468.0,189.99329,167.0,158.0,95.0,2721.0,126.0,143.0,215.0,407.0
36.598198,469.0,191.26888,168.0,156.0,95.0,2743.0,127.0,144.0,216.0,410.0
37.330162,470.0,192.51572,169.0,156.0,97.0,2766.0,128.0,145.0,218.0,414.0
38.062122,472.0,193.74355,170.0,165.0,97.0,2779.0,128.0,146.0,219.0,417.0
38.794086,473.0,194.94843,171.0,158.0,99.0,2796.0,129.0,147.0,221.0,419.0
39.52605,474.0,196.15265,172.0,158.0,99.0,2817.0,130.0,148.0,222.0,423.0
40.258015,476.0,197.32822,173.0,160.0,100.0,2826.0,131.0,149.0,224.0,426.0
40.98998,479.0,198.45457,174.0,161.0,102.0,2852.0,132.0,150.0,225.0,428.0
41.721943,481.0,199.57378,175.0,160.0,102.0,2862.0,132.0,151.0,226.0,431.0
42.453907,481.0,200.67133,176.0,160.0,102.0,2879.0,133.0,151.0,227.0,434.0
43.18587,482.0,201.73175,177.0,165.0,104.0,2886.0,134.0,152.0,229.0,437.0
43.917835,485.0,202.78757,178.0,165.0,104.0,2900.0,135.0,153.0,230.0,439.0
44.6498,486.0,203.8233,179.0,167.0,105.0,2919.0,135.0,154.0,231.0,441.0
45.381763,486.0,204.85686,180.0,165.0,105.0,2930.0,136.0,155.0,232.0,444.0
46.113728,487.0,205.89066,181.0,168.0,106.0,2975.0,137.0,155.0,233.0,447.0
46.84569,488.0,206.89076,182.0,169.0,106.0,2991.0,137.0,156.0,235.0,449.0
47.577656,490.0,207.87987,182.0,170.0,106.0,3006.0,138.0,157.0,236.0,453.0
48.30962,491.0,208.85219,183.0,170.0,106.0,3013.0,139.0,158.0,237.0,455.0
49.041584,493.0,209.8049,184.0,171.0,106.0,3023.0,139.0,158.0,238.0,458.0
49.77355,495.0,210.74783,185.0,171.0,107.0,3032.0,140.0,159.0,239.0,459.0
50.505512,497.0,211.69743,186.0,171.0,107.0,3037.0,141.0,160.0,240.0,462.0
51.237476,497.0,212.58887,186.0,179.0,109.0,3045.0,141.0,160.0,241.0,463.0
51.96944,500.0,213.47615,187.0,171.0,109.0,3054.0,142.0,161.0,242.0,466.0
52.701405,501.0,214.3694,188.0,171.0,111.0,3061.0,142.0,162.0,243.0,468.0
53.433365,501.0,215.25209,189.0,172.0,111.0,3070.0,143.0,162.0,244.0,470.0
54.16533,502.0,216.12402,189.0,172.0,111.0,3088.0,143.0,163.0,245.0,472.0
54.897293,502.0,216.99174,190.0,177.0,111.0,3103.0,144.0,164.0,246.0,475.0
55.629257,504.0,217.84404,191.0,172.0,112.0,3108.0,145.0,164.0,247.0,476.0
56.36122,504.0,218.68237,192.0,178.0,112.0,3116.0,145.0,165.0,248.0,478.0
57.093185,504.0,219.49635,192.0,179.0,112.0,3122.0,146.0,165.0,249.0,480.0
57.82515,504.0,220.31741,193.0,177.0,112.0,3128.0,146.0,166.0,250.0,481.0
58.557114,506.0,221.13455,194.0,179.0,113.0,3131.0,147.0,167.0,251.0,482.0
59.289078,510.0,221.93295,194.0,179.0,113.0,3141.0,147.0,167.0,252.0,484.0
60.02104,511.0,222.7234,195.0,184.0,113.0,3145.0,148.0,168.0,253.0,485.0
60.753006,512.0,223.50465,196.0,185.0,113.0,3150.0,148.0,168.0,254.0,488.0
61.48497,512.0,224.2888,196.0,185.0,113.0,3156.0,149.0,169.0,255.0,489.0
62.216934,512.0,225.05666,197.0,186.0,113.0,3162.0,149.0,169.0,256.0,491.0
62.9489,513.0,225.81052,198.0,186.0,114.0,3167.0,150.0,170.0,257.0,492.0
63.680862,513.0,226.54672,198.0,186.0,114.0,3169.0,151.0,171.0,257.0,494.0
64.41283,515.0,227.30414,199.0,188.0,115.0,3177.0,151.0,171.0,258.0,497.0
65.14479,515.0,228.03075,200.0,188.0,116.0,3183.0,151.0,172.0,259.0,499.0
65.876755,515.0,228.75917,200.0,188.0,116.0,3188.0,152.0,172.0,260.0,500.0
66.60872,516.0,229.48163,201.0,192.0,116.0,3190.0,152.0,173.0,261.0,502.0
67.34068,516.0,230.18246,201.0,192.0,117.0,3197.0,153.0,173.0,262.0,504.0
68.07265,516.0,230.87279,202.0,190.0,117.0,3232.0,153.0,174.0,262.0,505.0
68.80461,516.0,231.54736,203.0,190.0,118.0,3242.0,154.0,174.0,263.0,507.0
69.536575,516.0,232.25256,203.0,190.0,119.0,3247.0,154.0,175.0,264.0,508.0
70.26854,516.0,232.93379,204.0,189.0,119.0,3257.0,155.0,175.0,265.0,510.0
71.0005,516.0,233.59692,204.0,189.0,121.0,3265.0,155.0,176.0,266.0,511.0
71.73247,516.0,234.26694,205.0,189.0,121.0,3270.0,156.0,176.0,266.0,513.0
72.46443,516.0,234.92567,205.0,189.0,122.0,3274.0,156.0,177.0,267.0,514.0
73.196396,516.0,235.58136,206.0,189.0,122.0,3281.0,156.0,177.0,268.0,516.0
73.92836,517.0,236.2357,207.0,190.0,122.0,3296.0,157.0,178.0,269.0,518.0
74.660324,517.0,236.8997,207.0,192.0,122.0,3298.0,157.0,178.0,270.0,520.0
75.39229,518.0,237.54123,208.0,194.0,122.0,3307.0,158.0,179.0,270.0,521.0
76.124245,518.0,238.16145,208.0,194.0,123.0,3311.0,158.0,179.0,271.0,523.0
76.85621,521.0,238.77249,209.0,191.0,123.0,3313.0,158.0,179.0,272.0,524.0
77.58817,521.0,239.3995,209.0,194.0,123.0,3314.0,159.0,180.0,272.0,526.0
78.32014,521.0,240.02257,210.0,196.0,124.0,3320.0,159.0,180.0,273.0,527.0
79.0521,521.0,240.63779,210.0,196.0,124.0,3324.0,160.0,181.0,274.0,528.0
79.784065,521.0,241.24725,211.0,196.0,124.0,3327.0,160.0,181.0,275.0,530.0
80.51603,521.0,241.84781,211.0,200.0,124.0,3333.0,161.0,182.0,275.0,531.0
81.24799,521.0,242.44797,212.0,198.0,124.0,3333.0,161.0,182.0,276.0,532.0
81.97996,521.0,243.03676,212.0,194.0,124.0,3340.0,161.0,182.0,277.0,534.0
82.71192,522.0,243.62173,213.0,198.0,124.0,3343.0,162.0,183.0,278.0,535.0
83.443886,522.0,244.23949,213.0,200.0,124.0,3346.0,162.0,183.0,278.0,537.0
84.17585,523.0,244.8272,214.0,202.0,124.0,3358.0,162.0,184.0,279.0,538.0
84.907814,524.0,245.40118,214.0,199.0,124.0,3360.0,163.0,184.0,280.0,540.0
85.63978,526.0,245.96568,215.0,194.0,124.0,3365.0,163.0,185.0,280.0,542.0
86.37174,526.0,246.52875,215.0,201.0,125.0,3370.0,164.0,185.0,281.0,543.0
87.10371,527.0,247.08069,216.0,201.0,125.0,3374.0,164.0,185.0,282.0,545.0
87.83567,529.0,247.62534,216.0,202.0,125.0,3376.0,164.0,186.0,282.0,546.0
88.567635,529.0,248.17468,216.0,202.0,126.0,3377.0,165.0,186.0,283.0,547.0
89.2996,529.0,248.7087,217.0,202.0,126.0,3382.0,165.0,187.0,284.0,549.0
90.03156,529.0,249.25035,217.0,202.0,126.0,3386.0,165.0,187.0,284.0,550.0
90.76353,529.0,249.78046,218.0,202.0,126.0,3391.0,166.0,187.0,285.0,551.0
91.49549,530.0,250.33093,218.0,202.0,126.0,3397.0,166.0,188.0,285.0,552.0
92.227455,531.0,250.84738,219.0,202.0,126.0,3408.0,166.0,188.0,286.0,554.0
92.95942,531.0,251.35973,219.0,202.0,126.0,3414.0,167.0,189.0,287.0,555.0
93.69138,531.0,251.87465,220.0,203.0,127.0,3419.0,167.0,189.0,287.0,556.0
94.42335,531.0,252.4108,220.0,203.0,127.0,3427.0,167.0,189.0,288.0,557.0
95.15531,532.0,252.91637,220.0,203.0,128.0,3431.0,168.0,190.0,288.0,558.0
95.887276,533.0,253.42554,221.0,203.0,128.0,3437.0,168.0,190.0,289.0,560.0
96.61924,533.0,253.93906,221.0,203.0,128.0,3440.0,169.0,190.0,290.0,561.0
97.351204,533.0,254.43231,222.0,205.0,128.0,3449.0,169.0,191.0,290.0,562.0
98.08317,533.0,254.91866,222.0,205.0,129.0,3453.0,169.0,191.0,291.0,563.0
98.81513,533.0,255.3965,223.0,205.0,129.0,3456.0,170.0,191.0,291.0,564.0
99.5471,535.0,255.8725,223.0,206.0,129.0,3462.0,170.0,192.0,292.0,565.0
100.27906,535.0,256.3649,223.0,206.0,130.0,3464.0,170.0,192.0,292.0,567.0
101.011024,535.0,256.8602,224.0,206.0,130.0,3466.0,171.0,192.0,293.0,568.0
101.74299,535.0,257.334,224.0,206.0,130.0,3469.0,171.0,193.0,294.0,569.0
102.47495,535.0,257.8143,225.0,218.0,131.0,3469.0,171.0,193.0,294.0,570.0
103.20692,537.0,258.29913,225.0,209.0,131.0,3469.0,171.0,193.0,295.0,572.0
103.93888,537.0,258.76227,225.0,204.0,131.0,3470.0,172.0,194.0,295.0,573.0
104.670845,538.0,259.23145,226.0,207.0,131.0,3473.0,172.0,194.0,296.0,575.0
105.40281,538.0,259.68875,226.0,208.0,131.0,3476.0,172.0,194.0,296.0,576.0
106.13477,538.0,260.13843,227.0,211.0,131.0,3478.0,173.0,195.0,297.0,576.0
106.86673,539.0,260.5872,227.0,207.0,131.0,3480.0,173.0,195.0,297.0,577.0
107.598694,539.0,261.04602,227.0,208.0,131.0,3485.0,173.0,195.0,298.0,578.0
108.33066,539.0,261.49902,228.0,208.0,131.0,3488.0,173.0,196.0,298.0,579.0
109.06262,539.0,261.95456,228.0,210.0,131.0,3496.0,174.0,196.0,299.0,581.0
109.794586,539.0,262.39615,228.0,210.0,131.0,3497.0,174.0,196.0,299.0,582.0
110.52655,539.0,262.8373,229.0,208.0,131.0,3498.0,174.0,197.0,300.0,583.0
111.258514,539.0,263.29214,229.0,208.0,131.0,3503.0,175.0,197.0,301.0,584.0
111.99048,539.0,263.7203,229.0,208.0,131.0,3506.0,175.0,197.0,301.0,585.0
112.72244,539.0,264.15875,230.0,218.0,131.0,3511.0,175.0,198.0,302.0,586.0
113.45441,540.0,264.59286,230.0,208.0,131.0,3514.0,175.0,198.0,302.0,588.0
114.18637,540.0,265.02716,231.0,208.0,133.0,3517.0,176.0,198.0,303.0,589.0
114.918335,540.0,265.4508,231.0,213.0,133.0,3520.0,176.0,199.0,303.0,591.0
115.6503,541.0,265.86673,231.0,213.0,133.0,3521.0,176.0,199.0,303.0,592.0
116.38226,541.0,266.27396,232.0,210.0,133.0,3525.0,177.0,199.0,304.0,593.0
117.11423,541.0,266.6861,232.0,213.0,133.0,3525.0,177.0,200.0,304.0,593.0
117.84619,544.0,267.09473,232.0,218.0,133.0,3526.0,177.0,200.0,305.0,594.0
118.578156,544.0,267.49976,233.0,213.0,134.0,3527.0,177.0,200.0,305.0,596.0
119.31012,544.0,267.89813,233.0,213.0,134.0,3528.0,178.0,200.0,306.0,596.0
120.04208,544.0,268.29626,233.0,218.0,134.0,3529.0,178.0,201.0,306.0,597.0
120.77405,546.0,268.70703,234.0,218.0,135.0,3531.0,178.0,201.0,307.0,598.0
121.50601,546.0,269.11353,234.0,213.0,136.0,3536.0,179.0,201.0,307.0,599.0
122.237976,547.0,269.50696,234.0,213.0,136.0,3537.0,179.0,202.0,308.0,600.0
122.96994,548.0,269.90198,235.0,213.0,136.0,3537.0,179.0,202.0,308.0,601.0
