Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,716.0,271.03043,239.0,226.0,145.0,3386.0,185.0,207.0,307.0,578.0
2.6,597.0,215.25171,190.0,178.0,108.0,2673.0,144.0,164.0,245.0,461.0
2.7,494.0,170.98225,151.0,138.0,83.0,2158.0,112.0,129.0,196.0,366.0
2.8,399.0,135.8207,120.0,113.0,61.0,1720.0,87.0,101.0,156.0,292.0
2.9,343.0,107.90001,96.0,87.0,42.0,1355.0,67.0,80.0,125.0,233.0
3.0,299.0,85.68706,76.0,70.0,31.0,1093.0,52.0,62.0,100.0,186.0
3.1,249.0,68.03848,61.0,56.0,21.0,884.0,40.0,49.0,81.0,148.0
3.2,207.0,54.0411,48.0,43.0,15.0,688.0,30.0,38.0,65.0,119.0
3.3,171.0,42.92543,38.0,35.0,11.0,563.0,23.0,30.0,52.0,95.0
3.4,137.0,34.08682,30.0,29.0,6.0,450.0,17.0,23.0,42.0,76.0
3.5,102.0,27.07872,24.0,21.0,4.0,361.0,13.0,18.0,34.0,61.0
3.6,74.0,21.50772,19.0,17.0,2.0,282.0,9.0,14.0,27.0,49.0
3.7,43.0,17.07589,15.0,14.0,1.0,226.0,7.0,10.0,22.0,40.0
3.8,39.0,13.55897,12.0,10.0,0.0,171.0,5.0,8.0,18.0,32.0
3.9,27.0,10.77069,10.0,8.0,0.0,137.0,3.0,6.0,15.0,26.0
4.0,25.0,8.54575,8.0,6.0,0.0,106.0,2.0,4.0,12.0,21.0
4.1,18.0,6.78477,6.0,5.0,0.0,89.0,1.0,3.0,10.0,18.0
4.2,13.0,5.38849,5.0,4.0,0.0,69.0,1.0,2.0,8.0,15.0
4.3,10.0,4.27427,4.0,3.0,0.0,59.0,0.0,2.0,7.0,12.0
4.4,10.0,3.38656,3.0,2.0,0.0,48.0,0.0,1.0,5.0,10.0
4.5,7.0,2.68443,2.0,1.0,0.0,39.0,0.0,1.0,4.0,9.0
4.6,4.0,2.12225,2.0,1.0,0.0,30.0,0.0,0.0,4.0,7.0
4.7,4.0,1.68195,1.0,1.0,0.0,26.0,0.0,0.0,3.0,6.0
4.8,3.0,1.32937,1.0,0.0,0.0,22.0,0.0,0.0,3.0,5.0
4.9,2.0,1.04937,1.0,0.0,0.0,20.0,0.0,0.0,2.0,4.0
5.0,1.0,0.8251,0.0,0.0,0.0,15.0,0.0,0.0,2.0,4.0
5.1,1.0,0.64884,0.0,0.0,0.0,15.0,0.0,0.0,1.0,3.0
5.2,1.0,0.50938,0.0,0.0,0.0,13.0,0.0,0.0,1.0,3.0
5.3,1.0,0.39765,0.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0
5.4,1.0,0.31004,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0
5.5,1.0,0.23991,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0
5.6,1.0,0.18415,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0
5.7,1.0,0.13994,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
5.8,1.0,0.10493,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
5.9,1.0,0.07834,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.0,1.0,0.05851,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.1,1.0,0.04424,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.2,1.0,0.03159,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.3,1.0,0.02297,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
6.4,1.0,0.01623,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.5,1.0,0.01168,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.6,1.0,0.00859,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.7,1.0,0.00612,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.8,1.0,0.00427,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.9,1.0,0.00283,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.0,1.0,0.00184,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.1,1.0,0.00117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.2,0.0,6.7E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.3,0.0,3.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.4,0.0,2.7E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.5,0.0,1.1E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.6,0.0,4.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.7,0.0,2.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
