Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.2387061E-5,1.3103157E-5,6.830944E-4,52.132046,6.7E-4,5.3086325E-5,5.615534E-5,9.961026E-4,17.738342,9.4E-4,6.461343E-4,6.8350515E-4,0.0024023296,3.5147204,0.00172,0.0064425888,0.0068168393,0.0092104105,1.3511263,0.00241
6.1,1.2387061E-5,1.3103157E-5,6.830944E-4,52.132046,6.7E-4,5.3086325E-5,5.615534E-5,9.961026E-4,17.738342,9.4E-4,6.461343E-4,6.8350515E-4,0.0024023296,3.5147204,0.00172,0.0064425888,0.0068168393,0.0092104105,1.3511263,0.00241
6.2,1.2387061E-5,1.3103157E-5,6.830944E-4,52.132046,6.7E-4,5.3086325E-5,5.615534E-5,9.961026E-4,17.738342,9.4E-4,6.461343E-4,6.8350515E-4,0.0024023296,3.5147204,0.00172,0.0064425888,0.0068168393,0.0092104105,1.3511263,0.00241
6.3,1.2387061E-5,1.3103157E-5,6.830944E-4,52.132046,6.7E-4,5.3086325E-5,5.615534E-5,9.961026E-4,17.738342,9.4E-4,6.461343E-4,6.8350515E-4,0.0024023296,3.5147204,0.00172,0.0064425888,0.0068168393,0.0092104105,1.3511263,0.00241
6.4,1.2387061E-5,1.3103157E-5,6.830944E-4,52.132046,6.7E-4,5.3086325E-5,5.615534E-5,9.961026E-4,17.738342,9.4E-4,6.461343E-4,6.8350515E-4,0.0024023296,3.5147204,0.00172,0.0064425888,0.0068168393,0.0092104105,1.3511263,0.00241
6.5,6.9922594E-6,7.384925E-6,5.073812E-4,68.704994,5.0E-4,2.996648E-5,3.1649324E-5,7.116278E-4,22.48477,6.8E-4,3.6478083E-4,3.8526783E-4,0.0016147939,4.1913543,0.00123,0.003641826,0.0038465366,0.0056097284,1.4583842,0.00177
6.6,6.9922594E-6,7.384925E-6,5.073812E-4,68.704994,5.0E-4,2.996648E-5,3.1649324E-5,7.116278E-4,22.48477,6.8E-4,3.6478083E-4,3.8526783E-4,0.0016147939,4.1913543,0.00123,0.003641826,0.0038465366,0.0056097284,1.4583842,0.00177
6.7,5.477277E-6,5.7860684E-6,4.2578363E-4,73.58773,4.2E-4,2.3473833E-5,2.4797222E-5,6.0478284E-4,24.389137,5.8E-4,2.8575645E-4,3.0186825E-4,0.0013715453,4.543523,0.00107,0.0028538927,0.003014966,0.0045204135,1.4993248,0.00151
6.8,3.9950432E-6,4.2190873E-6,3.2421775E-4,76.845474,3.2E-4,1.7121502E-5,1.8081691E-5,4.380741E-4,24.227495,4.2E-4,2.0843433E-4,2.2012512E-4,9.899556E-4,4.4972405,7.7E-4,0.0020823893,0.0021993418,0.0033268565,1.5126601,0.00113
6.9,2.95695E-6,3.1230243E-6,2.631222E-4,84.25237,2.6E-4,1.2672582E-5,1.3384334E-5,3.3338004E-4,24.908228,3.2E-4,1.5427776E-4,1.6294434E-4,7.4284984E-4,4.5589175,5.8E-4,0.001541707,0.0016284712,0.0024870706,1.5272427,8.6E-4
7.0,1.456072E-6,1.540812E-6,1.6154056E-4,104.841194,1.6E-4,6.2402937E-6,6.603469E-6,1.8660228E-4,28.25822,1.8E-4,7.597293E-5,8.039528E-5,3.9037035E-4,4.855638,3.1E-4,7.594696E-4,8.0376083E-4,0.0011934474,1.484829,3.9E-4
7.1,6.995192E-7,7.4089746E-7,6.0740855E-5,81.98281,6.0E-5,2.997936E-6,3.1752747E-6,7.3175055E-5,23.045267,7.0E-5,3.649926E-5,3.865897E-5,1.4865471E-4,3.845284,1.1E-4,3.6493264E-4,3.865897E-4,5.2653556E-4,1.3620011,1.4E-4
