Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.3461156E-5,2.3500992E-5,2.3500992E-5,1.0,0.0,5.7689394E-5,1.00714664E-4,1.00714664E-4,1.0,0.0,7.02142E-4,0.0012255146,0.0012255146,1.0,0.0,0.0069992766,0.012228741,0.012238619,1.0008078,1.0E-5
6.1,1.3461156E-5,2.3500992E-5,2.3500992E-5,1.0,0.0,5.7689394E-5,1.00714664E-4,1.00714664E-4,1.0,0.0,7.02142E-4,0.0012255146,0.0012255146,1.0,0.0,0.0069992766,0.012228741,0.012238619,1.0008078,1.0E-5
6.2,1.3461156E-5,2.3500992E-5,2.3500992E-5,1.0,0.0,5.7689394E-5,1.00714664E-4,1.00714664E-4,1.0,0.0,7.02142E-4,0.0012255146,0.0012255146,1.0,0.0,0.0069992766,0.012228741,0.012238619,1.0008078,1.0E-5
6.3,1.3461156E-5,2.3500992E-5,2.3500992E-5,1.0,0.0,5.7689394E-5,1.00714664E-4,1.00714664E-4,1.0,0.0,7.02142E-4,0.0012255146,0.0012255146,1.0,0.0,0.0069992766,0.012228741,0.012238619,1.0008078,1.0E-5
6.4,1.3461156E-5,2.3500992E-5,2.3500992E-5,1.0,0.0,5.7689394E-5,1.00714664E-4,1.00714664E-4,1.0,0.0,7.02142E-4,0.0012255146,0.0012255146,1.0,0.0,0.0069992766,0.012228741,0.012238619,1.0008078,1.0E-5
6.5,1.3450706E-5,2.348995E-5,2.348995E-5,1.0,0.0,5.764461E-5,1.00667356E-4,1.00667356E-4,1.0,0.0,7.0159714E-4,0.0012249392,0.0012249392,1.0,0.0,0.006993862,0.012223051,0.012232929,1.0008081,1.0E-5
6.6,1.3074523E-5,2.3104236E-5,2.3104236E-5,1.0,0.0,5.6032466E-5,9.901441E-5,9.901441E-5,1.0,0.0,6.8198174E-4,0.001204837,0.001204837,1.0,0.0,0.006798926,0.012024216,0.012034096,1.0008217,1.0E-5
6.7,1.3050216E-5,2.3079532E-5,2.3079532E-5,1.0,0.0,5.59283E-5,9.890855E-5,9.890855E-5,1.0,0.0,6.8071426E-4,0.0012035496,0.0012035496,1.0,0.0,0.0067863287,0.012011481,0.012021361,1.0008225,1.0E-5
6.8,1.29049395E-5,2.292794E-5,2.292794E-5,1.0,0.0,5.530571E-5,9.825892E-5,9.825892E-5,1.0,0.0,6.73139E-4,0.001195649,0.001195649,1.0,0.0,0.0067110364,0.011933326,0.011943206,1.000828,1.0E-5
6.9,1.2867369E-5,2.2887343E-5,2.2887343E-5,1.0,0.0,5.51447E-5,9.808494E-5,9.808494E-5,1.0,0.0,6.711799E-4,0.0011935332,0.0011935332,1.0,0.0,0.006691564,0.011912394,0.011922276,1.0008295,1.0E-5
7.0,1.2495996E-5,2.2287419E-5,2.2287419E-5,1.0,0.0,5.3553173E-5,9.551403E-5,9.551403E-5,1.0,0.0,6.518148E-4,0.0011622658,0.0011622658,1.0,0.0,0.0064990623,0.011602997,0.011612881,1.0008519,1.0E-5
7.1,1.2452067E-5,2.223249E-5,2.223249E-5,1.0,0.0,5.3364907E-5,9.527864E-5,9.527864E-5,1.0,0.0,6.4952404E-4,0.001159403,0.001159403,1.0,0.0,0.0064762887,0.011574668,0.011584552,1.0008539,1.0E-5
7.2,1.2002777E-5,2.1611015E-5,2.1611015E-5,1.0,0.0,5.143946E-5,9.261536E-5,9.261536E-5,1.0,0.0,6.2609545E-4,0.0011270114,0.0011270114,1.0,0.0,0.006243344,0.0112540545,0.011263942,1.0008786,1.0E-5
7.3,1.1923425E-5,2.1480853E-5,2.1480853E-5,1.0,0.0,5.109939E-5,9.205757E-5,9.205757E-5,1.0,0.0,6.219575E-4,0.0011202273,0.0011202273,1.0,0.0,0.0062021962,0.0111869415,0.01119683,1.0008839,1.0E-5
7.4,1.16105175E-5,2.0854808E-5,2.0854808E-5,1.0,0.0,4.975841E-5,8.93747E-5,8.93747E-5,1.0,0.0,6.0564023E-4,0.0010875963,0.0010875963,1.0,0.0,0.006039923,0.010864406,0.0108742975,1.0009104,1.0E-5
7.5,1.1037265E-5,1.9554842E-5,1.9554842E-5,1.0,0.0,4.7301706E-5,8.380379E-5,8.380379E-5,1.0,0.0,5.757461E-4,0.0010198357,0.0010198357,1.0,0.0,0.005742567,0.010195524,0.0102054225,1.0009708,1.0E-5
7.6,1.0720915E-5,1.8996727E-5,1.8996727E-5,1.0,0.0,4.5945973E-5,8.141202E-5,8.141202E-5,1.0,0.0,5.592486E-4,9.907428E-4,9.907428E-4,1.0,0.0,0.005578433,0.009907235,0.009917136,1.0009993,1.0E-5
7.7,9.276279E-6,1.6442464E-5,1.6442464E-5,1.0,0.0,3.9754876E-5,7.046581E-5,7.046581E-5,1.0,0.0,4.839081E-4,8.5758517E-4,8.5758517E-4,1.0,0.0,0.0048285574,0.0085865725,0.008596487,1.0011547,1.0E-5
7.8,5.8346777E-6,1.11555855E-5,1.11555855E-5,1.0,0.0,2.5005522E-5,4.7808775E-5,4.7808775E-5,1.0,0.0,3.043997E-4,5.819165E-4,5.819165E-4,1.0,0.0,0.0030398308,0.00584733,0.0058572716,1.0017002,1.0E-5
7.9,4.690204E-6,8.509473E-6,8.509473E-6,1.0,0.0,2.0100719E-5,3.6468664E-5,3.6468664E-5,1.0,0.0,2.4469878E-4,4.439156E-4,4.439156E-4,1.0,0.0,0.002444295,0.0044711623,0.0044811177,1.0022266,1.0E-5
8.0,2.9570454E-6,4.8470656E-6,4.8470656E-6,1.0,0.0,1.267299E-5,2.0772974E-5,2.0772974E-5,1.0,0.0,1.5428272E-4,2.528816E-4,2.528816E-4,1.0,0.0,0.0015417566,0.0025499295,0.0025499295,1.0,0.0
8.1,1.6376824E-6,2.1968672E-6,2.1968672E-6,1.0,0.0,7.01862E-6,9.415111E-6,9.415111E-6,1.0,0.0,8.544835E-5,1.1462296E-4,1.1462296E-4,1.0,0.0,8.54155E-4,0.0011607426,0.0011607426,1.0,0.0
8.2,6.9631557E-7,4.535001E-7,4.535001E-7,1.0,0.0,2.984206E-6,1.9435704E-6,1.9435704E-6,1.0,0.0,3.63321E-5,2.3662713E-5,2.3662713E-5,1.0,0.0,3.6326164E-4,2.4510184E-4,2.4510184E-4,1.0,0.0
8.3,1.7876137E-7,8.357368E-8,8.357368E-8,1.0,0.0,7.661199E-7,3.5817288E-7,3.5817288E-7,1.0,0.0,9.32747E-6,4.3607465E-6,4.3607465E-6,1.0,0.0,9.3270784E-5,4.5800018E-5,4.5800018E-5,1.0,0.0
