Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15706415,34.0,15.425331,15.0,14.0,0.0,99.0,7.0,11.0,20.0,27.0
0.3141283,43.0,18.922869,18.0,17.0,3.0,131.0,10.0,13.0,24.0,33.0
0.47119245,46.0,21.04441,20.0,19.0,4.0,141.0,11.0,15.0,26.0,37.0
0.6282566,48.0,22.567022,21.0,20.0,4.0,174.0,12.0,16.0,28.0,39.0
0.78532076,51.0,23.761501,23.0,21.0,5.0,185.0,13.0,17.0,29.0,42.0
0.9423849,54.0,24.750433,24.0,22.0,5.0,196.0,13.0,18.0,31.0,44.0
1.099449,55.0,25.596104,24.0,24.0,5.0,202.0,14.0,18.0,32.0,46.0
1.2565132,55.0,26.33498,25.0,24.0,6.0,208.0,14.0,19.0,32.0,47.0
1.4135773,66.0,26.985575,25.0,25.0,6.0,213.0,15.0,20.0,33.0,49.0
1.5706415,104.0,27.57153,26.0,25.0,6.0,220.0,15.0,20.0,34.0,50.0
1.7277056,115.0,28.099796,27.0,25.0,6.0,224.0,15.0,20.0,35.0,51.0
1.8847698,121.0,28.583275,27.0,25.0,6.0,232.0,16.0,21.0,35.0,52.0
2.0418339,122.0,29.031868,27.0,25.0,6.0,233.0,16.0,21.0,36.0,53.0
2.198898,124.0,29.4477,28.0,26.0,7.0,235.0,16.0,21.0,36.0,54.0
2.3559623,126.0,29.833328,28.0,27.0,7.0,237.0,16.0,22.0,37.0,55.0
2.5130265,129.0,30.196184,28.0,28.0,7.0,242.0,17.0,22.0,37.0,55.0
2.6700904,130.0,30.542166,29.0,28.0,7.0,242.0,17.0,22.0,37.0,56.0
2.8271546,131.0,30.869106,29.0,28.0,7.0,246.0,17.0,22.0,38.0,57.0
2.9842188,131.0,31.176603,29.0,28.0,8.0,249.0,17.0,23.0,38.0,58.0
3.141283,132.0,31.475372,30.0,28.0,8.0,254.0,17.0,23.0,39.0,58.0
3.2983472,132.0,31.754087,30.0,28.0,8.0,259.0,18.0,23.0,39.0,59.0
3.4554112,132.0,32.01908,30.0,28.0,8.0,261.0,18.0,23.0,39.0,59.0
3.6124754,132.0,32.279392,30.0,28.0,8.0,261.0,18.0,23.0,39.0,60.0
3.7695396,133.0,32.52529,30.0,29.0,8.0,266.0,18.0,24.0,40.0,61.0
3.9266038,134.0,32.757847,31.0,28.0,8.0,271.0,18.0,24.0,40.0,61.0
4.0836678,136.0,32.985752,31.0,30.0,8.0,273.0,18.0,24.0,40.0,62.0
4.240732,136.0,33.20168,31.0,30.0,8.0,276.0,18.0,24.0,41.0,63.0
4.397796,136.0,33.411663,31.0,30.0,8.0,277.0,19.0,24.0,41.0,63.0
4.55486,136.0,33.608593,31.0,30.0,8.0,278.0,19.0,24.0,41.0,63.0
4.7119246,137.0,33.804302,32.0,30.0,8.0,280.0,19.0,25.0,41.0,64.0
4.8689885,137.0,33.99433,32.0,30.0,8.0,280.0,19.0,25.0,41.0,64.0
5.026053,138.0,34.17954,32.0,30.0,8.0,281.0,19.0,25.0,42.0,65.0
5.183117,138.0,34.355793,32.0,30.0,8.0,281.0,19.0,25.0,42.0,65.0
5.340181,138.0,34.532585,32.0,30.0,8.0,282.0,19.0,25.0,42.0,65.0
5.4972453,139.0,34.702137,32.0,30.0,8.0,284.0,19.0,25.0,42.0,66.0
5.6543093,139.0,34.865913,32.0,30.0,9.0,286.0,19.0,25.0,43.0,66.0
5.8113737,139.0,35.023598,33.0,30.0,9.0,286.0,19.0,25.0,43.0,67.0
5.9684377,139.0,35.17846,33.0,30.0,9.0,286.0,20.0,26.0,43.0,67.0
6.1255016,140.0,35.329445,33.0,30.0,9.0,288.0,20.0,26.0,43.0,67.0
6.282566,141.0,35.477375,33.0,30.0,9.0,289.0,20.0,26.0,43.0,68.0
6.43963,141.0,35.620716,33.0,30.0,9.0,289.0,20.0,26.0,43.0,68.0
6.5966945,141.0,35.76268,33.0,30.0,9.0,290.0,20.0,26.0,44.0,68.0
6.7537584,141.0,35.90107,33.0,30.0,9.0,291.0,20.0,26.0,44.0,69.0
6.9108224,141.0,36.033005,34.0,30.0,9.0,294.0,20.0,26.0,44.0,69.0
7.067887,143.0,36.162598,34.0,33.0,9.0,296.0,20.0,26.0,44.0,69.0
