Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54500645,0.0,0.00162,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0900129,0.0,0.00188,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.6350194,1.0,0.00201,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.1800258,1.0,0.00215,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.7250323,1.0,0.00227,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.2700388,1.0,0.00234,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3.8150454,1.0,0.0024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.3600516,1.0,0.00245,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.9050584,1.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.4500647,1.0,0.00253,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.995071,1.0,0.00258,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6.5400777,1.0,0.00264,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.085084,1.0,0.00267,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.6300907,1.0,0.0027,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.175097,1.0,0.00271,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.720103,1.0,0.00273,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.26511,1.0,0.00274,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9.810117,1.0,0.00277,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10.355123,1.0,0.00279,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10.900129,1.0,0.00279,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11.445136,1.0,0.00283,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11.990142,1.0,0.00284,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.535149,1.0,0.00285,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.080155,1.0,0.00286,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.625162,1.0,0.00287,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14.170168,1.0,0.0029,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14.715175,1.0,0.0029,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15.260181,1.0,0.0029,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15.805187,1.0,0.00293,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16.350195,1.0,0.00293,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16.8952,1.0,0.00295,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.440207,1.0,0.00298,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.985214,1.0,0.00298,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18.53022,1.0,0.003,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.075226,1.0,0.00301,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.620234,1.0,0.00301,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20.16524,1.0,0.00303,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20.710245,1.0,0.00306,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21.255253,1.0,0.00306,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21.800259,1.0,0.00306,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22.345264,1.0,0.00306,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22.890272,1.0,0.00306,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23.435278,1.0,0.00307,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23.980284,1.0,0.00308,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24.525291,1.0,0.00309,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25.070297,1.0,0.00311,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25.615305,1.0,0.00312,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26.16031,1.0,0.00313,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26.705317,1.0,0.00314,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27.250324,1.0,0.00315,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27.79533,1.0,0.00315,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28.340336,1.0,0.00317,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28.885344,1.0,0.00318,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29.43035,1.0,0.00318,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29.975355,1.0,0.00319,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30.520363,1.0,0.0032,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31.065369,1.0,0.00322,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31.610374,1.0,0.00323,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32.15538,1.0,0.00324,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32.70039,1.0,0.00326,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
33.245396,1.0,0.00326,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
33.7904,1.0,0.00326,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34.335407,1.0,0.00329,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34.880413,1.0,0.00329,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
35.42542,1.0,0.0033,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
35.97043,1.0,0.00331,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
36.515434,1.0,0.00333,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
37.06044,1.0,0.00333,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
37.605446,1.0,0.00334,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
38.15045,1.0,0.00334,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
38.695457,1.0,0.00336,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
39.240467,1.0,0.00337,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
39.785473,1.0,0.00337,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
40.33048,1.0,0.00338,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
40.875484,1.0,0.00338,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
41.42049,1.0,0.00339,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
41.9655,1.0,0.0034,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
42.510506,1.0,0.0034,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
43.05551,1.0,0.00341,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
43.600517,1.0,0.00341,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
44.145523,1.0,0.00342,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
44.69053,1.0,0.00343,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
45.23554,1.0,0.00343,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
45.780544,1.0,0.00343,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
46.32555,1.0,0.00343,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
46.870556,1.0,0.00344,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
47.41556,1.0,0.00344,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
47.960567,1.0,0.00345,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
48.505577,1.0,0.00345,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
49.050583,1.0,0.00345,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
49.59559,1.0,0.00346,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
50.140594,1.0,0.00347,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
50.6856,1.0,0.00347,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
51.23061,1.0,0.00348,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
51.775616,1.0,0.00349,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
52.32062,1.0,0.0035,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
52.865627,1.0,0.0035,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
53.410633,1.0,0.0035,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
53.95564,1.0,0.00351,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
54.50065,1.0,0.00351,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
55.045654,1.0,0.00351,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
55.59066,1.0,0.00351,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
56.135666,1.0,0.00352,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
56.68067,1.0,0.00352,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
57.225677,1.0,0.00353,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
57.770687,1.0,0.00354,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
58.315693,1.0,0.00354,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
58.8607,1.0,0.00356,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
59.405704,1.0,0.00356,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
59.95071,1.0,0.00356,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
60.495716,1.0,0.00356,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
61.040726,1.0,0.00356,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
61.58573,1.0,0.00357,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
62.130737,1.0,0.00357,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
62.675743,1.0,0.00358,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
63.22075,1.0,0.00358,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
63.76576,1.0,0.00358,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
64.31076,1.0,0.00358,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
64.85577,1.0,0.00359,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
65.40078,1.0,0.00361,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
65.945786,1.0,0.00362,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
66.49079,1.0,0.00362,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
67.0358,1.0,0.00362,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
67.5808,1.0,0.00362,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
68.12581,1.0,0.00363,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
68.670815,1.0,0.00364,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
69.21582,1.0,0.00365,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
69.760826,1.0,0.00365,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
70.30583,1.0,0.00365,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
