Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,973.0,509.72998,456.0,430.0,300.0,4472.0,366.0,402.0,580.0,1036.0
2.6,812.0,404.89233,363.0,343.0,233.0,3541.0,288.0,318.0,462.0,826.0
2.7,679.0,321.58762,289.0,269.0,177.0,2789.0,225.0,251.0,368.0,656.0
2.8,561.0,255.43343,230.0,216.0,134.0,2222.0,176.0,199.0,293.0,520.0
2.9,483.0,202.87036,183.0,169.0,100.0,1797.0,138.0,157.0,234.0,414.0
3.0,426.0,161.1419,145.0,131.0,71.0,1438.0,107.0,123.0,187.0,330.0
3.1,363.0,127.9891,116.0,110.0,57.0,1144.0,83.0,97.0,149.0,262.0
3.2,312.0,101.66781,92.0,87.0,42.0,893.0,64.0,76.0,119.0,210.0
3.3,259.0,80.74768,73.0,68.0,31.0,709.0,49.0,60.0,96.0,167.0
3.4,216.0,64.10433,58.0,55.0,21.0,560.0,38.0,47.0,77.0,133.0
3.5,161.0,50.89733,46.0,43.0,11.0,435.0,29.0,36.0,62.0,107.0
3.6,120.0,40.42119,37.0,34.0,9.0,350.0,22.0,28.0,50.0,86.0
3.7,81.0,32.09727,29.0,28.0,5.0,274.0,16.0,22.0,40.0,69.0
3.8,70.0,25.48476,23.0,21.0,3.0,225.0,12.0,17.0,33.0,55.0
3.9,51.0,20.24117,18.0,16.0,2.0,176.0,9.0,13.0,26.0,45.0
4.0,45.0,16.06587,15.0,13.0,0.0,145.0,6.0,10.0,21.0,36.0
4.1,31.0,12.74921,12.0,10.0,0.0,120.0,4.0,7.0,17.0,29.0
4.2,24.0,10.11237,9.0,8.0,0.0,100.0,3.0,6.0,14.0,24.0
4.3,18.0,8.02189,7.0,6.0,0.0,74.0,2.0,4.0,12.0,20.0
4.4,17.0,6.3573,6.0,5.0,0.0,61.0,1.0,3.0,9.0,16.0
4.5,12.0,5.04151,4.0,4.0,0.0,53.0,1.0,2.0,8.0,13.0
4.6,6.0,3.9964,3.0,3.0,0.0,43.0,0.0,1.0,6.0,11.0
4.7,6.0,3.16415,3.0,2.0,0.0,37.0,0.0,1.0,5.0,9.0
4.8,5.0,2.50424,2.0,1.0,0.0,30.0,0.0,1.0,4.0,8.0
4.9,4.0,1.97751,2.0,1.0,0.0,23.0,0.0,0.0,4.0,7.0
5.0,2.0,1.56179,1.0,1.0,0.0,21.0,0.0,0.0,3.0,6.0
5.1,2.0,1.23222,1.0,0.0,0.0,16.0,0.0,0.0,2.0,5.0
5.2,2.0,0.96906,1.0,0.0,0.0,15.0,0.0,0.0,2.0,4.0
5.3,2.0,0.75952,0.0,0.0,0.0,14.0,0.0,0.0,2.0,4.0
5.4,1.0,0.5921,0.0,0.0,0.0,13.0,0.0,0.0,1.0,3.0
5.5,1.0,0.46036,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
5.6,1.0,0.35589,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
5.7,1.0,0.27219,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
5.8,1.0,0.20552,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
5.9,1.0,0.15417,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
