Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.5092507E-5,6.290254E-5,4.68831E-4,7.4532924,4.05954E-4,1.9323928E-4,2.6955697E-4,7.4304227E-4,2.7565315,4.7361298E-4,0.0023501497,0.003277363,0.0041000973,1.2510356,8.2543975E-4,0.023254504,0.032351483,0.033399004,1.0323794,0.001082544
6.1,4.5092507E-5,6.290254E-5,4.68831E-4,7.4532924,4.05954E-4,1.9323928E-4,2.6955697E-4,7.4304227E-4,2.7565315,4.7361298E-4,0.0023501497,0.003277363,0.0041000973,1.2510356,8.2543975E-4,0.023254504,0.032351483,0.033399004,1.0323794,0.001082544
6.2,2.6674514E-5,3.450911E-5,3.9985508E-4,11.586943,3.653586E-4,1.1431433E-4,1.4788799E-4,5.8084156E-4,3.9275775,4.330176E-4,0.0013908884,0.0017990824,0.0025554998,1.4204463,7.577808E-4,0.01382215,0.01789001,0.01888674,1.0557142,0.001014885
6.3,2.6674514E-5,3.450911E-5,3.9985508E-4,11.586943,3.653586E-4,1.1431433E-4,1.4788799E-4,5.8084156E-4,3.9275775,4.330176E-4,0.0013908884,0.0017990824,0.0025554998,1.4204463,7.577808E-4,0.01382215,0.01789001,0.01888674,1.0557142,0.001014885
6.4,2.5312667E-5,3.233838E-5,3.9768516E-4,12.297622,3.653586E-4,1.0847834E-4,1.3858585E-4,5.715434E-4,4.1241107,4.330176E-4,0.0013199237,0.0016860063,0.0024425094,1.4486953,7.577808E-4,0.013121112,0.016778054,0.01777591,1.059474,0.001014885
6.5,2.5312667E-5,3.233838E-5,3.9768516E-4,12.297622,3.653586E-4,1.0847834E-4,1.3858585E-4,5.715434E-4,4.1241107,4.330176E-4,0.0013199237,0.0016860063,0.0024425094,1.4486953,7.577808E-4,0.013121112,0.016778054,0.01777591,1.059474,0.001014885
6.6,2.246556E-5,2.8133245E-5,3.9348155E-4,13.986355,3.653586E-4,9.627742E-5,1.20565615E-4,5.53531E-4,4.5911183,4.330176E-4,0.0011715472,0.0014669215,0.0022235906,1.5158212,7.577808E-4,0.011653901,0.014618388,0.015605103,1.0674982,0.0010013531
6.7,2.2241198E-5,2.780299E-5,3.9315142E-4,14.140617,3.653586E-4,9.531594E-5,1.1915036E-4,5.5211637E-4,4.6337786,4.330176E-4,0.0011598538,0.0014497138,0.002206396,1.5219529,7.577808E-4,0.011538187,0.014448582,0.015435467,1.0683032,0.0010013531
6.8,1.9528685E-5,2.3897695E-5,3.8924755E-4,16.288078,3.653586E-4,8.369167E-5,1.02414786E-4,5.35388E-4,5.227644,4.330176E-4,0.0010184698,0.0012462065,0.001989528,1.5964674,7.44249E-4,0.010138147,0.012436173,0.013411709,1.0784435,9.878214E-4
6.9,1.3318621E-5,1.5198458E-5,3.805515E-4,25.038822,3.653586E-4,5.7078556E-5,6.5134656E-5,4.9812405E-4,7.647604,4.330176E-4,6.9470983E-4,7.927316E-4,0.0015363906,1.9380968,7.44249E-4,0.0069254204,0.007939667,0.008892797,1.1200465,9.607578E-4
7.0,1.1760853E-5,1.31073775E-5,3.6492955E-4,27.84154,3.518268E-4,5.0402683E-5,5.6173292E-5,4.7563552E-4,8.467289,4.194858E-4,6.134799E-4,6.8370026E-4,0.0014139179,2.0680375,7.307172E-4,0.0061178906,0.006856307,0.007797038,1.1372068,9.4722596E-4
7.1,1.0064758E-5,1.0902532E-5,3.627255E-4,33.269836,3.518268E-4,4.3133965E-5,4.6724323E-5,4.661905E-4,9.977469,4.194858E-4,5.2502943E-4,5.6872366E-4,0.0012855012,2.2603266,7.171854E-4,0.005237907,0.0057127923,0.0066411523,1.1625055,9.336942E-4
7.2,9.768808E-6,1.0498412E-5,3.623215E-4,34.51203,3.518268E-4,4.186565E-5,4.4992437E-5,4.6445936E-4,10.323054,4.194858E-4,5.095951E-4,5.4764876E-4,0.001250917,2.2841594,7.036536E-4,0.0050842804,0.00550306,0.0064181583,1.1662891,9.2016236E-4
7.3,9.344516E-6,9.94408E-6,3.2117238E-4,32.297848,3.112314E-4,4.004731E-5,4.2616808E-5,4.2149104E-4,9.890254,3.788904E-4,4.8746695E-4,5.187396E-4,0.0011544042,2.2254024,6.359946E-4,0.0048639905,0.0052147433,0.006035879,1.1574641,8.2543975E-4
7.4,9.023491E-6,9.490282E-6,2.801237E-4,29.516903,2.70636E-4,3.867153E-5,4.067202E-5,3.7895326E-4,9.317296,3.3829498E-4,4.7072413E-4,4.950727E-4,0.0010496018,2.1200964,5.548038E-4,0.004697283,0.0049782004,0.0056648864,1.1379386,6.901218E-4
7.5,7.081253E-6,7.0873343E-6,1.4240437E-4,20.092798,1.35318E-4,3.0347876E-5,3.037394E-5,1.9275061E-4,6.34592,1.6238159E-4,3.6942272E-4,3.697407E-4,6.4027664E-4,1.7316909,2.70636E-4,0.003688092,0.0037241387,0.0040881364,1.0977402,3.653586E-4
7.6,6.116396E-6,5.958924E-6,1.00680954E-4,16.89583,9.47226E-5,2.6212863E-5,2.5537996E-5,1.4732109E-4,5.768702,1.217862E-4,3.1909486E-4,3.10881E-4,5.002673E-4,1.6091923,1.894452E-4,0.0031863707,0.003135588,0.0033649073,1.0731344,2.3004059E-4
7.7,4.797145E-6,4.7569774E-6,5.8883918E-5,12.378431,5.41272E-5,2.055903E-5,2.0386888E-5,1.0157603E-4,4.98242,8.1190796E-5,2.5027743E-4,2.4818222E-4,3.9699505E-4,1.5996113,1.488498E-4,0.0024999576,0.0025091893,0.0026711633,1.0645524,1.6238159E-4
7.8,3.4028885E-6,3.9781908E-6,3.1041684E-5,7.8029647,2.70636E-5,1.4583726E-5,1.7049279E-5,7.117556E-5,4.174696,5.41272E-5,1.775424E-4,2.0755526E-4,3.1578718E-4,1.5214608,1.082544E-4,0.0017740062,0.0021010821,0.0022226125,1.0578418,1.217862E-4
7.9,2.5928412E-6,3.37222E-6,1.6903974E-5,5.012714,1.35318E-5,1.1112129E-5,1.4452292E-5,4.15155E-5,2.8725893,2.70636E-5,1.3528178E-4,1.759425E-4,2.435896E-4,1.384484,6.7659E-5,0.0013519945,0.0017811217,0.0018486602,1.037919,6.7659E-5
8.0,1.3743648E-6,1.6733709E-6,1.5205148E-5,9.086538,1.35318E-5,5.8901214E-6,7.17157E-6,2.0703272E-5,2.8868537,1.35318E-5,7.1709874E-5,8.731039E-5,1.0084101E-4,1.1549715,1.35318E-5,7.1686733E-4,8.8366936E-4,8.971892E-4,1.0152997,1.35318E-5
8.1,3.6733252E-7,3.148811E-7,1.3846677E-5,43.9743,1.35318E-5,1.5742813E-6,1.3494899E-6,1.4881271E-5,11.02733,1.35318E-5,1.9166706E-5,1.6429933E-5,2.996151E-5,1.823593,1.35318E-5,1.9165053E-4,1.6637788E-4,1.7990742E-4,1.0813181,1.35318E-5
