Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.1549387E-5,1.63219E-5,1.63219E-5,1.0,0.0,4.9496433E-5,6.994921E-5,6.994921E-5,1.0,0.0,6.0245243E-4,8.513139E-4,8.621506E-4,1.0127294,1.0845987E-5,0.006008218,0.00850976,0.008531267,1.0025274,2.1691974E-5
6.1,1.1549387E-5,1.63219E-5,1.63219E-5,1.0,0.0,4.9496433E-5,6.994921E-5,6.994921E-5,1.0,0.0,6.0245243E-4,8.513139E-4,8.621506E-4,1.0127294,1.0845987E-5,0.006008218,0.00850976,0.008531267,1.0025274,2.1691974E-5
6.2,1.1549387E-5,1.63219E-5,1.63219E-5,1.0,0.0,4.9496433E-5,6.994921E-5,6.994921E-5,1.0,0.0,6.0245243E-4,8.513139E-4,8.621506E-4,1.0127294,1.0845987E-5,0.006008218,0.00850976,0.008531267,1.0025274,2.1691974E-5
6.3,1.1549387E-5,1.63219E-5,1.63219E-5,1.0,0.0,4.9496433E-5,6.994921E-5,6.994921E-5,1.0,0.0,6.0245243E-4,8.513139E-4,8.621506E-4,1.0127294,1.0845987E-5,0.006008218,0.00850976,0.008531267,1.0025274,2.1691974E-5
6.4,1.1549387E-5,1.63219E-5,1.63219E-5,1.0,0.0,4.9496433E-5,6.994921E-5,6.994921E-5,1.0,0.0,6.0245243E-4,8.513139E-4,8.621506E-4,1.0127294,1.0845987E-5,0.006008218,0.00850976,0.008531267,1.0025274,2.1691974E-5
6.5,1.1549387E-5,1.63219E-5,1.63219E-5,1.0,0.0,4.9496433E-5,6.994921E-5,6.994921E-5,1.0,0.0,6.0245243E-4,8.513139E-4,8.621506E-4,1.0127294,1.0845987E-5,0.006008218,0.00850976,0.008531267,1.0025274,2.1691974E-5
6.6,9.202681E-6,1.384518E-5,1.384518E-5,1.0,0.0,3.9439463E-5,5.9335187E-5,5.9335187E-5,1.0,0.0,4.800697E-4,7.2217546E-4,7.330136E-4,1.0150076,1.0845987E-5,0.004790339,0.007226945,0.00724848,1.0029799,2.1691974E-5
6.7,9.019164E-6,1.365085E-5,1.365085E-5,1.0,0.0,3.8652986E-5,5.850238E-5,5.850238E-5,1.0,0.0,4.7049852E-4,7.120427E-4,7.2288094E-4,1.0152214,1.0845987E-5,0.004695036,0.0071262694,0.0071478067,1.0030222,2.1691974E-5
6.8,8.673558E-6,1.3272961E-5,1.3272961E-5,1.0,0.0,3.717186E-5,5.688293E-5,5.688293E-5,1.0,0.0,4.524734E-4,6.9233845E-4,7.0317695E-4,1.0156549,1.0845987E-5,0.0045155324,0.006930458,0.006952,1.0031083,2.1691974E-5
6.9,7.002255E-6,1.1477195E-5,1.1477195E-5,1.0,0.0,3.000932E-5,4.918709E-5,4.918709E-5,1.0,0.0,3.653022E-4,5.986951E-4,6.095346E-4,1.0181051,1.0845987E-5,0.0036470229,0.005999283,0.006020845,1.003594,2.1691974E-5
7.0,5.84644E-6,9.674542E-6,9.674542E-6,1.0,0.0,2.5055931E-5,4.1461688E-5,4.1461688E-5,1.0,0.0,3.0501327E-4,5.046837E-4,5.155242E-4,1.0214798,1.0845987E-5,0.0030459496,0.0050636297,0.005085212,1.0042622,2.1691974E-5
7.1,5.54703E-6,9.329019E-6,9.329019E-6,1.0,0.0,2.377277E-5,3.998092E-5,3.998092E-5,1.0,0.0,2.8939504E-4,4.8666348E-4,4.975042E-4,1.0222756,1.0845987E-5,0.0028901845,0.004884225,0.0049058106,1.0044196,2.1691974E-5
7.2,4.384709E-6,7.681153E-6,7.681153E-6,1.0,0.0,1.8791474E-5,3.2918833E-5,3.2918833E-5,1.0,0.0,2.2876218E-4,4.0071676E-4,4.115584E-4,1.0270556,1.0845987E-5,0.0022852682,0.004028154,0.004049759,1.0053633,2.1691974E-5
7.3,3.7888456E-6,6.915043E-6,6.915043E-6,1.0,0.0,1.623781E-5,2.963558E-5,2.963558E-5,1.0,0.0,1.9767738E-4,3.607568E-4,3.7159887E-4,1.0300537,1.0845987E-5,0.0019750162,0.0036299077,0.003651521,1.0059543,2.1691974E-5
7.4,2.1982462E-6,5.0233793E-6,5.0233793E-6,1.0,0.0,9.421021E-6,2.1528593E-5,2.1528593E-5,1.0,0.0,1.1469489E-4,2.6207927E-4,2.7292242E-4,1.0413735,1.0845987E-5,0.0011463572,0.0026456832,0.0026673176,1.0081773,2.1691974E-5
7.5,2.051923E-6,4.61463E-6,4.61463E-6,1.0,0.0,8.793926E-6,1.9776837E-5,1.9776837E-5,1.0,0.0,1.0706078E-4,2.4075652E-4,2.515999E-4,1.0450388,1.0845987E-5,0.0010700922,0.0024333464,0.0024549854,1.0088928,2.1691974E-5
7.6,1.8733427E-6,4.123002E-6,4.123002E-6,1.0,0.0,8.028587E-6,1.7669889E-5,1.7669889E-5,1.0,0.0,9.774366E-5,2.1510974E-4,2.2595341E-4,1.0504099,1.0845987E-5,9.770069E-4,0.002177891,0.002199536,1.0099384,2.1691974E-5
7.7,1.8411953E-6,4.0426794E-6,4.0426794E-6,1.0,0.0,7.890813E-6,1.7325654E-5,1.7325654E-5,1.0,0.0,9.606641E-5,2.1091949E-4,2.217632E-4,1.0514115,1.0845987E-5,9.6024893E-4,0.0021361776,0.0021578232,1.0101329,2.1691974E-5
7.8,1.7194251E-6,3.7100826E-6,3.7100826E-6,1.0,0.0,7.368944E-6,1.5900257E-5,1.5900257E-5,1.0,0.0,8.97132E-5,1.9356851E-4,2.044124E-4,1.056021,1.0845987E-5,8.967699E-4,0.0019621777,0.001983827,1.0110334,2.1691974E-5
7.9,1.4035052E-6,2.9497803E-6,2.9497803E-6,1.0,0.0,6.0150082E-6,1.26418545E-5,1.26418545E-5,1.0,0.0,7.3230265E-5,1.5390378E-4,1.6474808E-4,1.0704616,1.0845987E-5,7.3206134E-4,0.0015629655,0.0015846235,1.013857,2.1691974E-5
8.0,3.9318823E-7,5.5278343E-7,5.5278343E-7,1.0,0.0,1.6850913E-6,2.3690698E-6,2.3690698E-6,1.0,0.0,2.0515794E-5,2.8843047E-5,2.8843047E-5,1.0,0.0,2.0513899E-4,2.98954E-4,2.98954E-4,1.0,0.0
8.1,1.596793E-7,1.1377612E-7,1.1377612E-7,1.0,0.0,6.8433974E-7,4.876118E-7,4.876118E-7,1.0,0.0,8.331805E-6,5.9366585E-6,5.9366585E-6,1.0,0.0,8.331492E-5,6.548667E-5,6.548667E-5,1.0,0.0
8.2,4.9003038E-8,2.543886E-8,2.543886E-8,1.0,0.0,2.10013E-7,1.0902368E-7,1.0902368E-7,1.0,0.0,2.5569052E-6,1.3273626E-6,1.3273626E-6,1.0,0.0,2.556876E-5,1.495299E-5,1.495299E-5,1.0,0.0
