Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.1674632E-4,2.4321114E-4,2.8379666E-4,1.1668737,4.0595398E-5,5.002454E-4,0.0010419186,0.0010824718,1.0389216,4.0595398E-5,0.006073493,0.01261206,0.012652143,1.0031782,4.0595398E-5,0.0591016,0.12060616,0.12064186,1.000296,4.0595398E-5
6.1,1.1674632E-4,2.4321114E-4,2.8379666E-4,1.1668737,4.0595398E-5,5.002454E-4,0.0010419186,0.0010824718,1.0389216,4.0595398E-5,0.006073493,0.01261206,0.012652143,1.0031782,4.0595398E-5,0.0591016,0.12060616,0.12064186,1.000296,4.0595398E-5
6.2,1.1674632E-4,2.4321114E-4,2.8379666E-4,1.1668737,4.0595398E-5,5.002454E-4,0.0010419186,0.0010824718,1.0389216,4.0595398E-5,0.006073493,0.01261206,0.012652143,1.0031782,4.0595398E-5,0.0591016,0.12060616,0.12064186,1.000296,4.0595398E-5
6.3,1.1674632E-4,2.4321114E-4,2.8379666E-4,1.1668737,4.0595398E-5,5.002454E-4,0.0010419186,0.0010824718,1.0389216,4.0595398E-5,0.006073493,0.01261206,0.012652143,1.0031782,4.0595398E-5,0.0591016,0.12060616,0.12064186,1.000296,4.0595398E-5
6.4,1.1674632E-4,2.4321114E-4,2.8379666E-4,1.1668737,4.0595398E-5,5.002454E-4,0.0010419186,0.0010824718,1.0389216,4.0595398E-5,0.006073493,0.01261206,0.012652143,1.0031782,4.0595398E-5,0.0591016,0.12060616,0.12064186,1.000296,4.0595398E-5
6.5,1.13136164E-4,2.3641133E-4,2.7699713E-4,1.1716745,4.0595398E-5,4.847792E-4,0.0010127996,0.0010533539,1.0400418,4.0595398E-5,0.0058862255,0.012261566,0.012301663,1.0032701,4.0595398E-5,0.057327334,0.11757754,0.11761336,1.0003047,4.0595398E-5
6.6,1.13136164E-4,2.3641133E-4,2.7699713E-4,1.1716745,4.0595398E-5,4.847792E-4,0.0010127996,0.0010533539,1.0400418,4.0595398E-5,0.0058862255,0.012261566,0.012301663,1.0032701,4.0595398E-5,0.057327334,0.11757754,0.11761336,1.0003047,4.0595398E-5
6.7,1.1149675E-4,2.3332359E-4,2.7390954E-4,1.173947,4.0595398E-5,4.777557E-4,9.995765E-4,0.0010401314,1.040572,4.0595398E-5,0.0058011734,0.012102372,0.012142477,1.0033138,4.0595398E-5,0.05652051,0.11619909,0.11623497,1.0003088,4.0595398E-5
6.8,1.1103589E-4,2.323452E-4,2.7293118E-4,1.1746796,4.0595398E-5,4.7578133E-4,9.953866E-4,0.0010359416,1.040743,4.0595398E-5,0.005777263,0.012051926,0.0120920325,1.0033277,4.0595398E-5,0.056293584,0.115759395,0.11579529,1.0003101,4.0595398E-5
6.9,1.1053259E-4,2.3126906E-4,2.7185507E-4,1.1754926,4.0595398E-5,4.7362508E-4,9.907781E-4,0.0010313333,1.0409327,4.0595398E-5,0.0057511497,0.011996436,0.012036544,1.0033433,4.0595398E-5,0.05604569,0.1152756,0.11531152,1.0003116,4.0595398E-5
7.0,1.1005377E-4,2.3027751E-4,2.7086356E-4,1.1762484,4.0595398E-5,4.7157376E-4,9.865318E-4,0.0010270872,1.041109,4.0595398E-5,0.0057263062,0.011945305,0.011985416,1.0033579,4.0595398E-5,0.055809796,0.11482792,0.11486386,1.0003129,4.0595398E-5
7.1,1.0308142E-4,2.1537494E-4,2.5596158E-4,1.1884465,4.0595398E-5,4.417027E-4,9.2270994E-4,9.6326787E-4,1.0439552,4.0595398E-5,0.0053644776,0.011176443,0.011216584,1.0035917,4.0595398E-5,0.052368138,0.10808435,0.10812056,1.000335,4.0595398E-5
7.2,1.0027479E-4,2.0945404E-4,2.5004093E-4,1.1937747,4.0595398E-5,4.296783E-4,8.973524E-4,9.3791133E-4,1.0451984,4.0595398E-5,0.0052187922,0.010870834,0.010910989,1.0036937,4.0595398E-5,0.050979212,0.10538838,0.105424695,1.0003446,4.0595398E-5
7.3,9.816942E-5,2.0420653E-4,2.4479366E-4,1.1987551,4.0595398E-5,4.2065824E-4,8.748783E-4,9.154382E-4,1.0463606,4.0595398E-5,0.005109493,0.010599907,0.010640072,1.0037892,4.0595398E-5,0.049935985,0.10297221,0.10300863,1.0003537,4.0595398E-5
7.4,9.5634205E-5,1.9790219E-4,2.3848956E-4,1.205088,4.0595398E-5,4.0979648E-4,8.478775E-4,8.884385E-4,1.0478382,4.0595398E-5,0.0049778637,0.010274311,0.01031449,1.0039105,4.0595398E-5,0.048678253,0.10005864,0.100095175,1.0003651,4.0595398E-5
7.5,8.052417E-5,1.611105E-4,1.8816974E-4,1.1679546,2.70636E-5,3.4505792E-4,6.90291E-4,7.173359E-4,1.039179,2.70636E-5,0.0041929903,0.008371988,0.008398825,1.0032055,2.70636E-5,0.04114753,0.08280355,0.08282837,1.0002998,2.70636E-5
7.6,7.897024E-5,1.5764312E-4,1.8470245E-4,1.1716493,2.70636E-5,3.384E-4,6.754386E-4,7.024839E-4,1.0400411,2.70636E-5,0.0041122385,0.008192535,0.008219376,1.0032763,2.70636E-5,0.040369697,0.08114483,0.081169695,1.0003065,2.70636E-5
7.7,6.707427E-5,1.3274715E-4,1.4627715E-4,1.1019231,1.35318E-5,2.8742946E-4,5.6879234E-4,5.823164E-4,1.0237769,1.35318E-5,0.003493839,0.0069030905,0.006916529,1.0019467,1.35318E-5,0.034394164,0.06904176,0.06905436,1.0001825,1.35318E-5
7.8,6.147705E-5,1.219623E-4,1.3549245E-4,1.1109371,1.35318E-5,2.6344648E-4,5.225909E-4,5.361156E-4,1.0258801,1.35318E-5,0.0032027436,0.0063440073,0.0063574533,1.0021194,1.35318E-5,0.031569764,0.06350883,0.063521504,1.0001996,1.35318E-5
7.9,4.7636717E-5,8.8788634E-5,8.8788634E-5,1.0,0.0,2.0414138E-4,3.8046725E-4,3.8046725E-4,1.0,0.0,0.0024825884,0.004622358,0.004622358,1.0,0.0,0.024550365,0.04662383,0.04662383,1.0,0.0
8.0,3.3554235E-5,5.213132E-5,5.213132E-5,1.0,0.0,1.4379594E-4,2.2340081E-4,2.2340081E-4,1.0,0.0,0.0017493097,0.002716514,0.002716514,1.0,0.0,0.017356034,0.027878206,0.027878206,1.0,0.0
8.1,1.9175432E-5,1.918229E-5,1.918229E-5,1.0,0.0,8.217783E-5,8.2207225E-5,8.2207225E-5,1.0,0.0,0.0010000558,0.001000414,0.001000414,1.0,0.0,0.009955673,0.010756618,0.010756618,1.0,0.0
8.2,8.643924E-6,5.4738607E-6,5.4738607E-6,1.0,0.0,3.704486E-5,2.3459192E-5,2.3459192E-5,1.0,0.0,4.5092785E-4,2.855783E-4,2.855783E-4,1.0,0.0,0.0045001395,0.0032481598,0.0032481598,1.0,0.0
8.3,1.983087E-6,7.658221E-7,7.658221E-7,1.0,0.0,8.498917E-6,3.2820906E-6,3.2820906E-6,1.0,0.0,1.034694E-4,3.9958737E-5,3.9958737E-5,1.0,0.0,0.0010342124,4.7187202E-4,4.7187202E-4,1.0,0.0
