Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17270593,0.0,0.51525,0.0,0.0,0.0,10.0,0.0,0.0,1.0,3.0
0.34541187,0.0,0.63371,0.0,0.0,0.0,13.0,0.0,0.0,1.0,3.0
0.5181178,0.0,0.70514,0.0,0.0,0.0,16.0,0.0,0.0,1.0,3.0
0.69082373,0.0,0.75687,0.0,0.0,0.0,16.0,0.0,0.0,2.0,3.0
0.8635297,1.0,0.79849,0.0,0.0,0.0,16.0,0.0,0.0,2.0,4.0
1.0362356,1.0,0.83248,1.0,0.0,0.0,16.0,0.0,0.0,2.0,4.0
1.2089416,1.0,0.86168,1.0,0.0,0.0,17.0,0.0,0.0,2.0,4.0
1.3816475,1.0,0.88794,1.0,0.0,0.0,18.0,0.0,0.0,2.0,4.0
1.5543535,2.0,0.91105,1.0,0.0,0.0,18.0,0.0,0.0,2.0,4.0
1.7270594,2.0,0.93163,1.0,0.0,0.0,18.0,0.0,0.0,2.0,4.0
1.8997653,2.0,0.94925,1.0,0.0,0.0,18.0,0.0,0.0,2.0,4.0
2.0724711,2.0,0.96635,1.0,0.0,0.0,18.0,0.0,0.0,2.0,4.0
2.2451773,2.0,0.98202,1.0,0.0,0.0,19.0,0.0,0.0,2.0,4.0
2.4178832,2.0,0.99724,1.0,0.0,0.0,20.0,0.0,0.0,2.0,4.0
2.590589,2.0,1.01093,1.0,0.0,0.0,20.0,0.0,0.0,2.0,4.0
2.763295,2.0,1.02368,1.0,0.0,0.0,20.0,0.0,0.0,2.0,4.0
2.9360008,2.0,1.03537,1.0,0.0,0.0,20.0,0.0,0.0,2.0,4.0
3.108707,2.0,1.04702,1.0,0.0,0.0,20.0,0.0,0.0,2.0,4.0
3.2814128,2.0,1.05778,1.0,0.0,0.0,20.0,0.0,0.0,2.0,4.0
3.4541187,2.0,1.06838,1.0,0.0,0.0,21.0,0.0,0.0,2.0,4.0
3.6268246,2.0,1.0778,1.0,0.0,0.0,21.0,0.0,0.0,2.0,4.0
3.7995305,2.0,1.08722,1.0,0.0,0.0,21.0,0.0,0.0,2.0,4.0
3.9722366,2.0,1.09594,1.0,0.0,0.0,21.0,0.0,0.0,2.0,5.0
4.1449423,2.0,1.10475,1.0,0.0,0.0,25.0,0.0,0.0,2.0,5.0
4.3176484,2.0,1.11313,1.0,0.0,0.0,30.0,0.0,0.0,2.0,5.0
4.4903545,2.0,1.12123,1.0,0.0,0.0,30.0,0.0,0.0,2.0,5.0
4.66306,2.0,1.1294,1.0,0.0,0.0,30.0,0.0,0.0,2.0,5.0
4.8357663,2.0,1.13675,1.0,0.0,0.0,30.0,0.0,0.0,2.0,5.0
5.008472,2.0,1.14372,1.0,0.0,0.0,30.0,0.0,0.0,2.0,5.0
5.181178,2.0,1.1512,1.0,0.0,0.0,30.0,0.0,0.0,2.0,5.0
5.353884,2.0,1.15792,1.0,0.0,0.0,30.0,0.0,0.0,2.0,5.0
5.52659,2.0,1.16405,1.0,0.0,0.0,30.0,0.0,0.0,2.0,5.0
5.699296,2.0,1.17033,1.0,0.0,0.0,30.0,0.0,0.0,2.0,5.0
5.8720016,2.0,1.1764,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
6.044708,2.0,1.18208,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
6.217414,2.0,1.18792,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
6.3901196,2.0,1.19341,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
6.5628257,2.0,1.19879,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
6.7355313,2.0,1.2041,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
6.9082375,2.0,1.20912,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
7.0809436,2.0,1.21429,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
7.253649,2.0,1.21966,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
7.4263554,2.0,1.22459,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
7.599061,2.0,1.22944,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
7.771767,2.0,1.23436,1.0,0.0,0.0,31.0,0.0,0.0,2.0,5.0
7.9444733,2.0,1.23912,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
8.117179,2.0,1.24354,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
8.289885,2.0,1.24777,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
8.462591,2.0,1.25188,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
8.635297,2.0,1.2558,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
8.808002,2.0,1.25987,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
8.980709,2.0,1.26429,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
9.153415,2.0,1.26844,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
9.32612,2.0,1.27228,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
9.498827,2.0,1.27628,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
9.671533,2.0,1.2802,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
9.844238,2.0,1.28406,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
10.016944,2.0,1.28771,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
10.189651,2.0,1.2916,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
10.362356,2.0,1.29561,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
10.535062,2.0,1.29884,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
10.707768,2.0,1.30211,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
10.880474,2.0,1.30539,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
11.05318,2.0,1.30868,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
11.225886,2.0,1.31217,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
11.398592,2.0,1.31552,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
11.571298,2.0,1.31867,1.0,0.0,0.0,32.0,0.0,0.0,2.0,5.0
11.744003,2.0,1.32198,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
11.91671,2.0,1.32513,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
12.089416,2.0,1.32795,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
12.262121,2.0,1.3311,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
12.434828,2.0,1.33423,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
12.607533,2.0,1.33733,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
12.780239,2.0,1.34031,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
12.952946,2.0,1.34323,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
13.125651,2.0,1.34624,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
13.298357,2.0,1.3491,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
13.471063,2.0,1.35196,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
13.643769,2.0,1.35488,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
13.816475,2.0,1.35742,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
13.989181,2.0,1.3599,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
14.161887,2.0,1.36241,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
14.334593,2.0,1.36502,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
14.507298,2.0,1.36753,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
14.680005,2.0,1.37005,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
14.852711,2.0,1.37248,1.0,0.0,0.0,32.0,0.0,0.0,3.0,5.0
15.025416,2.0,1.37486,1.0,0.0,0.0,33.0,0.0,0.0,3.0,5.0
15.198122,2.0,1.37736,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
15.370829,2.0,1.37999,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
15.543534,2.0,1.38262,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
15.71624,2.0,1.38511,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
15.888947,2.0,1.387,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
16.061651,2.0,1.38957,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
16.234358,2.0,1.39188,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
16.407064,2.0,1.39403,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
16.57977,2.0,1.39642,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
16.752476,2.0,1.39869,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
16.925182,2.0,1.40091,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
17.097887,2.0,1.40325,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
17.270594,2.0,1.40534,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
17.4433,2.0,1.4075,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
17.616005,2.0,1.40988,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
17.788712,2.0,1.41204,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
17.961418,2.0,1.41413,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
18.134123,2.0,1.41609,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
18.30683,2.0,1.41802,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
18.479536,2.0,1.42034,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
18.65224,2.0,1.42221,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
18.824947,2.0,1.42423,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
18.997654,2.0,1.42595,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
19.170359,2.0,1.42787,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
19.343065,2.0,1.42983,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
19.515772,2.0,1.43177,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
19.688477,2.0,1.43362,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
19.861183,2.0,1.4354,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
20.033888,2.0,1.43735,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
20.206594,2.0,1.43908,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
20.379301,2.0,1.44116,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
20.552006,2.0,1.44315,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
20.724712,2.0,1.44511,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
20.897419,2.0,1.447,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
21.070124,2.0,1.44893,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
21.24283,2.0,1.45069,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
21.415537,2.0,1.45227,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
21.588242,2.0,1.45395,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
21.760948,2.0,1.45571,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
21.933655,2.0,1.45749,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
22.10636,2.0,1.45918,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
22.279066,2.0,1.46085,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
22.451773,2.0,1.46257,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
22.624477,2.0,1.46415,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
22.797184,2.0,1.46581,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
22.96989,2.0,1.46786,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
23.142595,2.0,1.46987,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
23.315302,2.0,1.47177,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
23.488007,2.0,1.4734,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
23.660713,2.0,1.47534,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
23.83342,2.0,1.47691,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
24.006124,2.0,1.4784,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
24.178831,2.0,1.47999,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
24.351538,2.0,1.48144,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
24.524242,2.0,1.48321,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
24.696949,2.0,1.48491,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
24.869656,2.0,1.48636,1.0,0.0,0.0,33.0,0.0,0.0,3.0,6.0
25.04236,2.0,1.48809,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
25.215067,2.0,1.4898,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
25.387774,2.0,1.49157,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
25.560478,2.0,1.49306,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
25.733185,2.0,1.49477,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
25.905891,2.0,1.49645,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
26.078596,2.0,1.49813,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
26.251303,2.0,1.49943,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
26.42401,2.0,1.50106,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
26.596714,2.0,1.50256,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
26.76942,2.0,1.50398,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
26.942125,2.0,1.50549,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
27.114832,2.0,1.50693,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
27.287539,2.0,1.5085,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
27.460243,2.0,1.50992,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
27.63295,2.0,1.5115,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
27.805656,2.0,1.51275,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
27.978361,2.0,1.51432,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
28.151068,2.0,1.5159,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
28.323774,2.0,1.51736,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
28.496479,2.0,1.51874,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
28.669186,2.0,1.51988,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
28.841892,2.0,1.52122,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
29.014597,2.0,1.52258,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
29.187304,2.0,1.52408,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
29.36001,2.0,1.5254,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
29.532715,2.0,1.52676,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
29.705421,2.0,1.52848,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
29.878128,2.0,1.53004,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
30.050833,2.0,1.53136,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
30.22354,2.0,1.53261,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
30.396244,2.0,1.53391,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
30.56895,2.0,1.5351,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
30.741657,2.0,1.53628,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
30.914362,2.0,1.53757,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
31.087069,2.0,1.53872,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
31.259775,2.0,1.5398,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
31.43248,2.0,1.54086,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
31.605186,2.0,1.54224,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
31.777893,2.0,1.54349,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
31.950598,2.0,1.54458,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
32.123302,2.0,1.54583,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
32.29601,2.0,1.54706,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
32.468716,2.0,1.5486,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
32.641422,2.0,1.54971,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
32.81413,2.0,1.55087,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
32.986835,2.0,1.55193,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
33.15954,2.0,1.55316,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
33.332245,2.0,1.55447,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
33.50495,2.0,1.55542,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
33.677658,2.0,1.55651,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
33.850365,2.0,1.55755,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
34.02307,2.0,1.5586,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
34.195774,2.0,1.55985,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
34.36848,2.0,1.56115,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
34.541187,2.0,1.56229,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
34.713894,2.0,1.56339,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
34.8866,2.0,1.56434,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
35.059307,2.0,1.56533,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
35.23201,2.0,1.56638,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
35.404716,2.0,1.5676,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
35.577423,2.0,1.56858,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
35.75013,2.0,1.56971,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
35.922836,2.0,1.57088,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
36.09554,2.0,1.57183,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
36.268246,2.0,1.5728,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
36.440952,2.0,1.57385,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
36.61366,2.0,1.57499,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
36.786366,2.0,1.57616,1.0,0.0,0.0,34.0,0.0,0.0,3.0,6.0
