Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5425209,231.0,162.70567,154.0,147.0,89.0,991.0,121.0,136.0,181.0,283.0
1.0850418,246.0,182.56725,172.0,162.0,99.0,1166.0,135.0,152.0,203.0,326.0
1.6275625,254.0,193.79901,182.0,176.0,106.0,1252.0,143.0,160.0,216.0,351.0
2.1700835,261.0,201.57251,189.0,180.0,107.0,1316.0,149.0,166.0,225.0,368.0
2.7126043,267.0,207.45337,194.0,184.0,109.0,1349.0,153.0,171.0,231.0,382.0
3.255125,269.0,212.15544,199.0,188.0,109.0,1371.0,156.0,175.0,237.0,393.0
3.797646,271.0,216.08496,202.0,192.0,109.0,1393.0,159.0,178.0,241.0,400.0
4.340167,275.0,219.43967,205.0,195.0,110.0,1412.0,161.0,180.0,245.0,408.0
4.8826876,288.0,222.37698,208.0,197.0,110.0,1436.0,163.0,183.0,248.0,414.0
5.4252086,298.0,224.97539,210.0,198.0,112.0,1449.0,165.0,185.0,251.0,420.0
5.9677296,304.0,227.29712,212.0,206.0,115.0,1457.0,167.0,186.0,254.0,425.0
6.51025,307.0,229.3993,214.0,202.0,117.0,1475.0,168.0,188.0,256.0,430.0
7.052771,307.0,231.29143,216.0,206.0,117.0,1488.0,169.0,189.0,259.0,434.0
7.595292,308.0,233.05095,217.0,207.0,118.0,1502.0,171.0,191.0,261.0,438.0
8.137813,308.0,234.65775,219.0,205.0,118.0,1514.0,172.0,192.0,263.0,441.0
8.680334,308.0,236.17728,220.0,206.0,119.0,1519.0,173.0,193.0,264.0,446.0
9.222855,310.0,237.58334,221.0,211.0,120.0,1526.0,174.0,194.0,266.0,448.0
9.765375,312.0,238.89494,222.0,213.0,120.0,1533.0,174.0,195.0,268.0,452.0
