Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.1227985E-5,2.2719574E-5,4.014078E-5,1.7667928,1.7421602E-5,9.097391E-5,9.73663E-5,1.3220611E-4,1.3578221,3.4843204E-5,0.0011070445,0.0011848481,0.00121965,1.0293725,3.4843204E-5,0.011015458,0.011791152,0.011825584,1.0029202,3.4843204E-5
6.1,2.1227985E-5,2.2719574E-5,4.014078E-5,1.7667928,1.7421602E-5,9.097391E-5,9.73663E-5,1.3220611E-4,1.3578221,3.4843204E-5,0.0011070445,0.0011848481,0.00121965,1.0293725,3.4843204E-5,0.011015458,0.011791152,0.011825584,1.0029202,3.4843204E-5
6.2,2.1227985E-5,2.2719574E-5,4.014078E-5,1.7667928,1.7421602E-5,9.097391E-5,9.73663E-5,1.3220611E-4,1.3578221,3.4843204E-5,0.0011070445,0.0011848481,0.00121965,1.0293725,3.4843204E-5,0.011015458,0.011791152,0.011825584,1.0029202,3.4843204E-5
6.3,1.1613981E-5,1.2353542E-5,2.977493E-5,2.4102342,1.7421602E-5,4.9773254E-5,5.2942745E-5,7.036343E-5,1.3290476,1.7421602E-5,6.0582085E-4,6.443998E-4,6.6181016E-4,1.027018,1.7421602E-5,0.0060417196,0.0064265593,0.006443869,1.0026934,1.7421602E-5
6.4,1.1613981E-5,1.2353542E-5,2.977493E-5,2.4102342,1.7421602E-5,4.9773254E-5,5.2942745E-5,7.036343E-5,1.3290476,1.7421602E-5,6.0582085E-4,6.443998E-4,6.6181016E-4,1.027018,1.7421602E-5,0.0060417196,0.0064265593,0.006443869,1.0026934,1.7421602E-5
6.5,8.931326E-6,9.4816E-6,2.6903037E-5,2.8373942,1.7421602E-5,3.8276554E-5,4.0634844E-5,5.8055743E-5,1.4287181,1.7421602E-5,4.6591737E-4,4.946261E-4,5.120391E-4,1.0352043,1.7421602E-5,0.0046494175,0.004936161,0.0049534966,1.0035119,1.7421602E-5
6.6,7.345353E-6,7.79028E-6,2.5211746E-5,3.2363083,1.7421602E-5,3.1479703E-5,3.338653E-5,5.080755E-5,1.5217979,1.7421602E-5,3.83198E-4,4.064132E-4,4.238277E-4,1.0428493,1.7421602E-5,0.0038253788,0.0040574907,0.0040748417,1.0042763,1.7421602E-5
6.7,6.2775666E-6,6.655149E-6,2.4076637E-5,3.6177456,1.7421602E-5,2.690358E-5,2.8521798E-5,4.5942903E-5,1.6107997,1.7421602E-5,3.2750185E-4,3.472051E-4,3.6462065E-4,1.0501592,1.7421602E-5,0.0032701963,0.003467367,0.0034847283,1.005007,1.7421602E-5
6.8,5.5234095E-6,5.8551113E-6,2.3276612E-5,3.9754345,1.7421602E-5,2.367154E-5,2.5093133E-5,4.25143E-5,1.6942602,1.7421602E-5,2.8816288E-4,3.0547334E-4,3.2288962E-4,1.0570141,1.7421602E-5,0.002877895,0.0030512505,0.003068619,1.0056922,1.7421602E-5
6.9,4.7780054E-6,5.0654203E-6,2.2486935E-5,4.439303,1.7421602E-5,2.0477004E-5,2.1708804E-5,3.9130027E-5,1.8024958,1.7421602E-5,2.4927902E-4,2.642797E-4,2.8169667E-4,1.0659037,1.7421602E-5,0.0024899957,0.002640346,0.0026577218,1.0065808,1.7421602E-5
7.0,3.883171E-6,4.118487E-6,2.1540018E-5,5.23008,1.7421602E-5,1.6642054E-5,1.7650578E-5,3.5071873E-5,1.9870099,1.7421602E-5,2.0259817E-4,2.1488148E-4,2.3229935E-4,1.081058,1.7421602E-5,0.0020241356,0.0021474129,0.002164797,1.0080954,1.7421602E-5
7.1,2.8358215E-6,3.0097158E-6,2.0431266E-5,6.788437,1.7421602E-5,1.2153464E-5,1.2898756E-5,3.0320134E-5,2.3506248,1.7421602E-5,1.4795837E-4,1.5703762E-4,1.7445648E-4,1.1109216,1.7421602E-5,0.001478599,0.0015699116,0.0015873059,1.0110798,1.7421602E-5
