Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.8099583E-5,2.9832152E-5,8.538605E-5,2.8622155,5.5555556E-5,1.20421224E-4,1.278462E-4,1.8339466E-4,1.4344944,5.5555556E-5,0.0014651422,0.0015554909,0.00161096,1.0356603,5.5555556E-5,0.0145552,0.01545356,0.015508258,1.0035394,5.5555556E-5
6.1,2.483194E-5,2.590715E-5,8.1461265E-5,3.1443546,5.5555556E-5,1.0641825E-4,1.11026246E-4,1.6657563E-4,1.5003266,5.5555556E-5,0.0012948721,0.0013509706,0.0014064511,1.0410671,5.5555556E-5,0.012873529,0.013433994,0.013488803,1.0040799,5.5555556E-5
6.2,2.483194E-5,2.590715E-5,8.1461265E-5,3.1443546,5.5555556E-5,1.0641825E-4,1.11026246E-4,1.6657563E-4,1.5003266,5.5555556E-5,0.0012948721,0.0013509706,0.0014064511,1.0410671,5.5555556E-5,0.012873529,0.013433994,0.013488803,1.0040799,5.5555556E-5
6.3,2.0257901E-5,2.0398922E-5,7.595334E-5,3.7233999,5.5555556E-5,8.681669E-5,8.742122E-5,1.4297193E-4,1.6354373,5.5555556E-5,0.0010564806,0.0010638756,0.001119372,1.0521644,5.5555556E-5,0.01051472,0.010592012,0.010646978,1.0051895,5.5555556E-5
6.4,1.8054898E-5,1.7780874E-5,7.333544E-5,4.1244,5.5555556E-5,7.737584E-5,7.62017E-5,1.3175303E-4,1.7290037,5.5555556E-5,9.416436E-4,9.2739856E-4,9.829026E-4,1.0598491,5.5555556E-5,0.009376635,0.009239036,0.009294078,1.0059576,5.5555556E-5
6.5,1.34804895E-5,1.2321055E-5,6.7875924E-5,5.508938,5.5555556E-5,5.777225E-5,5.2803476E-5,1.083561E-4,2.0520637,5.5555556E-5,7.031501E-4,6.4269686E-4,6.9821667E-4,1.0863857,5.5555556E-5,0.007009294,0.0064088185,0.006464018,1.0086131,5.5555556E-5
6.6,1.294883E-5,1.1732312E-5,6.728721E-5,5.735205,5.5555556E-5,5.5493805E-5,5.028039E-5,1.0583315E-4,2.1048594,5.5555556E-5,6.754276E-4,6.1199587E-4,6.675174E-4,1.0907221,5.5555556E-5,0.006733784,0.0061035305,0.0061587472,1.0090467,5.5555556E-5
6.7,1.1272237E-5,9.811886E-6,6.53669E-5,6.6620116,5.5555556E-5,4.8308695E-5,4.2050277E-5,9.760349E-5,2.3211143,5.5555556E-5,5.879996E-4,5.118446E-4,5.673717E-4,1.1084844,5.5555556E-5,0.005864462,0.0051069413,0.005162213,1.0108229,5.5555556E-5
6.8,9.8337505E-6,8.19377E-6,6.374887E-5,7.780164,5.5555556E-5,4.2143965E-5,3.5115696E-5,9.06693E-5,2.5820165,5.5555556E-5,5.1298196E-4,4.2745177E-4,4.8298357E-4,1.1299136,5.5555556E-5,0.005117994,0.0042665056,0.0043218243,1.0129658,5.5555556E-5
6.9,7.4224813E-6,5.4131347E-6,5.4131347E-6,1.0,0.0,3.1810247E-5,2.319895E-5,2.319895E-5,1.0,0.0,3.872209E-4,2.8241202E-4,2.8241202E-4,1.0,0.0,0.0038654688,0.0028206722,0.0028206722,1.0,0.0
7.0,4.4628923E-6,2.0110795E-6,2.0110795E-6,1.0,0.0,1.912654E-5,8.618884E-6,8.618884E-6,1.0,0.0,2.3284076E-4,1.04929975E-4,1.04929975E-4,1.0,0.0,0.0023259693,0.0010488159,0.0010488159,1.0,0.0
7.1,3.5546527E-6,1.1855836E-6,1.1855836E-6,1.0,0.0,1.5234136E-5,5.081063E-6,5.081063E-6,1.0,0.0,1.8545982E-4,6.186026E-5,6.186026E-5,1.0,0.0,0.0018530512,6.1843713E-4,6.1843713E-4,1.0,0.0
7.2,3.2039936E-6,1.1254128E-6,1.1254128E-6,1.0,0.0,1.3731329E-5,4.823189E-6,4.823189E-6,1.0,0.0,1.671661E-4,5.8720816E-5,5.8720816E-5,1.0,0.0,0.0016704041,5.870597E-4,5.870597E-4,1.0,0.0
7.3,2.8120473E-6,1.0305612E-6,1.0305612E-6,1.0,0.0,1.2051575E-5,4.4166836E-6,4.4166836E-6,1.0,0.0,1.4671806E-4,5.3771862E-5,5.3771862E-5,1.0,0.0,0.0014662122,5.3759513E-4,5.3759513E-4,1.0,0.0
7.4,2.4837766E-6,9.800582E-7,9.800582E-7,1.0,0.0,1.0644713E-5,4.200243E-6,4.200243E-6,1.0,0.0,1.2959167E-4,5.1136827E-5,5.1136827E-5,1.0,0.0,0.0012951613,5.112572E-4,5.112572E-4,1.0,0.0
7.5,1.5002679E-6,6.546144E-7,6.546144E-7,1.0,0.0,6.4297037E-6,2.8054874E-6,2.8054874E-6,1.0,0.0,7.827883E-5,3.4156317E-5,3.4156317E-5,1.0,0.0,7.825126E-4,3.4151482E-4,3.4151482E-4,1.0,0.0
