Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,9.913453E-6,1.0192255E-5,8.871282E-4,87.03944,8.7694486E-4,4.2485535E-5,4.3680422E-5,0.0012176037,27.875273,0.0011739746,5.1713863E-4,5.316897E-4,0.0019453649,3.658835,0.0014144272,0.0051593683,0.005305204,0.0068528196,1.2917166,0.0015558698
6.1,9.913453E-6,1.0192255E-5,8.871282E-4,87.03944,8.7694486E-4,4.2485535E-5,4.3680422E-5,0.0012176037,27.875273,0.0011739746,5.1713863E-4,5.316897E-4,0.0019453649,3.658835,0.0014144272,0.0051593683,0.005305204,0.0068528196,1.2917166,0.0015558698
6.2,4.5596407E-6,4.696313E-6,3.5830145E-4,76.2942,3.536068E-4,1.954117E-5,2.0126909E-5,4.8687847E-4,24.190426,4.6676098E-4,2.3788778E-4,2.4501883E-4,8.2479184E-4,3.3662388,5.799151E-4,0.0023763329,0.0024476128,0.0030684376,1.253645,6.223479E-4
6.3,4.5596407E-6,4.696313E-6,3.5830145E-4,76.2942,3.536068E-4,1.954117E-5,2.0126909E-5,4.8687847E-4,24.190426,4.6676098E-4,2.3788778E-4,2.4501883E-4,8.2479184E-4,3.3662388,5.799151E-4,0.0023763329,0.0024476128,0.0030684376,1.253645,6.223479E-4
6.4,3.4025713E-6,3.5098972E-6,2.7225012E-4,77.56641,2.6874116E-4,1.4582367E-5,1.5042335E-5,3.8278787E-4,25.44737,3.6775105E-4,1.7752586E-4,1.8312587E-4,6.4980134E-4,3.5483863,4.6676098E-4,0.001773841,0.0018298327,0.0023380946,1.2777642,5.0919375E-4
6.5,2.8352947E-6,2.927856E-6,2.4337976E-4,83.12559,2.4045262E-4,1.2151207E-5,1.2547898E-5,3.2371798E-4,25.79858,3.1117396E-4,1.479309E-4,1.5276071E-4,5.6288193E-4,3.6847298,4.101839E-4,0.0014783246,0.0015266308,0.0019644338,1.2867773,4.3847243E-4
6.6,2.251518E-6,2.3290677E-6,1.8620417E-4,79.947945,1.8387553E-4,9.649328E-6,9.981683E-6,2.504319E-4,25.089144,2.4045262E-4,1.1747423E-4,1.2152085E-4,4.609421E-4,3.7931113,3.394625E-4,0.0011741214,0.0012146058,0.001567783,1.2907753,3.536068E-4
6.7,1.8911853E-6,1.9591396E-6,1.7169006E-4,87.63544,1.6973125E-4,8.105055E-6,8.39629E-6,2.2055858E-4,26.268578,2.1216407E-4,9.867457E-5,1.0222061E-4,3.9921995E-4,3.9054742,2.970297E-4,9.863076E-4,0.0010217935,0.0013326495,1.3042259,3.1117396E-4
6.8,1.4874814E-6,1.5438305E-6,1.4298633E-4,92.6179,1.4144271E-4,6.374905E-6,6.6164025E-6,1.7634654E-4,26.652933,1.6973125E-4,7.76117E-5,8.055224E-5,3.0684235E-4,3.8092341,2.2630834E-4,7.75846E-4,8.0528157E-4,0.0010455406,1.298354,2.4045262E-4
6.9,6.835972E-7,7.1399285E-7,7.14353E-5,100.050446,7.0721355E-5,2.9296991E-6,3.0599674E-6,8.7925335E-5,28.734076,8.486563E-5,3.56685E-5,3.7254784E-5,1.3626099E-4,3.6575434,9.90099E-5,3.5662777E-4,3.7251666E-4,4.8562867E-4,1.3036429,1.1315417E-4
