Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,5219.347,3460.0,14866.0,4369.0,3951.0,1.0,0.30621397,2268.8728
2.6,4145.773,2744.0,11855.0,3472.0,3232.0,1.0,0.30621397,1802.3617
2.7,3292.9417,2172.0,9396.0,2757.0,2546.0,1.0,0.30621397,1431.5244
2.8,2615.8108,1723.0,7457.0,2190.0,1974.0,1.0,0.30621397,1137.2263
2.9,2077.8843,1364.0,5929.0,1741.0,1698.0,1.0,0.30621397,903.3498
3.0,1650.5096,1078.0,4701.0,1383.0,1249.0,1.0,0.30621397,717.6864
3.1,1311.0602,852.0,3738.0,1099.0,1003.0,1.0,0.30621397,570.1029
3.2,1041.409,674.0,2964.0,873.0,806.0,1.0,0.30621397,452.9315
3.3,827.19214,532.0,2359.0,695.0,638.0,1.0,0.30621397,359.72546
3.4,657.0369,419.0,1864.0,552.0,504.0,1.0,0.30621397,285.74606
3.5,521.79443,329.0,1480.0,439.0,417.0,1.0,0.30621397,226.97818
3.6,414.51196,259.0,1175.0,349.0,317.0,1.0,0.30621397,180.31662
3.7,329.0992,202.0,934.0,278.0,252.0,1.0,0.30621397,143.11864
3.8,261.3437,159.0,744.0,221.0,204.0,1.0,0.30621397,113.64758
3.9,207.49324,124.0,591.0,176.0,154.0,1.0,0.30621397,90.24892
4.0,164.77687,96.0,470.0,140.0,130.0,1.0,0.30621397,71.681694
4.1,130.77158,74.0,372.0,111.0,99.0,1.0,0.30621397,56.893097
4.2,103.7749,57.0,294.0,88.0,77.0,1.0,0.30621397,45.13461
4.3,82.34501,44.0,233.0,70.0,62.0,1.0,0.30621397,35.807095
4.4,65.30233,33.0,186.0,56.0,47.0,1.0,0.30621397,28.38517
4.5,51.776066,25.0,147.0,44.0,40.0,1.0,0.30621397,22.499119
4.6,41.035633,19.0,116.0,35.0,31.0,1.0,0.30621397,17.824911
4.7,32.4785,14.0,92.0,28.0,24.0,1.0,0.30621397,14.106222
4.8,25.698631,10.0,73.0,22.0,20.0,1.0,0.30621397,11.152746
4.9,20.311739,7.0,58.0,17.0,16.0,1.0,0.30621397,8.815743
5.0,16.044403,5.0,46.0,14.0,11.0,1.0,0.30621397,6.971573
5.1,12.648502,3.0,37.0,11.0,9.0,0.9995596,0.30621397,5.4918323
5.2,9.959401,2.0,29.0,8.0,7.0,0.9977979,0.30621397,4.3295164
5.3,7.805173,1.0,24.0,7.0,5.0,0.9935939,0.30621397,3.3900945
5.4,6.100897,1.0,19.0,5.0,4.0,0.9842649,0.30621397,2.6492233
5.5,4.7552853,0.0,15.0,4.0,3.0,0.96160316,0.30621397,2.0676649
5.6,3.6834962,0.0,12.0,3.0,2.0,0.92196506,0.30621397,1.6028187
5.7,2.8247118,0.0,10.0,2.0,1.0,0.86747277,0.30621397,1.2314622
5.8,2.150905,0.0,8.0,2.0,1.0,0.7944026,0.30621397,0.93814063
5.9,1.6155509,0.0,6.0,1.0,1.0,0.7080397,0.30609384,0.7069987
6.0,1.2386692,0.0,5.0,1.0,0.0,0.61579114,0.30601376,0.53891736
6.1,0.89005446,0.0,4.0,1.0,0.0,0.5075673,0.26269218,0.39469892
6.2,0.582319,0.0,3.0,0.0,0.0,0.38024503,0.20783952,0.26069027
6.3,0.4348975,0.0,3.0,0.0,0.0,0.30601376,0.1780109,0.19855061
6.4,0.3337204,0.0,2.0,0.0,0.0,0.24287316,0.15506886,0.15006407
6.5,0.25644618,0.0,2.0,0.0,0.0,0.19430654,0.13480942,0.115871236
6.6,0.20840007,0.0,2.0,0.0,0.0,0.1684417,0.12491992,0.099335365
6.7,0.16696028,0.0,1.0,0.0,0.0,0.13857304,0.10842409,0.08015695
6.8,0.13320787,0.0,1.0,0.0,0.0,0.11515054,0.094610825,0.0654228
6.9,0.10057655,0.0,1.0,0.0,0.0,0.09120756,0.07735426,0.05096893
7.0,0.078074954,0.0,1.0,0.0,0.0,0.07303011,0.06430173,0.040318705
7.1,0.06558296,0.0,1.0,0.0,0.0,0.062419925,0.057054773,0.03387252
7.2,0.0502082,0.0,1.0,0.0,0.0,0.04844651,0.04584401,0.025544522
7.3,0.034753364,0.0,1.0,0.0,0.0,0.033712365,0.03227098,0.017777067
7.4,0.030349135,0.0,1.0,0.0,0.0,0.029348174,0.028907752,0.015454836
7.5,0.023462525,0.0,0.0,0.0,0.0,0.022861948,0.022701794,0.011370916
7.6,0.012051569,0.0,0.0,0.0,0.0,0.011731262,0.011651185,0.005845612
7.7,0.0040438822,0.0,0.0,0.0,0.0,0.0038837283,0.00384369,0.0020419604
7.8,0.0024023063,0.0,0.0,0.0,0.0,0.0023622678,0.0023222293,0.0013212684
7.9,0.0013212684,0.0,0.0,0.0,0.0,0.0013212684,0.0013212684,7.607303E-4
8.0,4.404228E-4,0.0,0.0,0.0,0.0,4.404228E-4,4.404228E-4,2.8026907E-4
8.1,4.0038438E-5,0.0,0.0,0.0,0.0,4.0038438E-5,4.0038438E-5,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
