Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,3338.017,2440.0,7748.0,2919.0,2716.0,1.0,0.21741663,1800.4822
2.6,2651.626,1932.0,6164.0,2320.0,2134.0,1.0,0.21741663,1430.266
2.7,2106.1365,1534.0,4887.0,1842.0,1771.0,1.0,0.21741663,1135.9591
2.8,1673.0308,1213.0,3883.0,1465.0,1315.0,1.0,0.21741663,902.4699
2.9,1328.8982,959.0,3073.0,1164.0,1091.0,1.0,0.21741663,716.84467
3.0,1055.6061,758.0,2453.0,926.0,879.0,1.0,0.21741663,569.49365
3.1,838.4407,597.0,1942.0,736.0,703.0,1.0,0.21741663,452.34363
3.2,666.1012,472.0,1557.0,585.0,570.0,1.0,0.21741663,359.4149
3.3,529.0932,371.0,1237.0,465.0,460.0,1.0,0.21741663,285.47147
3.4,420.30377,291.0,987.0,370.0,354.0,1.0,0.21741663,226.7884
3.5,333.78952,228.0,788.0,294.0,272.0,1.0,0.21741663,180.14801
3.6,265.1506,179.0,624.0,234.0,222.0,1.0,0.21741663,143.12488
3.7,210.53436,140.0,495.0,186.0,176.0,1.0,0.21741663,113.66654
3.8,167.18073,109.0,394.0,148.0,140.0,1.0,0.21741663,90.23928
3.9,132.7669,84.0,311.0,118.0,113.0,1.0,0.21741663,71.653625
4.0,105.43632,65.0,248.0,93.0,87.0,1.0,0.21741663,56.92779
4.1,83.6856,50.0,199.0,74.0,70.0,1.0,0.21741663,45.18015
4.2,66.37581,38.0,158.0,59.0,56.0,1.0,0.21741663,35.824883
4.3,52.662838,29.0,126.0,47.0,45.0,1.0,0.21741663,28.425093
4.4,41.77856,22.0,100.0,37.0,35.0,1.0,0.21741663,22.55315
4.5,33.11297,16.0,80.0,30.0,28.0,1.0,0.21741663,17.880625
4.6,26.26125,12.0,64.0,23.0,21.0,1.0,0.21741663,14.180202
4.7,20.779778,9.0,51.0,19.0,16.0,1.0,0.21741663,11.22991
4.8,16.42541,6.0,41.0,15.0,13.0,1.0,0.21741663,8.867602
4.9,12.982319,4.0,33.0,12.0,9.0,0.9999471,0.21741663,7.004394
5.0,10.256749,3.0,27.0,9.0,8.0,0.9994706,0.21741663,5.536686
5.1,8.078136,2.0,21.0,7.0,6.0,0.9976178,0.21741663,4.352991
5.2,6.358973,1.0,17.0,6.0,5.0,0.99063,0.21741663,3.4319217
5.3,4.975807,1.0,14.0,4.0,3.0,0.9761779,0.21741663,2.6842773
5.4,3.8875597,0.0,11.0,3.0,3.0,0.948703,0.21741663,2.1003706
5.5,3.0315511,0.0,9.0,3.0,2.0,0.9021705,0.21741663,1.6381683
5.6,2.3491266,0.0,8.0,2.0,1.0,0.83832717,0.21741663,1.2731605
5.7,1.8071996,0.0,6.0,1.0,1.0,0.7631551,0.21741663,0.981207
5.8,1.376972,0.0,5.0,1.0,0.0,0.6742192,0.21741663,0.747856
5.9,1.0284806,0.0,4.0,1.0,0.0,0.57697195,0.21736369,0.55902594
6.0,0.78464794,0.0,4.0,0.0,0.0,0.48173636,0.21725781,0.42472208
6.1,0.56580204,0.0,3.0,0.0,0.0,0.38364214,0.18681842,0.31164637
6.2,0.36818424,0.0,2.0,0.0,0.0,0.27517205,0.14568555,0.2023822
6.3,0.27781895,0.0,2.0,0.0,0.0,0.2194812,0.124245636,0.15669666
6.4,0.2134992,0.0,2.0,0.0,0.0,0.17241926,0.108152464,0.11942827
6.5,0.16389625,0.0,1.0,0.0,0.0,0.13578613,0.09375331,0.09168872
6.6,0.13578613,0.0,1.0,0.0,0.0,0.118104815,0.08819481,0.07919534
6.7,0.1100053,0.0,1.0,0.0,0.0,0.09724722,0.07697194,0.064690314
6.8,0.08962414,0.0,1.0,0.0,0.0,0.081577554,0.06749603,0.05330863
6.9,0.06913711,0.0,1.0,0.0,0.0,0.06490207,0.05516146,0.042032823
7.0,0.05378507,0.0,1.0,0.0,0.0,0.051244043,0.04542086,0.03340392
7.1,0.044891477,0.0,1.0,0.0,0.0,0.043303337,0.04017999,0.02784542
7.2,0.03388036,0.0,1.0,0.0,0.0,0.032980412,0.031286396,0.020963473
7.3,0.022975119,0.0,0.0,0.0,0.0,0.022498677,0.021757543,0.014505029
7.4,0.02022234,0.0,0.0,0.0,0.0,0.019745898,0.019481206,0.012440445
7.5,0.01503441,0.0,0.0,0.0,0.0,0.014716782,0.014716782,0.008999471
7.6,0.007887771,0.0,0.0,0.0,0.0,0.0077818953,0.0077818953,0.0047644256
7.7,0.002593965,0.0,0.0,0.0,0.0,0.002488089,0.002488089,0.0017998941
7.8,0.0015881419,0.0,0.0,0.0,0.0,0.0015352038,0.0015352038,0.0012705135
7.9,8.47009E-4,0.0,0.0,0.0,0.0,8.47009E-4,8.47009E-4,6.881948E-4
8.0,2.1175225E-4,0.0,0.0,0.0,0.0,2.1175225E-4,2.1175225E-4,2.1175225E-4
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
