Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,2193.0,4215.144,3767.0,3476.0,2691.0,23197.0,3060.0,3321.0,4868.0,8640.0
2.6,1817.0,3348.2192,2993.0,2771.0,2127.0,18471.0,2425.0,2637.0,3871.0,6873.0
2.7,1524.0,2659.5144,2378.0,2138.0,1661.0,14691.0,1921.0,2093.0,3075.0,5457.0
2.8,1224.0,2112.553,1890.0,1764.0,1325.0,11644.0,1522.0,1660.0,2443.0,4341.0
2.9,1022.0,1677.9874,1502.0,1364.0,1040.0,9251.0,1204.0,1318.0,1942.0,3447.0
3.0,870.0,1332.8185,1194.0,1134.0,799.0,7353.0,952.0,1045.0,1544.0,2735.0
3.1,712.0,1058.5851,948.0,874.0,628.0,5881.0,752.0,829.0,1228.0,2174.0
3.2,624.0,840.8778,754.0,699.0,493.0,4632.0,594.0,657.0,976.0,1730.0
3.3,528.0,667.83405,599.0,547.0,383.0,3691.0,468.0,520.0,777.0,1374.0
3.4,435.0,530.4166,476.0,437.0,288.0,2926.0,368.0,412.0,618.0,1093.0
3.5,330.0,421.23386,379.0,360.0,213.0,2307.0,289.0,326.0,493.0,870.0
3.6,236.0,334.57095,301.0,277.0,156.0,1831.0,227.0,257.0,393.0,691.0
3.7,170.0,265.65384,239.0,218.0,125.0,1453.0,177.0,203.0,313.0,550.0
3.8,141.0,210.91718,190.0,172.0,92.0,1159.0,139.0,160.0,250.0,438.0
3.9,110.0,167.4459,151.0,140.0,73.0,921.0,108.0,126.0,199.0,349.0
4.0,83.0,132.92146,120.0,111.0,50.0,740.0,84.0,99.0,159.0,277.0
4.1,63.0,105.49556,96.0,89.0,36.0,584.0,64.0,78.0,128.0,222.0
4.2,50.0,83.70234,76.0,70.0,26.0,470.0,50.0,61.0,102.0,176.0
4.3,44.0,66.40984,60.0,54.0,20.0,389.0,38.0,48.0,82.0,141.0
4.4,35.0,52.67256,48.0,44.0,15.0,314.0,29.0,37.0,66.0,112.0
4.5,29.0,41.7691,38.0,35.0,9.0,247.0,22.0,29.0,53.0,90.0
4.6,19.0,33.10234,30.0,28.0,6.0,194.0,16.0,22.0,43.0,71.0
4.7,13.0,26.22008,24.0,21.0,3.0,150.0,12.0,17.0,34.0,57.0
4.8,10.0,20.75329,19.0,17.0,2.0,115.0,9.0,13.0,28.0,46.0
4.9,5.0,16.40045,15.0,14.0,0.0,100.0,6.0,10.0,22.0,37.0
5.0,3.0,12.94605,12.0,10.0,0.0,85.0,4.0,7.0,18.0,30.0
5.1,2.0,10.20463,9.0,8.0,0.0,70.0,3.0,5.0,15.0,24.0
5.2,2.0,8.02269,7.0,6.0,0.0,56.0,2.0,4.0,12.0,19.0
5.3,2.0,6.28592,6.0,5.0,0.0,47.0,1.0,3.0,10.0,16.0
5.4,2.0,4.90828,4.0,3.0,0.0,37.0,0.0,2.0,8.0,13.0
5.5,1.0,3.81883,3.0,2.0,0.0,27.0,0.0,1.0,6.0,11.0
5.6,0.0,2.9499,2.0,2.0,0.0,21.0,0.0,1.0,5.0,9.0
