Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.0684236E-5,2.5617775E-5,0.0034516542,134.73668,0.003426124,8.864371E-5,1.0978594E-4,0.004391971,40.004856,0.004282655,0.0010787029,0.0013358411,0.0064681624,4.8420143,0.0051391865,0.010734817,0.013281397,0.019197483,1.4454415,0.0059957174
6.1,2.0684236E-5,2.5617775E-5,0.0034516542,134.73668,0.003426124,8.864371E-5,1.0978594E-4,0.004391971,40.004856,0.004282655,0.0010787029,0.0013358411,0.0064681624,4.8420143,0.0051391865,0.010734817,0.013281397,0.019197483,1.4454415,0.0059957174
6.2,2.0684236E-5,2.5617775E-5,0.0034516542,134.73668,0.003426124,8.864371E-5,1.0978594E-4,0.004391971,40.004856,0.004282655,0.0010787029,0.0013358411,0.0064681624,4.8420143,0.0051391865,0.010734817,0.013281397,0.019197483,1.4454415,0.0059957174
6.3,2.0240292E-5,2.511786E-5,0.0025946465,103.29887,0.0025695933,8.6741224E-5,1.07643624E-4,0.003533399,32.82497,0.003426124,0.0010555626,0.00130979,0.005586836,4.265444,0.004282655,0.010505628,0.013023956,0.01809621,1.3894557,0.0051391865
6.4,2.0240292E-5,2.511786E-5,0.0025946465,103.29887,0.0025695933,8.6741224E-5,1.07643624E-4,0.003533399,32.82497,0.003426124,0.0010555626,0.00130979,0.005586836,4.265444,0.004282655,0.010505628,0.013023956,0.01809621,1.3894557,0.0051391865
6.5,1.9962767E-5,2.4807114E-5,0.0025943364,104.580345,0.0025695933,8.55519E-5,1.0631196E-4,0.0035320718,33.223656,0.003426124,0.0010410968,0.0012935963,0.0055707116,4.3063755,0.004282655,0.010362327,0.012863902,0.017936978,1.3943653,0.0051391865
6.6,1.8937297E-5,2.3310964E-5,0.0025928442,111.22852,0.0025695933,8.115732E-5,9.990039E-5,0.0035256823,35.291977,0.003426124,9.876423E-4,0.0012156231,0.0054930723,4.5187297,0.004282655,0.009832645,0.012092789,0.01674674,1.3848536,0.0047109206
6.7,1.8621096E-5,2.2911607E-5,0.0025924458,113.149895,0.0025695933,7.980225E-5,9.818898E-5,0.0035239768,35.889736,0.003426124,9.711593E-4,0.0011948098,0.005472348,4.5800996,0.004282655,0.009669261,0.011886904,0.016118651,1.3560008,0.004282655
6.8,1.7830353E-5,2.1805688E-5,0.002591343,118.83793,0.0025695933,7.641356E-5,9.344968E-5,0.0035192538,37.659344,0.003426124,9.29938E-4,0.00113717,0.0049871765,4.3856034,0.0038543898,0.009260561,0.011316354,0.015127126,1.3367491,0.0038543898
6.9,1.3135183E-5,1.5303925E-5,0.0013000808,84.95081,0.0012847966,5.6292425E-5,6.558664E-5,0.0022067737,33.646698,0.0021413276,6.8514474E-4,7.982312E-4,0.0033657732,4.2165394,0.0025695933,0.006830362,0.007954649,0.0105038015,1.3204608,0.0025695933
