Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,4.482615E-5,2.1154196E-5,6.115335E-5,2.890838,4.0E-5,1.9209793E-4,9.065773E-5,1.3065411E-4,1.4411799,4.0E-5,0.0023362834,0.0011032083,0.0011431641,1.0362179,4.0E-5,0.02311874,0.011503847,0.011543387,1.003437,4.0E-5
6.1,4.482615E-5,2.1154196E-5,6.115335E-5,2.890838,4.0E-5,1.9209793E-4,9.065773E-5,1.3065411E-4,1.4411799,4.0E-5,0.0023362834,0.0011032083,0.0011431641,1.0362179,4.0E-5,0.02311874,0.011503847,0.011543387,1.003437,4.0E-5
6.2,4.482615E-5,2.1154196E-5,6.115335E-5,2.890838,4.0E-5,1.9209793E-4,9.065773E-5,1.3065411E-4,1.4411799,4.0E-5,0.0023362834,0.0011032083,0.0011431641,1.0362179,4.0E-5,0.02311874,0.011503847,0.011543387,1.003437,4.0E-5
6.3,4.482615E-5,2.1154196E-5,6.115335E-5,2.890838,4.0E-5,1.9209793E-4,9.065773E-5,1.3065411E-4,1.4411799,4.0E-5,0.0023362834,0.0011032083,0.0011431641,1.0362179,4.0E-5,0.02311874,0.011503847,0.011543387,1.003437,4.0E-5
6.4,4.482615E-5,2.1154196E-5,6.115335E-5,2.890838,4.0E-5,1.9209793E-4,9.065773E-5,1.3065411E-4,1.4411799,4.0E-5,0.0023362834,0.0011032083,0.0011431641,1.0362179,4.0E-5,0.02311874,0.011503847,0.011543387,1.003437,4.0E-5
6.5,3.7294863E-5,1.7356087E-5,5.735539E-5,3.304627,4.0E-5,1.5982533E-4,7.438113E-5,1.1437816E-4,1.5377308,4.0E-5,0.0019441366,9.052186E-4,9.4518234E-4,1.0441482,4.0E-5,0.01927216,0.0094941035,0.009533724,1.0041732,4.0E-5
6.6,3.7294863E-5,1.7356087E-5,5.735539E-5,3.304627,4.0E-5,1.5982533E-4,7.438113E-5,1.1437816E-4,1.5377308,4.0E-5,0.0019441366,9.052186E-4,9.4518234E-4,1.0441482,4.0E-5,0.01927216,0.0094941035,0.009533724,1.0041732,4.0E-5
6.7,3.6039248E-5,1.6604314E-5,5.6603647E-5,3.4089727,4.0E-5,1.5444479E-4,7.1159426E-5,1.1115658E-4,1.5620781,4.0E-5,0.0018787434,8.6602574E-4,9.059911E-4,1.0461481,4.0E-5,0.01862939,0.009096047,0.009135683,1.0043575,4.0E-5
6.8,3.5031844E-5,1.6232942E-5,5.6232293E-5,3.464085,4.0E-5,1.5012783E-4,6.956792E-5,1.0956513E-4,1.5749377,4.0E-5,0.0018262739,8.4666436E-4,8.866305E-4,1.0472043,4.0E-5,0.01811338,0.008895969,0.008935614,1.0044564,4.0E-5
6.9,3.435112E-5,1.6063195E-5,5.6062552E-5,3.4901247,4.0E-5,1.4721078E-4,6.884047E-5,1.0883772E-4,1.5810136,4.0E-5,0.0017908178,8.3781447E-4,8.7778096E-4,1.0477033,4.0E-5,0.017764548,0.008804181,0.008843828,1.0045033,4.0E-5
