Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,2.7374346E-5,2.4145214E-5,1.04143284E-4,4.313206,8.0E-5,1.1731335E-4,1.034754E-4,2.1346402E-4,2.0629447,1.1E-4,0.0014273542,0.0012590875,0.0013889237,1.1031194,1.3E-4,0.01418221,0.012928318,0.013076379,1.0114524,1.5E-4
6.1,2.7374346E-5,2.4145214E-5,1.04143284E-4,4.313206,8.0E-5,1.1731335E-4,1.034754E-4,2.1346402E-4,2.0629447,1.1E-4,0.0014273542,0.0012590875,0.0013889237,1.1031194,1.3E-4,0.01418221,0.012928318,0.013076379,1.0114524,1.5E-4
6.2,2.7374346E-5,2.4145214E-5,1.04143284E-4,4.313206,8.0E-5,1.1731335E-4,1.034754E-4,2.1346402E-4,2.0629447,1.1E-4,0.0014273542,0.0012590875,0.0013889237,1.1031194,1.3E-4,0.01418221,0.012928318,0.013076379,1.0114524,1.5E-4
6.3,2.7374346E-5,2.4145214E-5,1.04143284E-4,4.313206,8.0E-5,1.1731335E-4,1.034754E-4,2.1346402E-4,2.0629447,1.1E-4,0.0014273542,0.0012590875,0.0013889237,1.1031194,1.3E-4,0.01418221,0.012928318,0.013076379,1.0114524,1.5E-4
6.4,2.7374346E-5,2.4145214E-5,1.04143284E-4,4.313206,8.0E-5,1.1731335E-4,1.034754E-4,2.1346402E-4,2.0629447,1.1E-4,0.0014273542,0.0012590875,0.0013889237,1.1031194,1.3E-4,0.01418221,0.012928318,0.013076379,1.0114524,1.5E-4
6.5,2.7282445E-5,2.4031293E-5,1.0402937E-4,4.3289127,8.0E-5,1.16919524E-4,1.029872E-4,2.1297588E-4,2.0679839,1.1E-4,0.0014225657,0.0012531505,0.0013829877,1.1036085,1.3E-4,0.014134934,0.012869646,0.013017715,1.0115054,1.5E-4
6.6,2.7282445E-5,2.4031293E-5,1.0402937E-4,4.3289127,8.0E-5,1.16919524E-4,1.029872E-4,2.1297588E-4,2.0679839,1.1E-4,0.0014225657,0.0012531505,0.0013829877,1.1036085,1.3E-4,0.014134934,0.012869646,0.013017715,1.0115054,1.5E-4
6.7,2.7216198E-5,2.3956412E-5,1.03954495E-4,4.3393183,8.0E-5,1.1663563E-4,1.02666316E-4,2.1265502E-4,2.0713222,1.1E-4,0.0014191137,0.0012492483,0.0013790859,1.1039326,1.3E-4,0.014100855,0.0128310565,0.012979132,1.0115404,1.5E-4
6.8,2.7078617E-5,2.387363E-5,1.03871724E-4,4.350898,8.0E-5,1.1604605E-4,1.0231156E-4,2.123003E-4,2.0750372,1.1E-4,0.001411945,0.0012449342,0.0013747723,1.1042932,1.3E-4,0.014030075,0.012788199,0.012936281,1.0115795,1.5E-4
6.9,2.6982952E-5,2.3793142E-5,1.0379124E-4,4.3622336,8.0E-5,1.15636096E-4,1.0196664E-4,2.1195543E-4,2.0786743,1.1E-4,0.0014069602,0.0012407395,0.0013705782,1.1046462,1.3E-4,0.013980856,0.012746515,0.0128946025,1.0116179,1.5E-4
