Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 yr Probability,1 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,6437.076,3247.0,24557.0,4306.0,3651.0,1.0,0.0,2160.7864
2.6,5113.1206,2573.0,19486.0,3426.0,2875.0,1.0,0.0,1716.5405
2.7,4061.416,2043.0,15461.0,2717.0,2559.0,1.0,0.0,1363.2822
2.8,3226.1077,1618.0,12278.0,2156.0,1806.0,1.0,0.0,1083.004
2.9,2562.4614,1286.0,9777.0,1716.0,1660.0,1.0,0.0,860.0335
3.0,2035.8704,1022.0,7813.0,1362.0,1110.0,1.0,0.0,683.2307
3.1,1616.9194,807.0,6205.0,1082.0,1043.0,1.0,0.0,542.93494
3.2,1284.6797,635.0,4931.0,861.0,735.0,1.0,0.0,431.13663
3.3,1020.8514,500.0,3884.0,682.0,657.0,1.0,0.0,342.42242
3.4,810.8058,394.0,3045.0,543.0,500.0,1.0,0.0,272.018
3.5,644.1021,309.0,2413.0,433.0,407.0,1.0,0.0,216.09259
3.6,511.44043,242.0,1945.0,345.0,314.0,1.0,0.0,171.71622
3.7,406.17618,188.0,1534.0,273.0,243.0,1.0,0.0,136.3003
3.8,322.53104,148.0,1221.0,219.0,195.0,1.0,0.0,108.32132
3.9,256.22272,117.0,979.0,174.0,153.0,1.0,0.0,86.06006
4.0,203.82233,91.0,780.0,138.0,118.0,1.0,0.0,68.45195
4.1,161.81732,70.0,620.0,110.0,90.0,1.0,0.0,54.402905
4.2,128.72572,54.0,497.0,88.0,75.0,1.0,0.0,43.233734
4.3,101.975975,41.0,393.0,70.0,58.0,1.0,0.0,34.292294
4.4,80.966965,31.0,308.0,56.0,47.0,1.0,0.0,27.218218
4.5,64.445946,24.0,251.0,45.0,37.0,1.0,0.0,21.701702
4.6,51.15966,18.0,197.0,35.0,29.0,1.0,0.0,17.212713
4.7,40.64014,13.0,154.0,28.0,23.0,1.0,0.0,13.673173
4.8,32.308308,10.0,120.0,22.0,18.0,1.0,0.0,10.883384
4.9,25.765766,7.0,95.0,18.0,15.0,1.0,0.0,8.68969
5.0,20.436937,5.0,74.0,14.0,10.0,1.0,0.0,6.9064064
5.1,16.237738,3.0,60.0,11.0,9.0,1.0,0.0,5.4694695
5.2,12.859859,2.0,51.0,9.0,7.0,0.9984985,0.0,4.335836
5.3,10.219219,1.0,38.0,7.0,6.0,0.9954955,0.0,3.421922
5.4,8.132632,1.0,29.0,5.0,4.0,0.984985,0.0,2.7217216
5.5,6.4214215,0.0,24.0,4.0,3.0,0.9634635,0.0,2.1391392
5.6,5.06006,0.0,19.0,3.0,2.0,0.9304304,0.0,1.6806806
5.7,3.993994,0.0,16.0,3.0,2.0,0.8833834,0.0,1.3178178
5.8,3.17017,0.0,13.0,2.0,1.0,0.8258258,0.0,1.0405406
5.9,2.4994996,0.0,11.0,1.0,1.0,0.7557558,0.0,0.8258258
6.0,1.981982,0.0,9.0,1.0,0.0,0.6831832,0.0,0.6486486
6.1,1.581081,0.0,8.0,1.0,0.0,0.6116116,0.0,0.5275275
6.2,1.2647648,0.0,6.0,1.0,0.0,0.537037,0.0,0.42892894
6.3,0.9964965,0.0,6.0,0.0,0.0,0.45395395,0.0,0.34184185
6.4,0.7892893,0.0,5.0,0.0,0.0,0.3868869,0.0,0.27377376
6.5,0.6266266,0.0,4.0,0.0,0.0,0.32832834,0.0,0.21921922
6.6,0.503003,0.0,3.0,0.0,0.0,0.2827828,0.0,0.17817818
6.7,0.3828829,0.0,3.0,0.0,0.0,0.22722723,0.0,0.13363363
6.8,0.3053053,0.0,2.0,0.0,0.0,0.18468468,0.0,0.1056056
6.9,0.23273273,0.0,2.0,0.0,0.0,0.14514515,0.0,0.075075075
7.0,0.18668668,0.0,2.0,0.0,0.0,0.11911912,0.0,0.059059057
7.1,0.14364365,0.0,2.0,0.0,0.0,0.0945946,0.0,0.046046045
7.2,0.11261261,0.0,1.0,0.0,0.0,0.074574575,0.0,0.035035037
7.3,0.09009009,0.0,1.0,0.0,0.0,0.06256256,0.0,0.027027028
7.4,0.06956957,0.0,1.0,0.0,0.0,0.05155155,0.0,0.02002002
7.5,0.054554556,0.0,1.0,0.0,0.0,0.04004004,0.0,0.015015015
7.6,0.038038038,0.0,1.0,0.0,0.0,0.029529529,0.0,0.011011011
7.7,0.03203203,0.0,1.0,0.0,0.0,0.026026025,0.0,0.009009009
7.8,0.021021022,0.0,0.0,0.0,0.0,0.017517518,0.0,0.0065065064
7.9,0.014514514,0.0,0.0,0.0,0.0,0.013013013,0.0,0.0045045046
8.0,0.008508508,0.0,0.0,0.0,0.0,0.008008008,0.0,0.004004004
8.1,0.004004004,0.0,0.0,0.0,0.0,0.004004004,0.0,0.0025025024
8.2,0.002002002,0.0,0.0,0.0,0.0,0.002002002,0.0,5.005005E-4
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
