Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45676646,0.0,0.06732,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
0.9135329,0.0,0.08055,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
1.3702993,0.0,0.08854,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
1.8270658,0.0,0.09382,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
2.2838323,0.0,0.09773,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0
2.7405987,0.0,0.10131,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0
3.1973653,0.0,0.1041,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0
3.6541317,0.0,0.10677,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0
4.110898,0.0,0.10899,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
4.5676646,0.0,0.11081,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
5.024431,0.0,0.11261,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
5.4811974,0.0,0.11441,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
5.937964,0.0,0.11596,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
6.3947306,0.0,0.11753,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
6.8514967,0.0,0.11887,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
7.3082633,0.0,0.11998,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
7.76503,0.0,0.12113,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
8.221796,0.0,0.12217,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
8.678563,0.0,0.12304,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
9.135329,0.0,0.12387,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
9.592095,0.0,0.12475,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
10.048862,0.0,0.12561,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0
10.505629,0.0,0.12632,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
10.962395,0.0,0.12698,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
11.419162,0.0,0.1278,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
11.875928,0.0,0.12856,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
12.332694,0.0,0.12941,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
12.789461,0.0,0.13001,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
13.246227,0.0,0.13072,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
13.702993,0.0,0.13135,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
14.15976,0.0,0.13208,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
14.616527,0.0,0.13273,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
15.073293,0.0,0.13326,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
15.53006,0.0,0.13383,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
15.986826,0.0,0.13433,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
16.443592,0.0,0.13483,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
16.900358,0.0,0.13527,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
17.357126,0.0,0.13577,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
17.813892,0.0,0.13631,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
18.270658,0.0,0.13688,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
18.727425,0.0,0.13738,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
19.18419,0.0,0.13777,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
19.640957,0.0,0.13812,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
20.097725,0.0,0.13853,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
20.554491,0.0,0.13904,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
21.011257,0.0,0.13947,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
21.468023,0.0,0.13982,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
21.92479,0.0,0.14018,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
22.381556,0.0,0.14046,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
22.838324,0.0,0.1408,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
23.29509,0.0,0.1411,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
23.751856,0.0,0.14135,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
24.208622,0.0,0.14155,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
24.665388,0.0,0.14186,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
25.122154,0.0,0.1421,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
25.578922,0.0,0.14235,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
26.035688,0.0,0.14258,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
26.492455,0.0,0.14287,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
26.94922,0.0,0.14313,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
27.405987,0.0,0.14354,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
27.862753,0.0,0.14379,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
28.31952,0.0,0.14404,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
28.776287,0.0,0.14435,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
29.233053,0.0,0.14462,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
29.68982,0.0,0.14497,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
30.146585,0.0,0.1452,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
30.603354,0.0,0.14543,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
31.06012,0.0,0.14571,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
31.516886,0.0,0.146,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
31.973652,0.0,0.14624,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
32.43042,0.0,0.14647,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
32.887184,0.0,0.14671,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
33.343952,0.0,0.147,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
33.800716,0.0,0.14724,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
34.257484,0.0,0.14743,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
34.714252,0.0,0.14763,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
35.171017,0.0,0.14791,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
35.627785,0.0,0.14807,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
36.08455,0.0,0.14822,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
36.541317,0.0,0.14844,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
36.99808,0.0,0.1487,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
37.45485,0.0,0.14899,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
37.911617,0.0,0.14918,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
38.36838,0.0,0.14937,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
38.82515,0.0,0.1496,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
39.281914,0.0,0.14983,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
39.73868,0.0,0.15005,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
40.19545,0.0,0.15017,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
40.652214,0.0,0.15035,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
41.108982,0.0,0.15058,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
41.565746,0.0,0.15078,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
42.022514,0.0,0.15098,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
42.479282,0.0,0.15121,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
42.936047,0.0,0.15142,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
43.392815,0.0,0.15157,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
43.84958,0.0,0.15177,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
44.306347,0.0,0.152,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
44.76311,0.0,0.15211,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
45.21988,0.0,0.15233,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
45.676647,0.0,0.15243,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
46.13341,0.0,0.15258,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
46.59018,0.0,0.15268,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
47.046944,0.0,0.1528,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
47.50371,0.0,0.15303,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
47.96048,0.0,0.15327,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
48.417244,0.0,0.15344,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
48.874012,0.0,0.15366,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
49.330776,0.0,0.15383,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
49.787544,0.0,0.15395,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
50.24431,0.0,0.15405,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
50.701077,0.0,0.15428,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
51.157845,0.0,0.15451,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
51.61461,0.0,0.15478,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
52.071377,0.0,0.15493,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
52.52814,0.0,0.15512,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
52.98491,0.0,0.15526,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
53.441677,0.0,0.15539,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
53.89844,0.0,0.15556,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
54.35521,0.0,0.15567,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
54.811974,0.0,0.15591,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
55.26874,0.0,0.15609,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
55.725506,0.0,0.15629,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
56.182274,0.0,0.15641,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0
