Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,2046.0,5524.366,3863.0,3311.0,2618.0,141583.0,2983.0,3263.0,6066.0,21951.0
2.6,1716.0,4388.2397,3069.0,2775.0,2070.0,112389.0,2366.0,2591.0,4820.0,17416.0
2.7,1443.0,3485.8064,2439.0,2149.0,1617.0,89159.0,1874.0,2057.0,3831.0,13850.0
2.8,1169.0,2768.9485,1939.0,1687.0,1279.0,70657.0,1483.0,1633.0,3044.0,11007.0
2.9,983.0,2199.438,1540.0,1327.0,994.0,56207.0,1173.0,1296.0,2420.0,8735.0
3.0,847.0,1747.0741,1224.0,1077.0,768.0,44737.0,929.0,1028.0,1923.0,6931.0
3.1,708.0,1387.7627,973.0,831.0,596.0,35449.0,734.0,816.0,1528.0,5515.0
3.2,599.0,1102.3466,774.0,682.0,468.0,28113.0,579.0,647.0,1214.0,4377.0
3.3,492.0,875.6779,615.0,562.0,363.0,22428.0,457.0,513.0,965.0,3474.0
3.4,412.0,695.56226,489.0,429.0,288.0,17838.0,360.0,407.0,767.0,2762.0
3.5,314.0,552.55304,389.0,355.0,224.0,14154.0,283.0,322.0,611.0,2197.0
3.6,225.0,438.8867,310.0,275.0,170.0,11274.0,222.0,254.0,486.0,1747.0
3.7,163.0,348.64624,246.0,224.0,118.0,8963.0,174.0,201.0,387.0,1389.0
3.8,137.0,276.9519,196.0,176.0,86.0,7068.0,136.0,159.0,308.0,1104.0
3.9,109.0,219.99164,156.0,137.0,64.0,5542.0,106.0,125.0,245.0,877.0
4.0,83.0,174.75342,124.0,113.0,47.0,4410.0,82.0,99.0,196.0,698.0
4.1,62.0,138.78217,99.0,86.0,35.0,3534.0,63.0,77.0,156.0,555.0
4.2,50.0,110.21782,79.0,70.0,23.0,2819.0,49.0,61.0,125.0,441.0
4.3,44.0,87.55275,63.0,54.0,19.0,2249.0,37.0,48.0,100.0,350.0
4.4,35.0,69.52786,50.0,43.0,14.0,1801.0,28.0,37.0,80.0,279.0
4.5,29.0,55.22437,40.0,35.0,8.0,1429.0,21.0,29.0,64.0,222.0
4.6,19.0,43.8735,32.0,28.0,3.0,1137.0,16.0,22.0,51.0,177.0
4.7,13.0,34.84603,25.0,21.0,1.0,918.0,12.0,17.0,41.0,142.0
4.8,10.0,27.6701,20.0,16.0,1.0,736.0,9.0,13.0,33.0,113.0
4.9,5.0,21.9851,16.0,13.0,0.0,578.0,6.0,10.0,27.0,90.0
5.0,3.0,17.47151,13.0,10.0,0.0,482.0,4.0,8.0,22.0,72.0
5.1,2.0,13.8862,10.0,8.0,0.0,379.0,3.0,6.0,18.0,58.0
5.2,2.0,11.03075,8.0,6.0,0.0,310.0,2.0,4.0,15.0,46.0
5.3,2.0,8.76229,6.0,5.0,0.0,248.0,1.0,3.0,12.0,37.0
5.4,2.0,6.95399,5.0,4.0,0.0,200.0,1.0,2.0,10.0,30.0
5.5,1.0,5.51988,4.0,3.0,0.0,164.0,0.0,2.0,8.0,24.0
5.6,0.0,4.37867,3.0,2.0,0.0,129.0,0.0,1.0,7.0,20.0
5.7,0.0,3.47771,2.0,1.0,0.0,106.0,0.0,1.0,5.0,16.0
5.8,0.0,2.76419,2.0,1.0,0.0,86.0,0.0,0.0,4.0,13.0
5.9,0.0,2.19604,1.0,1.0,0.0,70.0,0.0,0.0,4.0,11.0
6.0,0.0,1.74243,1.0,0.0,0.0,54.0,0.0,0.0,3.0,9.0
6.1,0.0,1.38324,1.0,0.0,0.0,46.0,0.0,0.0,2.0,7.0
6.2,0.0,1.09571,0.0,0.0,0.0,41.0,0.0,0.0,2.0,6.0
6.3,0.0,0.86778,0.0,0.0,0.0,37.0,0.0,0.0,2.0,5.0
6.4,0.0,0.68725,0.0,0.0,0.0,28.0,0.0,0.0,1.0,4.0
6.5,0.0,0.54302,0.0,0.0,0.0,26.0,0.0,0.0,1.0,4.0
6.6,0.0,0.43035,0.0,0.0,0.0,21.0,0.0,0.0,1.0,3.0
6.7,0.0,0.34112,0.0,0.0,0.0,18.0,0.0,0.0,1.0,3.0
6.8,0.0,0.27001,0.0,0.0,0.0,17.0,0.0,0.0,1.0,2.0
6.9,0.0,0.21196,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0
7.0,0.0,0.16639,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0
7.1,0.0,0.13002,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0
7.2,0.0,0.10208,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
7.3,0.0,0.07942,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
7.4,0.0,0.0616,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0
7.5,0.0,0.04711,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
7.6,0.0,0.03609,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
7.7,0.0,0.0268,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
7.8,0.0,0.01924,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
7.9,0.0,0.01306,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
8.0,0.0,0.00846,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
8.1,0.0,0.00498,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
8.2,0.0,0.00226,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
