Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.872328E-5,4.7267473E-5,1.6272879E-4,3.4427226,1.1546678E-4,1.6594635E-4,2.0256084E-4,3.1800423E-4,1.5699196,1.1546678E-4,0.0020185246,0.002463534,0.0026075118,1.0584437,1.4433346E-4,0.02000288,0.024388181,0.024528995,1.0057738,1.4433346E-4
6.1,3.872328E-5,4.7267473E-5,1.6272879E-4,3.4427226,1.1546678E-4,1.6594635E-4,2.0256084E-4,3.1800423E-4,1.5699196,1.1546678E-4,0.0020185246,0.002463534,0.0026075118,1.0584437,1.4433346E-4,0.02000288,0.024388181,0.024528995,1.0057738,1.4433346E-4
6.2,3.872328E-5,4.7267473E-5,1.6272879E-4,3.4427226,1.1546678E-4,1.6594635E-4,2.0256084E-4,3.1800423E-4,1.5699196,1.1546678E-4,0.0020185246,0.002463534,0.0026075118,1.0584437,1.4433346E-4,0.02000288,0.024388181,0.024528995,1.0057738,1.4433346E-4
6.3,2.8356371E-5,3.3609853E-5,1.4907274E-4,4.4353886,1.1546678E-4,1.2152165E-4,1.4403471E-4,2.5948486E-4,1.8015438,1.1546678E-4,0.0014785219,0.0017522911,0.0018963716,1.0822241,1.4433346E-4,0.014687235,0.017391782,0.017533606,1.0081546,1.4433346E-4
6.4,2.8356371E-5,3.3609853E-5,1.4907274E-4,4.4353886,1.1546678E-4,1.2152165E-4,1.4403471E-4,2.5948486E-4,1.8015438,1.1546678E-4,0.0014785219,0.0017522911,0.0018963716,1.0822241,1.4433346E-4,0.014687235,0.017391782,0.017533606,1.0081546,1.4433346E-4
6.5,2.4448687E-5,2.8607552E-5,1.4407102E-4,5.0361185,1.1546678E-4,1.0477588E-4,1.2259831E-4,2.3805094E-4,1.9417145,1.1546678E-4,0.0012748998,0.0014916632,0.0016357813,1.0966158,1.4433346E-4,0.012676105,0.014821377,0.014963571,1.0095938,1.4433346E-4
6.6,2.1298161E-5,2.4660083E-5,1.4012402E-4,5.6822195,1.1546678E-4,9.127464E-5,1.0568198E-4,2.2113655E-4,2.0924716,1.1546678E-4,0.0011107022,0.0012859525,0.0014301004,1.1120943,1.4433346E-4,0.011051672,0.012788526,0.0129310135,1.0111418,1.4433346E-4
6.7,1.8959729E-5,2.1781025E-5,1.3724528E-4,6.30114,1.1546678E-4,8.125345E-5,9.334405E-5,2.0880005E-4,2.2368865,1.1546678E-4,9.888117E-4,0.001135897,0.0012800664,1.1269213,1.4433346E-4,0.009844234,0.01130357,0.011446272,1.0126245,1.4433346E-4
6.8,1.6691629E-5,1.9018353E-5,1.3448294E-4,7.071219,1.1546678E-4,7.153359E-5,8.150477E-5,1.9696214E-4,2.4165719,1.1546678E-4,8.7057345E-4,9.918857E-4,0.0011360759,1.1453699,1.4433346E-4,0.008671708,0.009876343,0.010019251,1.0144697,1.4433346E-4
6.9,1.450505E-5,1.638954E-5,1.3185442E-4,8.045035,1.1546678E-4,6.216302E-5,7.0239046E-5,1.856977E-4,2.6437962,1.1546678E-4,7.5657194E-4,8.5483363E-4,9.990437E-4,1.1686996,1.4433346E-4,0.007540013,0.008516385,0.00865949,1.0168034,1.4433346E-4
7.0,1.2940855E-5,1.4537972E-5,1.3000307E-4,8.942311,1.1546678E-4,5.545963E-5,6.230414E-5,1.7776372E-4,2.8531606,1.1546678E-4,6.750118E-4,7.5829466E-4,9.025187E-4,1.1901952,1.4433346E-4,0.006729651,0.0075576897,0.0077009327,1.0189532,1.4433346E-4
7.1,1.2544658E-5,1.4078208E-5,1.2954336E-4,9.201694,1.1546678E-4,5.3761712E-5,6.0333812E-5,1.7579363E-4,2.9136834,1.1546678E-4,6.5435225E-4,7.343222E-4,8.7854965E-4,1.196409,1.4433346E-4,0.006524288,0.007319551,0.007462828,1.0195745,1.4433346E-4
7.2,1.2489416E-5,1.4015674E-5,1.2948083E-4,9.238288,1.1546678E-4,5.3524967E-5,6.0065824E-5,1.7552567E-4,2.922222,1.1546678E-4,6.514716E-4,7.310616E-4,8.752896E-4,1.1972857,1.4433346E-4,0.006495651,0.0072871596,0.007430441,1.0196623,1.4433346E-4
7.3,1.2368307E-5,1.3879812E-5,1.2934499E-4,9.318929,1.1546678E-4,5.3005948E-5,5.9483587E-5,1.7494349E-4,2.9410381,1.1546678E-4,6.451563E-4,7.2397763E-4,8.682066E-4,1.1992174,1.4433346E-4,0.0064328653,0.007216782,0.0073600737,1.0198554,1.4433346E-4
7.4,1.2161707E-5,1.36478675E-5,1.2911306E-4,9.46031,1.1546678E-4,5.212056E-5,5.8489582E-5,1.7394961E-4,2.9740272,1.1546678E-4,6.3438306E-4,7.118836E-4,8.561143E-4,1.2026044,1.4433346E-4,0.006325751,0.0070966207,0.00723993,1.020194,1.4433346E-4
7.5,1.1707948E-5,1.3145515E-5,9.974446E-5,7.5877175,8.660008E-5,5.0175953E-5,5.6336736E-5,1.4293194E-4,2.5371,8.660008E-5,6.10721E-4,6.856895E-4,8.010771E-4,1.1682796,1.1546678E-4,0.0060904534,0.006836321,0.0069509987,1.0167748,1.1546678E-4
7.6,1.0319538E-5,1.1579622E-5,9.81787E-5,8.478576,8.660008E-5,4.4225842E-5,4.9626036E-5,1.3622182E-4,2.7449667,8.660008E-5,5.383166E-4,6.040347E-4,6.9058244E-4,1.1432828,8.660008E-5,0.0053701443,0.0060244603,0.0061105387,1.0142882,8.660008E-5
7.7,8.937764E-6,1.0022779E-5,9.662199E-5,9.64024,8.660008E-5,3.830414E-5,4.295409E-5,1.2955045E-4,3.0160213,8.660008E-5,4.6625308E-4,5.228456E-4,6.094004E-4,1.1655456,8.660008E-5,0.0046527605,0.005216664,0.0053028124,1.0165141,8.660008E-5
7.8,3.108007E-7,3.284654E-7,3.284654E-7,1.0,0.0,1.3320023E-6,1.407708E-6,1.407708E-6,1.0,0.0,1.6217007E-5,1.7138715E-5,1.7138715E-5,1.0,0.0,1.6215823E-4,1.7137431E-4,1.7137431E-4,1.0,0.0
7.9,2.5591178E-9,2.6696718E-9,2.6696718E-9,1.0,0.0,1.0967647E-8,1.14414505E-8,1.14414505E-8,1.0,0.0,1.335311E-7,1.3929966E-7,1.3929966E-7,1.0,0.0,1.3353102E-6,1.3929966E-6,1.3929966E-6,1.0,0.0
