Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,3.0679566E-5,3.1464646E-5,0.002015951,64.07036,0.0019845488,1.3147724E-4,1.3484273E-4,0.0026151943,19.394402,0.0024806862,0.0015995599,0.0016406906,0.0045418693,2.768267,0.0029059465,0.015880952,0.01630734,0.01930534,1.1838436,0.0030477
6.1,3.0679566E-5,3.1464646E-5,0.002015951,64.07036,0.0019845488,1.3147724E-4,1.3484273E-4,0.0026151943,19.394402,0.0024806862,0.0015995599,0.0016406906,0.0045418693,2.768267,0.0029059465,0.015880952,0.01630734,0.01930534,1.1838436,0.0030477
6.2,1.514536E-5,1.3635206E-5,5.8064144E-4,42.583984,5.67014E-4,6.490707E-5,5.843536E-5,8.38034E-4,14.341214,7.796442E-4,7.8995706E-4,7.1123015E-4,0.0017736251,2.493743,0.0010631512,0.007871548,0.0070907404,0.0082167275,1.1587968,0.001134028
6.3,1.514536E-5,1.3635206E-5,5.8064144E-4,42.583984,5.67014E-4,6.490707E-5,5.843536E-5,8.38034E-4,14.341214,7.796442E-4,7.8995706E-4,7.1123015E-4,0.0017736251,2.493743,0.0010631512,0.007871548,0.0070907404,0.0082167275,1.1587968,0.001134028
6.4,1.2532521E-5,1.06896905E-5,5.068216E-4,47.412186,4.961372E-4,5.37097E-5,4.581219E-5,7.545472E-4,16.470446,7.0876745E-4,6.537194E-4,5.576265E-4,0.0014076731,2.5244014,8.5052097E-4,0.0065179965,0.005562863,0.0064086523,1.1520422,8.5052097E-4
6.5,1.1094058E-5,9.083664E-6,3.6346418E-4,40.01295,3.5438372E-4,4.7545094E-5,3.892943E-5,4.6417335E-4,11.923456,4.2526048E-4,5.787078E-4,4.7386673E-4,9.6976885E-4,2.0465012,4.961372E-4,0.0057720304,0.0047289706,0.0052227615,1.1044183,4.961372E-4
6.6,9.688328E-6,7.5316952E-6,3.6191274E-4,48.051964,3.5438372E-4,4.1520743E-5,3.227831E-5,3.866506E-4,11.978651,3.5438372E-4,5.053978E-4,3.9292008E-4,8.1801345E-4,2.0818825,4.2526048E-4,0.0050424994,0.0039225104,0.004346103,1.1079901,4.2526048E-4
6.7,8.974824E-6,6.749413E-6,2.1937821E-4,32.503304,2.1263024E-4,3.8462964E-5,2.8925748E-5,2.4154983E-4,8.350686,2.1263024E-4,4.6818596E-4,3.5211627E-4,6.355234E-4,1.8048681,2.83507E-4,0.004672008,0.0035158044,0.0037983148,1.0803543,2.83507E-4
6.8,7.4780046E-6,5.1161933E-6,1.4686896E-4,28.706688,1.417535E-4,3.20482E-5,2.1926366E-5,1.6367676E-4,7.464837,1.417535E-4,3.9011694E-4,2.669222E-4,4.7949568E-4,1.7963874,2.1263024E-4,0.0038943281,0.0026661542,0.0028782175,1.0795391,2.1263024E-4
6.9,6.3409307E-6,3.9074966E-6,7.4783966E-5,19.138586,7.087675E-5,2.7175134E-5,1.6746313E-5,8.762187E-5,5.2323084,7.087675E-5,3.3080703E-4,2.0386827E-4,3.4559288E-4,1.6951773,1.417535E-4,0.0033031502,0.0020369107,0.0021783754,1.0694506,1.417535E-4
7.0,5.1239335E-6,2.6058565E-6,7.348242E-5,28.19895,7.087675E-5,2.195953E-5,1.116791E-5,8.2043865E-5,7.3463936,7.087675E-5,2.6732447E-4,1.3596108E-4,2.0682818E-4,1.5212308,7.087675E-5,0.0026700313,0.0013588042,0.0014295846,1.0520903,7.087675E-5
7.1,4.438899E-6,2.0984728E-6,7.297507E-5,34.775322,7.087675E-5,1.9023713E-5,8.993425E-6,7.986953E-5,8.88088,7.087675E-5,2.315891E-4,1.0948967E-4,1.8035865E-4,1.6472664,7.087675E-5,0.002313479,0.0010943791,0.0011651783,1.0646935,7.087675E-5
7.2,3.50367E-6,1.2615716E-6,1.2615716E-6,1.0,0.0,1.5015643E-5,5.4067245E-6,5.4067245E-6,1.0,0.0,1.8280011E-4,6.582497E-5,6.582497E-5,1.0,0.0,0.0018264982,6.580629E-4,6.580629E-4,1.0,0.0
7.3,2.561638E-6,7.1191585E-7,7.1191585E-7,1.0,0.0,1.0978401E-5,3.0510646E-6,3.0510646E-6,1.0,0.0,1.3365384E-4,3.71461E-5,3.71461E-5,1.0,0.0,0.0013357349,3.7140088E-4,3.7140088E-4,1.0,0.0
7.4,2.0368864E-6,5.304837E-7,5.304837E-7,1.0,0.0,8.729483E-6,2.2734996E-6,2.2734996E-6,1.0,0.0,1.06276275E-4,2.7679513E-5,2.7679513E-5,1.0,0.0,0.0010622547,2.767612E-4,2.767612E-4,1.0,0.0
7.5,1.1681728E-6,3.6030585E-7,3.6030585E-7,1.0,0.0,5.0064455E-6,1.544167E-6,1.544167E-6,1.0,0.0,6.0951766E-5,1.8800076E-5,1.8800076E-5,1.0,0.0,6.093505E-4,1.8798532E-4,1.8798532E-4,1.0,0.0
7.6,1.3154387E-7,7.1197384E-8,7.1197384E-8,1.0,0.0,5.6375933E-7,3.051316E-7,3.051316E-7,1.0,0.0,6.863748E-6,3.7149728E-6,3.7149728E-6,1.0,0.0,6.863536E-5,3.7149264E-5,3.7149264E-5,1.0,0.0
