Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,1.1925945E-4,3.2729402E-4,5.687754E-4,1.7378119,2.4156048E-4,5.110118E-4,0.0014019393,0.0016733139,1.1935709,2.7175553E-4,0.0062038354,0.016936364,0.017203517,1.0157739,2.7175553E-4,0.060334753,0.15265316,0.15288343,1.0015085,2.7175553E-4
6.1,1.1925945E-4,3.2729402E-4,5.687754E-4,1.7378119,2.4156048E-4,5.110118E-4,0.0014019393,0.0016733139,1.1935709,2.7175553E-4,0.0062038354,0.016936364,0.017203517,1.0157739,2.7175553E-4,0.060334753,0.15265316,0.15288343,1.0015085,2.7175553E-4
6.2,1.07432395E-4,3.0230157E-4,5.43789E-4,1.7988297,2.4156048E-4,4.603433E-4,0.0012949388,0.0015663424,1.209588,2.7175553E-4,0.005590286,0.015653009,0.01592051,1.0170895,2.7175553E-4,0.05451731,0.14182423,0.14205745,1.0016444,2.7175553E-4
6.3,1.0718766E-4,3.0175463E-4,5.432422E-4,1.8002781,2.4156048E-4,4.592948E-4,0.0012925972,0.0015640014,1.2099682,2.7175553E-4,0.005577586,0.015624908,0.015892416,1.0171207,2.7175553E-4,0.054396555,0.14159249,0.14182577,1.0016475,2.7175553E-4
6.4,1.0355944E-4,2.9383553E-4,5.3532503E-4,1.8218527,2.4156048E-4,4.4375064E-4,0.0012586913,0.0015301048,1.2156315,2.7175553E-4,0.0053892885,0.015217941,0.015485561,1.0175859,2.7175553E-4,0.052604496,0.13815255,0.13838677,1.0016953,2.7175553E-4
6.5,1.0227914E-4,2.9102986E-4,5.3252006E-4,1.829778,2.4156048E-4,4.382655E-4,0.0012466786,0.0015180954,1.2177119,2.7175553E-4,0.0053228354,0.01507372,0.01534138,1.0177567,2.7175553E-4,0.051971316,0.13693172,0.13716626,1.0017128,2.7175553E-4
6.6,1.0116757E-4,2.8868738E-4,5.3017813E-4,1.836513,2.4156048E-4,4.3350324E-4,0.0012366489,0.0015080684,1.2194798,2.7175553E-4,0.0052651367,0.01495329,0.015220982,1.0179019,2.7175553E-4,0.051421247,0.1359099,0.13614471,1.0017278,2.7175553E-4
6.7,1.0050676E-4,2.8727303E-4,5.287641E-4,1.8406327,2.4156048E-4,4.3067214E-4,0.0012305931,0.0015020142,1.2205613,2.7175553E-4,0.005230834,0.014880571,0.015148282,1.0179907,2.7175553E-4,0.051094085,0.13529462,0.13552961,1.0017369,2.7175553E-4
6.8,9.976819E-5,2.853096E-4,5.2680116E-4,1.8464193,2.4156048E-4,4.2750788E-4,0.0012221863,0.0014936097,1.2220802,2.7175553E-4,0.0051924936,0.0147796115,0.01504735,1.0181154,2.7175553E-4,0.050728295,0.13444631,0.13468152,1.0017495,2.7175553E-4
6.9,9.77719E-5,2.8027873E-4,5.217715E-4,1.8616165,2.4156048E-4,4.1895514E-4,0.0012006456,0.0014720748,1.2260695,2.7175553E-4,0.0050888555,0.014520878,0.014788687,1.0184431,2.7175553E-4,0.049738888,0.1322748,0.13251062,1.0017828,2.7175553E-4
7.0,8.500761E-5,2.4762485E-4,4.5893792E-4,1.8533597,2.1136542E-4,3.6426744E-4,0.001060821,0.0013021252,1.2274693,2.4156048E-4,0.0044259406,0.012839786,0.013078244,1.0185719,2.4156048E-4,0.04338823,0.11813272,0.118345745,1.0018033,2.4156048E-4
