Magnitude,1 wk TI Prob,1 wk TD Prob,1 wk ETAS Prob,1 wk ETAS/TD Gain,1 wk ETAS Triggered Only,1 mo TI Prob,1 mo TD Prob,1 mo ETAS Prob,1 mo ETAS/TD Gain,1 mo ETAS Triggered Only,1 yr TI Prob,1 yr TD Prob,1 yr ETAS Prob,1 yr ETAS/TD Gain,1 yr ETAS Triggered Only,10 yr TI Prob,10 yr TD Prob,10 yr ETAS Prob,10 yr ETAS/TD Gain,10 yr ETAS Triggered Only
6.0,6.3015636E-5,4.3302647E-5,1.3662572E-4,3.1551354,9.3327115E-5,2.7003905E-4,1.8556965E-4,2.7887942E-4,1.502829,9.3327115E-5,0.0032827691,0.0022569813,0.0023500978,1.0412571,9.3327115E-5,0.032346968,0.023296192,0.023387345,1.0039128,9.3327115E-5
6.1,6.3015636E-5,4.3302647E-5,1.3662572E-4,3.1551354,9.3327115E-5,2.7003905E-4,1.8556965E-4,2.7887942E-4,1.502829,9.3327115E-5,0.0032827691,0.0022569813,0.0023500978,1.0412571,9.3327115E-5,0.032346968,0.023296192,0.023387345,1.0039128,9.3327115E-5
6.2,6.3015636E-5,4.3302647E-5,1.3662572E-4,3.1551354,9.3327115E-5,2.7003905E-4,1.8556965E-4,2.7887942E-4,1.502829,9.3327115E-5,0.0032827691,0.0022569813,0.0023500978,1.0412571,9.3327115E-5,0.032346968,0.023296192,0.023387345,1.0039128,9.3327115E-5
6.3,6.3015636E-5,4.3302647E-5,1.3662572E-4,3.1551354,9.3327115E-5,2.7003905E-4,1.8556965E-4,2.7887942E-4,1.502829,9.3327115E-5,0.0032827691,0.0022569813,0.0023500978,1.0412571,9.3327115E-5,0.032346968,0.023296192,0.023387345,1.0039128,9.3327115E-5
6.4,6.3015636E-5,4.3302647E-5,1.3662572E-4,3.1551354,9.3327115E-5,2.7003905E-4,1.8556965E-4,2.7887942E-4,1.502829,9.3327115E-5,0.0032827691,0.0022569813,0.0023500978,1.0412571,9.3327115E-5,0.032346968,0.023296192,0.023387345,1.0039128,9.3327115E-5
6.5,5.811017E-5,4.0082516E-5,1.3340589E-4,3.3282814,9.3327115E-5,2.4901982E-4,1.7177092E-4,2.65082E-4,1.5432298,9.3327115E-5,0.0030276014,0.002089311,0.002182443,1.0445756,9.3327115E-5,0.02986684,0.021593736,0.021685049,1.0042286,9.3327115E-5
6.6,5.811017E-5,4.0082516E-5,1.3340589E-4,3.3282814,9.3327115E-5,2.4901982E-4,1.7177092E-4,2.65082E-4,1.5432298,9.3327115E-5,0.0030276014,0.002089311,0.002182443,1.0445756,9.3327115E-5,0.02986684,0.021593736,0.021685049,1.0042286,9.3327115E-5
6.7,5.712442E-5,3.9505223E-5,1.3282865E-4,3.3623059,9.3327115E-5,2.4479596E-4,1.6929714E-4,2.6260846E-4,1.5511688,9.3327115E-5,0.0029763177,0.0020592497,0.0021523845,1.0452276,9.3327115E-5,0.029367693,0.021285562,0.021376902,1.0042912,9.3327115E-5
6.8,5.6967532E-5,3.9361643E-5,1.3268508E-4,3.3709233,9.3327115E-5,2.4412372E-4,1.6868189E-4,2.6199326E-4,1.5531795,9.3327115E-5,0.0029681553,0.002051773,0.0021449085,1.0453928,9.3327115E-5,0.029288229,0.021210281,0.021301629,1.0043068,9.3327115E-5
6.9,5.6211324E-5,3.9066435E-5,1.323899E-4,3.38884,9.3327115E-5,2.4088343E-4,1.6741687E-4,2.6072835E-4,1.5573602,9.3327115E-5,0.0029288116,0.0020364004,0.0021295373,1.0457361,9.3327115E-5,0.028905109,0.021049714,0.021141076,1.0043403,9.3327115E-5
7.0,5.4383527E-5,3.792697E-5,1.3125053E-4,3.4606125,9.3327115E-5,2.3305144E-4,1.6253405E-4,2.5584598E-4,1.574107,9.3327115E-5,0.0028337094,0.001977061,0.0020702037,1.0471116,9.3327115E-5,0.027978465,0.020440677,0.020532096,1.0044724,9.3327115E-5
7.1,5.1393665E-5,3.6389913E-5,1.2971363E-4,3.564549,9.3327115E-5,2.2023996E-4,1.5594746E-4,2.4926002E-4,1.5983589,9.3327115E-5,0.0026781242,0.0018970112,0.0019901614,1.0491036,9.3327115E-5,0.026460782,0.019614287,0.019705784,1.0046648,9.3327115E-5
7.2,4.785222E-5,3.4741795E-5,1.2806567E-4,3.686213,9.3327115E-5,2.0506482E-4,1.4888494E-4,2.4219815E-4,1.6267473,9.3327115E-5,0.0024938055,0.0018111705,0.0019043286,1.0514352,9.3327115E-5,0.024660049,0.018728992,0.01882057,1.0048897,9.3327115E-5
7.3,4.2143256E-5,3.383628E-5,1.2716024E-4,3.7581034,9.3327115E-5,1.8060145E-4,1.4500458E-4,2.3831816E-4,1.6435215,9.3327115E-5,0.002196605,0.0017640047,0.0018571671,1.052813,9.3327115E-5,0.02175019,0.01823724,0.018328866,1.0050241,9.3327115E-5
7.4,4.0264713E-5,3.347446E-5,1.2679845E-4,3.787916,9.3327115E-5,1.7255165E-4,1.4345412E-4,2.3676784E-4,1.6504779,9.3327115E-5,0.002098792,0.0017451581,0.0018383224,1.0533844,9.3327115E-5,0.020790804,0.018041821,0.018133463,1.0050795,9.3327115E-5
